DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
42961877,Scottie Barnes,PF,TOR,CLE,,16500,0,76.26,,76.26,4.621818182,23.79,17.86430698,0,100,100.9695,210.571,50.8433,39.6,46.95,54.2,58.15,64.85,72.3515,51.0697,39.12,46.9,54.56,58.746,65.74,73.982,51.0697,39.12,46.9,54.56,58.746,65.74,73.982,51.7879,40.26,47.66,55.175,59.28,65.84,74.1606,10.7047,11.2883,11.2883,10.9602,20.7566,40.7579,6.82685,1.3533,8.0122,2.2292,5.783,7.79795,1.7326,1.02955,3.3895
42961878,Donovan Mitchell,SG,CLE,TOR,,15300,0,64.57,,64.57,4.220261438,13.99,11.86484641,0,100,109.6015,210.571,43.0493,35.5,41.95,48.8,52.7,59.5,67.4,41.7692,34.26,40.64,47.72,51.546,58.76,66.8404,41.7692,34.26,40.64,47.72,51.546,58.76,66.8404,42.3936,34.94,41.28,48.06,51.849,58.562,66.58,10.1655,10.2428,10.2428,9.93695,26.7818,36.16,6.0682,3.4661,3.8949,0.83765,3.05725,4.11375,1.54965,0.5134,2.70445
42961879,James Harden,PG,CLE,TOR,,15000,0,63.72,,63.72,4.248,14.07,11.81356824,0,100,109.6015,210.571,42.4825,35.55,41.9,48.7,52.1725,58.3,65.2,40.6387,33.7,40.12,47.08,50.74,57.103,63.66,40.6387,33.7,40.12,47.08,50.74,57.103,63.66,42.1576,35.395,41.54,48.26,51.88,57.98,64.4406,9.7188,9.92606,9.92606,9.59195,21.2963,36.9712,3.57495,3.00855,4.51155,0.9771,3.53445,7.70445,1.45565,0.67455,4.25075
42961881,RJ Barrett,SF,TOR,CLE,,13800,0,61.52,,61.52,4.457971014,15.82,13.5837906,0,100,100.9695,210.571,41.0147,31.6,38.4,45.25,49.15,55.7,62.601,39.4243,30.08,36.92,43.775,47.64,53.982,61.04,39.4243,30.08,36.92,43.775,47.64,53.982,61.04,40.4948,31.36,37.98,44.7,48.44,54.785,61.4032,10.0503,10.0934,10.0934,9.86382,22.7687,38.177,6.1047,2.0522,6.6346,1.853,4.7816,3.65295,0.8719,0.43015,3.0433
42961880,Evan Mobley,PF/C,CLE,TOR,,14100,0,57.97,,57.97,4.111347518,10.08,9.120419095,0,100,109.6015,210.571,38.6437,32.2,38.2,44.3,47.65,53.1075,59.45,39.348,32.6,38.8,45.255,49.009,55.12,61.7206,39.348,32.6,38.8,45.255,49.009,55.12,61.7206,39.9659,33.24,39.4,45.84,49.46,55.38,61.801,8.89771,9.54484,9.54484,9.36345,18.3677,33.7789,6.56765,0.7481,8.60595,1.81735,6.7886,3.07105,0.92575,1.6812,2.0624
42961842,Scottie Barnes,PF,TOR,CLE,,11000,0,50.84,,50.84,4.621818182,55.05,46.50595511,0,100,100.9695,210.571,50.8433,39.6,46.95,54.2,58.15,64.85,72.3515,51.0697,39.12,46.9,54.56,58.746,65.74,73.982,51.0697,39.12,46.9,54.56,58.746,65.74,73.982,51.7879,40.26,47.66,55.175,59.28,65.84,74.1606,10.7047,11.2883,11.2883,10.9602,20.7566,40.7579,6.82685,1.3533,8.0122,2.2292,5.783,7.79795,1.7326,1.02955,3.3895
42961883,Collin Murray-Boyles,PF/C,TOR,CLE,,11100,0,47.33,,47.33,4.263963964,6.72,6.640666466,0,100,100.9695,210.571,31.5562,23.7,28.8,34.25,37.25,42.9,49.65,31.4921,23.42,28.62,34.42,37.52,42.863,49.7816,31.4921,23.42,28.62,34.42,37.52,42.863,49.7816,31.5987,23.82,28.7,34.3,37.38,42.68,49.2204,7.90098,8.13174,8.13174,7.8681,13.5401,29.8176,3.3735,1.51845,7.99615,2.26615,5.73,1.4484,1.12395,0.61455,1.4487
42961843,Donovan Mitchell,SG,CLE,TOR,,10200,0,43.05,,43.05,4.220588235,44.05,39.24798527,0,100,109.6015,210.571,43.0493,35.5,41.95,48.8,52.7,59.5,67.4,41.7692,34.26,40.64,47.72,51.546,58.76,66.8404,41.7692,34.26,40.64,47.72,51.546,58.76,66.8404,42.3936,34.94,41.28,48.06,51.849,58.562,66.58,10.1655,10.2428,10.2428,9.93695,26.7818,36.16,6.0682,3.4661,3.8949,0.83765,3.05725,4.11375,1.54965,0.5134,2.70445
42961844,James Harden,PG,CLE,TOR,,10000,0,42.48,,42.48,4.248,43.59,38.69765601,0,100,109.6015,210.571,42.4825,35.55,41.9,48.7,52.1725,58.3,65.2,40.6387,33.7,40.12,47.08,50.74,57.103,63.66,40.6387,33.7,40.12,47.08,50.74,57.103,63.66,42.1576,35.395,41.54,48.26,51.88,57.98,64.4406,9.7188,9.92606,9.92606,9.59195,21.2963,36.9712,3.57495,3.00855,4.51155,0.9771,3.53445,7.70445,1.45565,0.67455,4.25075
42961846,RJ Barrett,SF,TOR,CLE,,9200,0,41.01,,41.01,4.457608696,46.52,42.03217894,0,100,100.9695,210.571,41.0147,31.6,38.4,45.25,49.15,55.7,62.601,39.4243,30.08,36.92,43.775,47.64,53.982,61.04,39.4243,30.08,36.92,43.775,47.64,53.982,61.04,40.4948,31.36,37.98,44.7,48.44,54.785,61.4032,10.0503,10.0934,10.0934,9.86382,22.7687,38.177,6.1047,2.0522,6.6346,1.853,4.7816,3.65295,0.8719,0.43015,3.0433
