P,P,C,1B,2B,3B,SS,OF,OF,OF
42730321,42730329,42730594,42730393,42730521,42730418,42730396,42730371,42730543,42730503
42730327,42730328,42730625,42730366,42730521,42730418,42730355,42730411,42730579,42730503
42730327,42730329,42730467,42730393,42730537,42730435,42730396,42730543,42730350,42730635
42730327,42730342,42730608,42730372,42730425,42730394,42730426,42730421,42730354,42730503
42730321,42730342,42730428,42730393,42730400,42730546,42730396,42730605,42730543,42730347
42730330,42730342,42730382,42730366,42730521,42730418,42730603,42730503,42730408,42730349
42730322,42730321,42730504,42730538,42730477,42730581,42730363,42730407,42730564,42730421
42730342,42730321,42730382,42730523,42730680,42730535,42730368,42730422,42730349,42730470
42730321,42730342,42730428,42730611,42730400,42730556,42730420,42730354,42730421,42730401
42730330,42730342,42730382,42730347,42730477,42730556,42730363,42730421,42730516,42730443
42730322,42730342,42730441,42730393,42730661,42730508,42730529,42730359,42730470,42730349
42730322,42730328,42730706,42730424,42730620,42730693,42730363,42730407,42730354,42730421
42730322,42730328,42730504,42730538,42730477,42730394,42730357,42730354,42730630,42730721
42730327,42730321,42730365,42730367,42730621,42730535,42730357,42730429,42730721,42730630
42730322,42730321,42730625,42730550,42730448,42730579,42730567,42730349,42730470,42730408
42730327,42730330,42730625,42730573,42730674,42730351,42730363,42730579,42730421,42730354
42730327,42730342,42730434,42730393,42730477,42730546,42730396,42730543,42730389,42730347
42730326,42730328,42730706,42730424,42730448,42730693,42730373,42730407,42730349,42730470
42730322,42730327,42730724,42730372,42730680,42730394,42730426,42730371,42730401,42730525
42730322,42730330,42730735,42730393,42730537,42730445,42730396,42730543,42730349,42730470
42730342,42730328,42730428,42730611,42730400,42730556,42730363,42730421,42730354,42730401
42730321,42730342,42730459,42730364,42730448,42730579,42730567,42730429,42730470,42730349
42730321,42730337,42730706,42730347,42730620,42730693,42730355,42730564,42730407,42730354
42730330,42730329,42730504,42730523,42730477,42730556,42730368,42730422,42730421,42730356
42730330,42730321,42730625,42730550,42730477,42730351,42730363,42730429,42730579,42730516
42730330,42730329,42730735,42730449,42730385,42730418,42730473,42730543,42730406,42730347
42730330,42730329,42730382,42730347,42730676,42730707,42730603,42730354,42730421,42730432
42730321,42730329,42730504,42730573,42730621,42730351,42730357,42730721,42730630,42730354
42730322,42730330,42730382,42730611,42730448,42730671,42730420,42730432,42730384,42730401
42730330,42730342,42730608,42730347,42730477,42730556,42730363,42730516,42730470,42730349
42730330,42730333,42730434,42730449,42730385,42730427,42730473,42730721,42730347,42730406
42730327,42730321,42730454,42730366,42730521,42730418,42730357,42730543,42730503,42730721
42730330,42730327,42730434,42730483,42730676,42730397,42730603,42730432,42730347,42730389
42730327,42730321,42730441,42730538,42730661,42730581,42730363,42730354,42730588,42730412
42730330,42730327,42730625,42730550,42730477,42730351,42730363,42730429,42730421,42730503
42730327,42730342,42730547,42730433,42730521,42730418,42730373,42730354,42730503,42730378
42730327,42730331,42730434,42730573,42730507,42730397,42730357,42730503,42730721,42730347
42730327,42730321,42730670,42730528,42730448,42730394,42730426,42730470,42730349,42730636
42730330,42730328,42730547,42730538,42730477,42730556,42730373,42730354,42730378,42730443
42730327,42730328,42730459,42730538,42730585,42730901,42730363,42730358,42730516,42730354
42730330,42730328,42730547,42730597,42730477,42730556,42730363,42730354,42730378,42730443
42730327,42730342,42730459,42730364,42730585,42730471,42730567,42730358,42730470,42730349
42730327,42730321,42730459,42730523,42730585,42730471,42730363,42730358,42730552,42730503
42730326,42730321,42730382,42730538,42730477,42730707,42730603,42730421,42730354,42730432
42730327,42730321,42730382,42730393,42730676,42730707,42730603,42730421,42730354,42730432
