P,P,C,1B,2B,3B,SS,OF,OF,OF
42770420,42770357,42770412,42770486,42770480,42770311,42770351,42770500,42770392,42770530
42770357,42770425,42770412,42770577,42770480,42770489,42770488,42770454,42770366,42770356
42770344,42770357,42770412,42770577,42770417,42770502,42770572,42770366,42770530,42770392
42770344,42770357,42770412,42770370,42770417,42770489,42770324,42770392,42770366,42770511
42770378,42770357,42770559,42770577,42770480,42770489,42770324,42770510,42770356,42770392
42770378,42770357,42770343,42770577,42770417,42770573,42770572,42770500,42770392,42770510
42770378,42770357,42770412,42770370,42770480,42770573,42770572,42770534,42770392,42770356
42770420,42770357,42770343,42770577,42770480,42770502,42770351,42770511,42770362,42770392
42770344,42770357,42770412,42770389,42770354,42770502,42770488,42770511,42770366,42770392
42770378,42770357,42770412,42770577,42770417,42770489,42770324,42770534,42770480,42770435
42770344,42770357,42770303,42770453,42770480,42770502,42770572,42770368,42770511,42770392
42770420,42770357,42770343,42770577,42770354,42770489,42770351,42770510,42770454,42770392
42770431,42770357,42770374,42770486,42770562,42770311,42770351,42770454,42770356,42770460
42770431,42770357,42770303,42770370,42770417,42770502,42770324,42770368,42770429,42770326
42770344,42770357,42770374,42770453,42770417,42770427,42770424,42770366,42770460,42770326
42770431,42770357,42770374,42770302,42770372,42770573,42770351,42770454,42770380,42770326
42770431,42770357,42770559,42770302,42770372,42770311,42770424,42770510,42770362,42770454
42770431,42770357,42770374,42770370,42770372,42770427,42770324,42770454,42770368,42770326
42770431,42770357,42770343,42770389,42770372,42770427,42770351,42770417,42770534,42770326
42770431,42770357,42770303,42770370,42770417,42770573,42770351,42770368,42770510,42770435
42770344,42770357,42770303,42770302,42770417,42770311,42770424,42770454,42770366,42770460
42770431,42770420,42770523,42770455,42770466,42770427,42770488,42770429,42770530,42770566
42770420,42770431,42770374,42770302,42770430,42770502,42770351,42770366,42770460,42770380
42770431,42770425,42770434,42770453,42770417,42770502,42770488,42770534,42770356,42770368
42770420,42770431,42770374,42770486,42770430,42770311,42770424,42770356,42770510,42770326
42770344,42770431,42770303,42770453,42770417,42770311,42770324,42770368,42770534,42770530
42770431,42770425,42770303,42770370,42770417,42770573,42770488,42770362,42770356,42770510
42770344,42770431,42770523,42770302,42770372,42770502,42770488,42770417,42770534,42770368
42770420,42770431,42770559,42770302,42770562,42770311,42770351,42770356,42770510,42770362
42770431,42770344,42770374,42770302,42770372,42770311,42770488,42770366,42770368,42770326
42770420,42770431,42770303,42770453,42770562,42770311,42770351,42770356,42770326,42770460
42770431,42770344,42770374,42770389,42770417,42770427,42770488,42770368,42770435,42770380
42770431,42770420,42770303,42770455,42770430,42770311,42770351,42770356,42770510,42770366
42770344,42770431,42770559,42770453,42770562,42770311,42770488,42770417,42770454,42770460
42770420,42770378,42770374,42770302,42770430,42770311,42770351,42770362,42770356,42770326
42770431,42770425,42770550,42770453,42770430,42770502,42770488,42770356,42770510,42770530
42770420,42770425,42770523,42770486,42770430,42770427,42770488,42770362,42770510,42770429
42770420,42770344,42770303,42770453,42770480,42770311,42770488,42770530,42770326,42770380
42770420,42770344,42770303,42770302,42770562,42770502,42770488,42770530,42770460,42770380
42770378,42770420,42770559,42770486,42770430,42770311,42770351,42770510,42770356,42770380
42770420,42770425,42770303,42770453,42770466,42770427,42770488,42770366,42770566,42770455
42770420,42770425,42770550,42770453,42770430,42770427,42770351,42770356,42770510,42770566
42770420,42770378,42770374,42770486,42770430,42770573,42770450,42770362,42770510,42770380
42770420,42770425,42770303,42770453,42770480,42770427,42770488,42770429,42770511,42770392
42770420,42770425,42770541,42770486,42770466,42770427,42770450,42770362,42770392,42770455
42770378,42770420,42770343,42770455,42770430,42770311,42770450,42770362,42770356,42770510
42770378,42770344,42770559,42770302,42770466,42770568,42770450,42770534,42770392,42770566
42770378,42770420,42770374,42770302,42770466,42770568,42770450,42770380,42770455,42770566
42770378,42770344,42770559,42770302,42770466,42770568,42770450,42770534,42770566,42770380
