P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42770420,Edward Cabrera,7500,12.73,42770357,Shohei Ohtani,10500,20.64,42770412,Shea Langeliers,5600,8.61,42770486,Michael Busch,3500,7.56,42770480,Zack Gelof,2900,5.93,42770311,Max Muncy,4900,8.07,42770351,Dansby Swanson,3600,7.64,42770500,Colby Thomas,3200,6.20,42770392,Brent Rooker,4800,8.46,42770530,Jac Caglianone,3300,7.69,93.53,49800,25.1,2.5074e+1
42770357,Shohei Ohtani,10500,20.64,42770425,Janson Junk,6200,9.84,42770412,Shea Langeliers,5600,8.61,42770577,Nick Kurtz,5300,7.98,42770480,Zack Gelof,2900,5.93,42770489,Darell Hernaiz,2600,5.12,42770488,Bobby Witt Jr.,6200,11.35,42770454,Isaac Collins,2400,6.91,42770366,Lane Thomas,2300,8.05,42770356,Seiya Suzuki,4500,9.13,93.56,48500,23.9,2.3870e+1
42770344,Walker Buehler,6500,10.52,42770357,Shohei Ohtani,10500,20.64,42770412,Shea Langeliers,5600,8.61,42770577,Nick Kurtz,5300,7.98,42770417,Fernando Tatis Jr.,5100,9.70,42770502,Nick Loftin,2700,6.39,42770572,Jacob Wilson,3900,6.94,42770366,Lane Thomas,2300,8.05,42770530,Jac Caglianone,3300,7.69,42770392,Brent Rooker,4800,8.46,94.98,50000,24.7,2.4685e+1
42770344,Walker Buehler,6500,10.52,42770357,Shohei Ohtani,10500,20.64,42770412,Shea Langeliers,5600,8.61,42770370,Gavin Sheets,3600,6.59,42770417,Fernando Tatis Jr.,5100,9.70,42770489,Darell Hernaiz,2600,5.12,42770324,Xander Bogaerts,4300,7.92,42770392,Brent Rooker,4800,8.46,42770366,Lane Thomas,2300,8.05,42770511,Tyler Soderstrom,4600,6.83,92.44,49900,21.7,2.1690e+1
42770378,Aaron Civale,6400,11.15,42770357,Shohei Ohtani,10500,20.64,42770559,Dalton Rushing,3800,8.15,42770577,Nick Kurtz,5300,7.98,42770480,Zack Gelof,2900,5.93,42770489,Darell Hernaiz,2600,5.12,42770324,Xander Bogaerts,4300,7.92,42770510,Pete Crow-Armstrong,4700,8.40,42770356,Seiya Suzuki,4500,9.13,42770392,Brent Rooker,4800,8.46,92.88,49800,21.6,2.1569e+1
42770378,Aaron Civale,6400,11.15,42770357,Shohei Ohtani,10500,20.64,42770343,Carson Kelly,3300,6.93,42770577,Nick Kurtz,5300,7.98,42770417,Fernando Tatis Jr.,5100,9.70,42770573,Matt Shaw,2700,6.27,42770572,Jacob Wilson,3900,6.94,42770500,Colby Thomas,3200,6.20,42770392,Brent Rooker,4800,8.46,42770510,Pete Crow-Armstrong,4700,8.40,92.67,49900,22.7,2.2727e+1
42770378,Aaron Civale,6400,11.15,42770357,Shohei Ohtani,10500,20.64,42770412,Shea Langeliers,5600,8.61,42770370,Gavin Sheets,3600,6.59,42770480,Zack Gelof,2900,5.93,42770573,Matt Shaw,2700,6.27,42770572,Jacob Wilson,3900,6.94,42770534,Jackson Merrill,4800,8.70,42770392,Brent Rooker,4800,8.46,42770356,Seiya Suzuki,4500,9.13,92.42,49700,21.9,2.1917e+1
42770420,Edward Cabrera,7500,12.73,42770357,Shohei Ohtani,10500,20.64,42770343,Carson Kelly,3300,6.93,42770577,Nick Kurtz,5300,7.98,42770480,Zack Gelof,2900,5.93,42770502,Nick Loftin,2700,6.39,42770351,Dansby Swanson,3600,7.64,42770511,Tyler Soderstrom,4600,6.83,42770362,Ian Happ,4200,8.11,42770392,Brent Rooker,4800,8.46,91.64,49400,21.9,2.1932e+1
42770344,Walker Buehler,6500,10.52,42770357,Shohei Ohtani,10500,20.64,42770412,Shea Langeliers,5600,8.61,42770389,Ty France,2400,6.11,42770354,Jeff McNeil,3300,5.45,42770502,Nick Loftin,2700,6.39,42770488,Bobby Witt Jr.,6200,11.35,42770511,Tyler Soderstrom,4600,6.83,42770366,Lane Thomas,2300,8.05,42770392,Brent Rooker,4800,8.46,92.41,48900,22.2,2.2238e+1
42770378,Aaron Civale,6400,11.15,42770357,Shohei Ohtani,10500,20.64,42770412,Shea Langeliers,5600,8.61,42770577,Nick Kurtz,5300,7.98,42770417,Fernando Tatis Jr.,5100,9.70,42770489,Darell Hernaiz,2600,5.12,42770324,Xander Bogaerts,4300,7.92,42770534,Jackson Merrill,4800,8.70,42770480,Zack Gelof,2900,5.93,42770435,Bryce Johnson,2500,5.69,91.44,50000,22.0,2.1974e+1
42770344,Walker Buehler,6500,10.52,42770357,Shohei Ohtani,10500,20.64,42770303,Salvador Perez,3700,8.98,42770453,Vinnie Pasquantino,4500,8.66,42770480,Zack Gelof,2900,5.93,42770502,Nick Loftin,2700,6.39,42770572,Jacob Wilson,3900,6.94,42770368,Ramon Laureano,4400,8.22,42770511,Tyler Soderstrom,4600,6.83,42770392,Brent Rooker,4800,8.46,91.57,48500,22.4,2.2399e+1
42770420,Edward Cabrera,7500,12.73,42770357,Shohei Ohtani,10500,20.64,42770343,Carson Kelly,3300,6.93,42770577,Nick Kurtz,5300,7.98,42770354,Jeff McNeil,3300,5.45,42770489,Darell Hernaiz,2600,5.12,42770351,Dansby Swanson,3600,7.64,42770510,Pete Crow-Armstrong,4700,8.40,42770454,Isaac Collins,2400,6.91,42770392,Brent Rooker,4800,8.46,90.26,48000,21.3,2.1333e+1
