P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926534,Hunter Goodman,4400,8.25,42926512,Sal Stewart,5300,10.21,42926611,Marcus Semien,3000,6.28,42926563,Bo Bichette,3700,7.37,42926502,Elly De La Cruz,6200,11.22,42926612,Jordan Beck,3000,7.41,42926506,Juan Soto,5800,9.23,42926647,MJ Melendez,2500,6.22,104.95,49800,19.7,1.9691e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926544,William Contreras,4200,8.24,42926540,Jake Bauers,4200,8.03,42926595,Matt McLain,3200,9.23,42926691,Ke'Bryan Hayes,2100,5.81,42926502,Elly De La Cruz,6200,11.22,42926551,Mickey Moniak,4000,7.21,42926562,JJ Bleday,3700,7.04,42926504,Corbin Carroll,6000,10.01,105.55,49500,20.9,2.0947e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926516,Drake Baldwin,5100,7.30,42926512,Sal Stewart,5300,10.21,42926533,Ozzie Albies,4400,7.88,42926556,Austin Riley,3900,7.35,42926502,Elly De La Cruz,6200,11.22,42926570,TJ Friedl,3500,8.15,42926624,Spencer Steer,2900,7.66,42926671,Tyrone Taylor,2300,5.73,104.26,49500,20.1,2.0138e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926544,William Contreras,4200,8.24,42926591,Spencer Torkelson,3300,7.64,42926511,Brice Turang,5400,8.41,42926635,Luis Rengifo,2700,5.79,42926502,Elly De La Cruz,6200,11.22,42926612,Jordan Beck,3000,7.41,42926504,Corbin Carroll,6000,10.01,42926632,Brandon Lockridge,2800,6.79,104.27,49500,19.9,1.9896e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926544,William Contreras,4200,8.24,42926512,Sal Stewart,5300,10.21,42926595,Matt McLain,3200,9.23,42926556,Austin Riley,3900,7.35,42926502,Elly De La Cruz,6200,11.22,42926514,Ronald Acuna Jr.,5200,9.10,42926688,Eli White,2200,5.16,42926588,Michael Harris II,3300,6.56,105.83,49400,19.2,1.9160e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926561,Adrian Del Castillo,3800,6.78,42926663,Nathaniel Lowe,2400,7.79,42926595,Matt McLain,3200,9.23,42926584,Nolan Gorman,3400,6.50,42926502,Elly De La Cruz,6200,11.22,42926562,JJ Bleday,3700,7.04,42926510,Jordan Walker,5400,7.35,42926504,Corbin Carroll,6000,10.01,104.68,50000,21.0,2.0995e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926561,Adrian Del Castillo,3800,6.78,42926663,Nathaniel Lowe,2400,7.79,42926595,Matt McLain,3200,9.23,42926577,Nick Gonzales,3500,6.38,42926564,Konnor Griffin,3700,7.13,42926529,Bryan Reynolds,4500,7.52,42926501,Oneil Cruz,6300,9.97,42926504,Corbin Carroll,6000,10.01,103.57,49300,18.8,1.8769e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926645,Jose Trevino,2600,5.08,42926536,Bryce Harper,4300,8.35,42926607,Bryson Stott,3100,6.49,42926519,Kevin McGonigle,4900,8.79,42926502,Elly De La Cruz,6200,11.22,42926621,Adolis Garcia,3000,6.53,42926509,Kyle Schwarber,5500,8.42,42926562,JJ Bleday,3700,7.04,100.68,49200,19.1,1.9106e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926634,Joey Bart,2800,5.58,42926512,Sal Stewart,5300,10.21,42926595,Matt McLain,3200,9.23,42926691,Ke'Bryan Hayes,2100,5.81,42926502,Elly De La Cruz,6200,11.22,42926509,Kyle Schwarber,5500,8.42,42926501,Oneil Cruz,6300,9.97,42926671,Tyrone Taylor,2300,5.73,104.93,49600,20.5,2.0541e+1
42926487,Cristopher Sanchez,9700,20.35,42926499,David Peterson,6200,18.41,42926544,William Contreras,4200,8.24,42926512,Sal Stewart,5300,10.21,42926511,Brice Turang,5400,8.41,42926635,Luis Rengifo,2700,5.79,42926502,Elly De La Cruz,6200,11.22,42926574,Brandon Marsh,3500,6.63,42926529,Bryan Reynolds,4500,7.52,42926707,Greg Jones,2000,6.19,102.97,49700,19.3,1.9261e+1
42926487,Cristopher Sanchez,9700,20.35,42926496,Brandon Williamson,6700,14.74,42926568,Francisco Alvarez,3600,6.69,42926512,Sal Stewart,5300,10.21,42926595,Matt McLain,3200,9.23,42926563,Bo Bichette,3700,7.37,42926502,Elly De La Cruz,6200,11.22,42926624,Spencer Steer,2900,7.66,42926506,Juan Soto,5800,9.23,42926647,MJ Melendez,2500,6.22,102.92,49600,18.9,1.8878e+1
