F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,F_ID,F_Name,F_Salary,F_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704858,Youssef Zalal,8400,83.47,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704861,Joselyne Edwards,7400,46.21,450.44,49900,27.9,2.7933e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704858,Youssef Zalal,8400,83.47,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,447.52,49800,28.0,2.7992e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,446.94,50000,28.1,2.8097e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704869,Mayra Bueno Silva,6900,30.35,446.55,50000,26.9,2.6903e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704858,Youssef Zalal,8400,83.47,42704875,Marcus Buchecha,8300,67.03,42704859,Aljamain Sterling,7800,80.30,42704869,Mayra Bueno Silva,6900,30.35,444.84,50000,27.4,2.7410e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42728125,Lucas Brennan,6800,24.79,444.83,49800,27.6,2.7585e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704875,Marcus Buchecha,8300,67.03,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704865,Talita Alencar,7200,46.29,444.65,49900,27.9,2.7938e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704858,Youssef Zalal,8400,83.47,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704865,Talita Alencar,7200,46.29,443.63,49600,28.0,2.8045e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704865,Talita Alencar,7200,46.29,443.51,50000,27.2,2.7247e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704867,Eric McConico,7100,29.68,442.83,50000,28.1,2.8088e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42728127,Max Griffin,7600,48.53,441.87,49900,28.1,2.8132e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704859,Aljamain Sterling,7800,80.30,42704861,Joselyne Edwards,7400,46.21,42704869,Mayra Bueno Silva,6900,30.35,433.49,50000,24.3,2.4300e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42728123,Cody Durden,6700,26.07,432.88,50000,24.6,2.4632e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,430.51,50000,24.8,2.4838e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704859,Aljamain Sterling,7800,80.30,42704865,Talita Alencar,7200,46.29,42704869,Mayra Bueno Silva,6900,30.35,429.73,49900,23.1,2.3078e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42728125,Lucas Brennan,6800,24.79,427.82,50000,24.4,2.4432e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704864,Julia Polastri,9000,76.53,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704869,Mayra Bueno Silva,6900,30.35,427.64,50000,24.0,2.3958e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704860,Norma Dumont,8800,71.70,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,427.45,50000,25.0,2.4993e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704864,Julia Polastri,9000,76.53,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,427.04,50000,24.3,2.4315e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42704865,Talita Alencar,7200,46.29,424.86,49900,24.9,2.4885e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704857,Davey Grant,8000,67.34,42704859,Aljamain Sterling,7800,80.30,42704869,Mayra Bueno Silva,6900,30.35,424.63,49800,24.6,2.4562e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,423.16,50000,24.4,2.4362e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704856,Adrian Luna Martinetti,8200,54.49,42704859,Aljamain Sterling,7800,80.30,42704873,Rafa Garcia,7700,56.77,42704865,Talita Alencar,7200,46.29,422.94,49800,25.0,2.4980e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42728123,Cody Durden,6700,26.07,422.69,50000,24.1,2.4113e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704862,Montel Jackson,8600,72.69,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,422.65,50000,24.7,2.4710e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704859,Aljamain Sterling,7800,80.30,42704871,Sedriques Dumas,7500,40.83,42728125,Lucas Brennan,6800,24.79,422.55,50000,24.2,2.4162e+1
42728122,Jafel Filho,9500,95.99,42704868,Michelle Montague,9300,92.94,42704862,Montel Jackson,8600,72.69,42704858,Youssef Zalal,8400,83.47,42704865,Talita Alencar,7200,46.29,42704869,Mayra Bueno Silva,6900,30.35,421.73,49900,24.6,2.4648e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704861,Joselyne Edwards,7400,46.21,421.68,49900,24.8,2.4828e+1
42728124,Francis Marshall,9400,89.10,42704866,Rodolfo Vieira,9100,87.70,42704860,Norma Dumont,8800,71.70,42704859,Aljamain Sterling,7800,80.30,42704863,Raoni Barcelos,7600,46.39,42704865,Talita Alencar,7200,46.29,421.48,49900,24.7,2.4652e+1
42728124,Francis Marshall,9400,89.10,42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704859,Aljamain Sterling,7800,80.30,42704871,Sedriques Dumas,7500,40.83,42704869,Mayra Bueno Silva,6900,30.35,421.22,50000,24.8,2.4813e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704870,Jackson McVey,8700,76.46,42704859,Aljamain Sterling,7800,80.30,42728127,Max Griffin,7600,48.53,42704869,Mayra Bueno Silva,6900,30.35,420.73,49900,25.0,2.5030e+1
42704868,Michelle Montague,9300,92.94,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704858,Youssef Zalal,8400,83.47,42704857,Davey Grant,8000,67.34,42728123,Cody Durden,6700,26.07,420.47,50000,25.0,2.4993e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704870,Jackson McVey,8700,76.46,42704858,Youssef Zalal,8400,83.47,42704865,Talita Alencar,7200,46.29,42704869,Mayra Bueno Silva,6900,30.35,420.26,49800,24.7,2.4672e+1
42728122,Jafel Filho,9500,95.99,42728124,Francis Marshall,9400,89.10,42704858,Youssef Zalal,8400,83.47,42704873,Rafa Garcia,7700,56.77,42728127,Max Griffin,7600,48.53,42704865,Talita Alencar,7200,46.29,420.15,49800,25.1,2.5098e+1
42728122,Jafel Filho,9500,95.99,42704866,Rodolfo Vieira,9100,87.70,42704872,Alexander Hernandez,8500,62.95,42704875,Marcus Buchecha,8300,67.03,42704859,Aljamain Sterling,7800,80.30,42728123,Cody Durden,6700,26.07,420.04,49900,24.0,2.3957e+1
