PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763721,Oso Ighodaro,4900,23.02,42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763664,Julius Randle,7700,40.91,267.09,49900,31.4,3.1404e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763714,Naz Reid,5100,26.24,42763648,Jamal Murray,9000,47.94,42763698,Ayo Dosunmu,5800,37.03,42763787,Mike Conley,3700,17.04,265.64,49900,31.2,3.1175e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763714,Naz Reid,5100,26.24,42763761,Bones Hyland,4200,21.42,42763654,Paolo Banchero,8500,42.65,42763698,Ayo Dosunmu,5800,37.03,264.73,49900,32.3,3.2288e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763721,Oso Ighodaro,4900,23.02,42763698,Ayo Dosunmu,5800,37.03,42763681,Franz Wagner,6700,32.31,42763686,Jaden McDaniels,6300,33.35,263.10,50000,29.9,2.9864e+1
42763645,Cade Cunningham,10000,55.73,42763798,Bruce Brown,3500,16.74,42763698,Ayo Dosunmu,5800,37.03,42763692,Dillon Brooks,6100,31.71,42763640,Nikola Jokic,12500,67.35,42763787,Mike Conley,3700,17.04,42763772,Tim Hardaway Jr.,3900,19.71,42763734,Cameron Johnson,4500,22.14,267.45,50000,31.5,3.1497e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763684,Rudy Gobert,6500,31.98,42763698,Ayo Dosunmu,5800,37.03,42763734,Cameron Johnson,4500,22.14,42763686,Jaden McDaniels,6300,33.35,261.89,49400,31.1,3.1065e+1
42763645,Cade Cunningham,10000,55.73,42763698,Ayo Dosunmu,5800,37.03,42763686,Jaden McDaniels,6300,33.35,42763689,Tobias Harris,6200,32.67,42763684,Rudy Gobert,6500,31.98,42763711,Ajay Mitchell,5200,28.74,42763692,Dillon Brooks,6100,31.71,42763787,Mike Conley,3700,17.04,268.25,49800,32.4,3.2415e+1
42763711,Ajay Mitchell,5200,28.74,42763758,Duncan Robinson,4200,19.89,42763698,Ayo Dosunmu,5800,37.03,42763692,Dillon Brooks,6100,31.71,42763640,Nikola Jokic,12500,67.35,42763648,Jamal Murray,9000,47.94,42763772,Tim Hardaway Jr.,3900,19.71,42763824,Spencer Jones,3300,13.12,265.49,50000,29.9,2.9922e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763734,Cameron Johnson,4500,22.14,42763667,Jalen Duren,7500,34.95,42763698,Ayo Dosunmu,5800,37.03,42763664,Julius Randle,7700,40.91,42763761,Bones Hyland,4200,21.42,261.17,49800,29.9,2.9874e+1
42763798,Bruce Brown,3500,16.74,42763758,Duncan Robinson,4200,19.89,42763686,Jaden McDaniels,6300,33.35,42763734,Cameron Johnson,4500,22.14,42763640,Nikola Jokic,12500,67.35,42763761,Bones Hyland,4200,21.42,42763698,Ayo Dosunmu,5800,37.03,42763648,Jamal Murray,9000,47.94,265.86,50000,32.4,3.2354e+1
