PG,SG,SF,PF,C,G,F,UTIL
42936328,42936298,42936315,42936344,42936326,42936294,42936331,42936275
42936328,42936294,42936357,42936331,42936275,42936354,42936283,42936308
42936286,42936318,42936350,42936283,42936275,42936294,42936331,42936392
42936328,42936294,42936302,42936305,42936390,42936360,42936283,42936275
42936298,42936294,42936350,42936272,42936390,42936328,42936331,42936275
42936386,42936294,42936315,42936272,42936390,42936360,42936283,42936275
42936328,42936395,42936350,42936305,42936275,42936294,42936283,42936308
42936298,42936294,42936350,42936254,42936348,42936392,42936331,42936275
42936328,42936360,42936310,42936283,42936326,42936294,42936357,42936275
42936328,42936298,42936310,42936331,42936326,42936392,42936283,42936275
42936280,42936294,42936350,42936305,42936326,42936392,42936283,42936308
42936298,42936322,42936357,42936283,42936390,42936294,42936315,42936275
42936318,42936395,42936401,42936254,42936364,42936294,42936283,42936275
42936328,42936294,42936357,42936305,42936390,42936354,42936254,42936275
42936280,42936310,42936382,42936305,42936390,42936354,42936283,42936275
42936298,42936294,42936344,42936283,42936326,42936280,42936331,42936364
42936298,42936395,42936339,42936335,42936275,42936294,42936283,42936308
42936318,42936294,42936302,42936254,42936390,42936392,42936283,42936326
42936298,42936339,42936357,42936283,42936326,42936294,42936350,42936275
42936328,42936339,42936382,42936254,42936348,42936294,42936331,42936275
42936328,42936298,42936290,42936350,42936390,42936318,42936283,42936275
42936280,42936310,42936302,42936305,42936390,42936360,42936283,42936308
42936280,42936354,42936344,42936331,42936390,42936257,42936283,42936326
42936298,42936286,42936315,42936290,42936326,42936318,42936331,42936308
42936298,42936310,42936315,42936305,42936331,42936360,42936272,42936350
42936298,42936386,42936315,42936272,42936390,42936280,42936305,42936308
42936298,42936386,42936315,42936254,42936326,42936280,42936331,42936364
42936280,42936386,42936302,42936254,42936326,42936328,42936331,42936348
42936298,42936318,42936357,42936305,42936326,42936328,42936272,42936315
42936328,42936286,42936315,42936305,42936326,42936257,42936331,42936364
42936328,42936318,42936302,42936350,42936326,42936257,42936331,42936308
42936298,42936386,42936357,42936254,42936326,42936328,42936331,42936277
42936286,42936298,42936315,42936305,42936326,42936280,42936335,42936360
42936328,42936298,42936310,42936272,42936326,42936260,42936382,42936364
42936286,42936386,42936310,42936305,42936390,42936280,42936254,42936350
42936318,42936395,42936344,42936290,42936252,42936354,42936310,42936350
42936298,42936354,42936310,42936272,42936326,42936395,42936331,42936257
42936395,42936310,42936315,42936305,42936348,42936360,42936272,42936254
42936280,42936360,42936315,42936272,42936308,42936328,42936331,42936350
42936280,42936395,42936344,42936305,42936308,42936360,42936315,42936254
42936280,42936395,42936315,42936290,42936348,42936360,42936254,42936302
42936280,42936360,42936310,42936290,42936348,42936277,42936315,42936354
42936280,42936386,42936315,42936272,42936390,42936277,42936310,42936360
42936286,42936310,42936315,42936290,42936390,42936318,42936254,42936360
42936360,42936354,42936260,42936272,42936390,42936395,42936305,42936254
42936280,42936310,42936344,42936254,42936390,42936277,42936350,42936395
42936322,42936354,42936290,42936254,42936348,42936360,42936350,42936257
42936280,42936310,42936290,42936272,42936415,42936392,42936254,42936395
42936277,42936318,42936344,42936290,42936348,42936360,42936254,42936350
42936286,42936395,42936290,42936272,42936348,42936328,42936350,42936257
