PG,SG,SF,PF,C,G,F,UTIL
42763645,42763798,42763686,42763689,42763714,42763711,42763698,42763664
42763645,42763698,42763695,42763692,42763714,42763711,42763664,42763761
42763645,42763772,42763695,42763664,42763714,42763711,42763686,42763698
42763645,42763672,42763686,42763692,42763714,42763711,42763698,42763761
42763645,42763798,42763686,42763692,42763714,42763761,42763698,42763648
42763711,42763698,42763772,42763664,42763714,42763798,42763686,42763640
42763645,42763698,42763686,42763689,42763684,42763711,42763692,42763787
42763645,42763798,42763698,42763692,42763640,42763787,42763772,42763734
42763711,42763761,42763734,42763689,42763640,42763787,42763664,42763698
42763645,42763761,42763698,42763689,42763684,42763675,42763714,42763711
42763645,42763761,42763698,42763692,42763721,42763787,42763686,42763648
42763645,42763718,42763686,42763714,42763721,42763711,42763664,42763698
42763645,42763758,42763695,42763689,42763721,42763711,42763698,42763664
42763645,42763790,42763698,42763689,42763684,42763711,42763664,42763714
42763645,42763718,42763772,42763714,42763640,42763761,42763698,42763798
42763645,42763761,42763698,42763654,42763684,42763711,42763692,42763787
42763645,42763798,42763734,42763689,42763640,42763761,42763698,42763824
42763645,42763730,42763698,42763734,42763640,42763711,42763772,42763798
42763798,42763758,42763686,42763734,42763640,42763761,42763698,42763648
42763645,42763758,42763695,42763689,42763714,42763648,42763698,42763787
42763711,42763758,42763698,42763692,42763640,42763648,42763772,42763824
42763645,42763718,42763772,42763734,42763684,42763711,42763698,42763648
42763645,42763790,42763772,42763734,42763640,42763798,42763698,42763686
42763645,42763772,42763698,42763689,42763705,42763798,42763692,42763648
42763645,42763761,42763772,42763692,42763714,42763711,42763686,42763648
42763711,42763769,42763772,42763692,42763640,42763648,42763698,42763798
42763645,42763758,42763695,42763689,42763714,42763761,42763654,42763698
42763645,42763772,42763686,42763689,42763684,42763711,42763664,42763761
42763645,42763672,42763698,42763689,42763721,42763711,42763692,42763743
42763645,42763698,42763734,42763824,42763640,42763798,42763772,42763684
42763645,42763761,42763772,42763664,42763721,42763711,42763714,42763648
42763711,42763698,42763695,42763765,42763640,42763787,42763714,42763664
42763645,42763798,42763734,42763692,42763640,42763711,42763772,42763761
42763645,42763758,42763686,42763664,42763721,42763672,42763698,42763787
42763711,42763672,42763765,42763714,42763640,42763787,42763686,42763698
42763645,42763758,42763686,42763692,42763684,42763672,42763698,42763787
42763645,42763758,42763734,42763664,42763684,42763718,42763686,42763698
42763645,42763672,42763698,42763841,42763684,42763711,42763664,42763761
42763645,42763725,42763698,42763664,42763684,42763711,42763686,42763787
42763645,42763758,42763695,42763689,42763721,42763698,42763681,42763686
42763787,42763698,42763686,42763692,42763721,42763648,42763664,42763684
42763645,42763758,42763772,42763689,42763640,42763711,42763734,42763798
42763787,42763798,42763765,42763714,42763640,42763648,42763698,42763686
42763787,42763672,42763772,42763692,42763684,42763648,42763664,42763698
42763645,42763672,42763698,42763692,42763684,42763718,42763714,42763761
42763743,42763758,42763686,42763664,42763640,42763711,42763698,42763787
42763645,42763798,42763686,42763734,42763640,42763772,42763714,42763761
42763645,42763672,42763772,42763664,42763714,42763711,42763686,42763761
42763645,42763672,42763698,42763824,42763705,42763711,42763772,42763648
42763743,42763698,42763734,42763664,42763714,42763787,42763686,42763640
