PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42763645,Cade Cunningham,10000,55.73,42763798,Bruce Brown,3500,16.74,42763686,Jaden McDaniels,6300,33.35,42763689,Tobias Harris,6200,32.67,42763714,Naz Reid,5100,26.24,42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763664,Julius Randle,7700,40.91,271.41,49800,36.1,3.6089e+1
42763645,Cade Cunningham,10000,55.73,42763698,Ayo Dosunmu,5800,37.03,42763695,Ausar Thompson,5900,29.10,42763692,Dillon Brooks,6100,31.71,42763714,Naz Reid,5100,26.24,42763711,Ajay Mitchell,5200,28.74,42763664,Julius Randle,7700,40.91,42763761,Bones Hyland,4200,21.42,270.88,50000,34.7,3.4688e+1
42763645,Cade Cunningham,10000,55.73,42763772,Tim Hardaway Jr.,3900,19.71,42763695,Ausar Thompson,5900,29.10,42763664,Julius Randle,7700,40.91,42763714,Naz Reid,5100,26.24,42763711,Ajay Mitchell,5200,28.74,42763686,Jaden McDaniels,6300,33.35,42763698,Ayo Dosunmu,5800,37.03,270.81,49900,36.1,3.6065e+1
42763645,Cade Cunningham,10000,55.73,42763672,Jalen Green,7300,36.54,42763686,Jaden McDaniels,6300,33.35,42763692,Dillon Brooks,6100,31.71,42763714,Naz Reid,5100,26.24,42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763761,Bones Hyland,4200,21.42,270.76,50000,34.9,3.4879e+1
42763645,Cade Cunningham,10000,55.73,42763798,Bruce Brown,3500,16.74,42763686,Jaden McDaniels,6300,33.35,42763692,Dillon Brooks,6100,31.71,42763714,Naz Reid,5100,26.24,42763761,Bones Hyland,4200,21.42,42763698,Ayo Dosunmu,5800,37.03,42763648,Jamal Murray,9000,47.94,270.16,50000,35.2,3.5227e+1
42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763772,Tim Hardaway Jr.,3900,19.71,42763664,Julius Randle,7700,40.91,42763714,Naz Reid,5100,26.24,42763798,Bruce Brown,3500,16.74,42763686,Jaden McDaniels,6300,33.35,42763640,Nikola Jokic,12500,67.35,270.07,50000,35.3,3.5331e+1
42763645,Cade Cunningham,10000,55.73,42763698,Ayo Dosunmu,5800,37.03,42763686,Jaden McDaniels,6300,33.35,42763689,Tobias Harris,6200,32.67,42763684,Rudy Gobert,6500,31.98,42763711,Ajay Mitchell,5200,28.74,42763692,Dillon Brooks,6100,31.71,42763787,Mike Conley,3700,17.04,268.25,49800,32.4,3.2415e+1
42763645,Cade Cunningham,10000,55.73,42763798,Bruce Brown,3500,16.74,42763698,Ayo Dosunmu,5800,37.03,42763692,Dillon Brooks,6100,31.71,42763640,Nikola Jokic,12500,67.35,42763787,Mike Conley,3700,17.04,42763772,Tim Hardaway Jr.,3900,19.71,42763734,Cameron Johnson,4500,22.14,267.45,50000,31.5,3.1497e+1
42763711,Ajay Mitchell,5200,28.74,42763761,Bones Hyland,4200,21.42,42763734,Cameron Johnson,4500,22.14,42763689,Tobias Harris,6200,32.67,42763640,Nikola Jokic,12500,67.35,42763787,Mike Conley,3700,17.04,42763664,Julius Randle,7700,40.91,42763698,Ayo Dosunmu,5800,37.03,267.30,49800,32.7,3.2729e+1
42763645,Cade Cunningham,10000,55.73,42763761,Bones Hyland,4200,21.42,42763698,Ayo Dosunmu,5800,37.03,42763689,Tobias Harris,6200,32.67,42763684,Rudy Gobert,6500,31.98,42763675,Jalen Suggs,7000,33.46,42763714,Naz Reid,5100,26.24,42763711,Ajay Mitchell,5200,28.74,267.27,50000,32.6,3.2552e+1
42763645,Cade Cunningham,10000,55.73,42763761,Bones Hyland,4200,21.42,42763698,Ayo Dosunmu,5800,37.03,42763692,Dillon Brooks,6100,31.71,42763721,Oso Ighodaro,4900,23.02,42763787,Mike Conley,3700,17.04,42763686,Jaden McDaniels,6300,33.35,42763648,Jamal Murray,9000,47.94,267.24,50000,32.2,3.2152e+1
42763645,Cade Cunningham,10000,55.73,42763718,Christian Braun,5000,22.18,42763686,Jaden McDaniels,6300,33.35,42763714,Naz Reid,5100,26.24,42763721,Oso Ighodaro,4900,23.02,42763711,Ajay Mitchell,5200,28.74,42763664,Julius Randle,7700,40.91,42763698,Ayo Dosunmu,5800,37.03,267.20,50000,32.4,3.2351e+1
42763645,Cade Cunningham,10000,55.73,42763758,Duncan Robinson,4200,19.89,42763695,Ausar Thompson,5900,29.10,42763689,Tobias Harris,6200,32.67,42763721,Oso Ighodaro,4900,23.02,42763711,Ajay Mitchell,5200,28.74,42763698,Ayo Dosunmu,5800,37.03,42763664,Julius Randle,7700,40.91,267.09,49900,31.4,3.1404e+1
