CPT,UTIL,UTIL,UTIL,UTIL,UTIL
42954635,42954603,42954604,42954609,42954610,42954620
42954635,42954603,42954604,42954610,42954612,42954613
42954642,42954602,42954603,42954604,42954607,42954628
42954636,42954602,42954604,42954609,42954612,42954615
42954636,42954602,42954604,42954609,42954610,42954628
42954637,42954602,42954603,42954609,42954610,42954620
42954642,42954602,42954603,42954605,42954610,42954612
42954635,42954603,42954604,42954609,42954612,42954615
42954642,42954602,42954603,42954604,42954612,42954614
42954636,42954602,42954604,42954605,42954613,42954620
42954636,42954602,42954605,42954609,42954612,42954614
42954637,42954602,42954603,42954609,42954611,42954616
42954636,42954602,42954605,42954607,42954613,42954614
42954637,42954602,42954603,42954610,42954612,42954613
42954636,42954602,42954604,42954610,42954612,42954614
42954635,42954603,42954605,42954609,42954612,42954614
42954636,42954602,42954604,42954609,42954613,42954617
42954636,42954602,42954604,42954606,42954614,42954616
42954636,42954602,42954604,42954607,42954612,42954620
42954635,42954603,42954605,42954607,42954613,42954614
42954636,42954602,42954606,42954609,42954610,42954614
42954636,42954602,42954604,42954608,42954612,42954616
42954635,42954603,42954604,42954609,42954613,42954617
42954635,42954603,42954604,42954606,42954614,42954616
42954636,42954602,42954606,42954607,42954610,42954616
42954635,42954603,42954604,42954607,42954612,42954620
42954642,42954602,42954603,42954604,42954610,42954615
42954636,42954602,42954604,42954605,42954615,42954616
42954636,42954602,42954605,42954609,42954610,42954615
42954635,42954603,42954604,42954608,42954612,42954616
42954637,42954602,42954603,42954609,42954612,42954615
42954635,42954603,42954604,42954605,42954615,42954616
42954638,42954602,42954603,42954607,42954609,42954620
42954642,42954602,42954603,42954605,42954607,42954620
42954640,42954602,42954603,42954605,42954609,42954620
42954637,42954602,42954603,42954607,42954610,42954627
42954642,42954602,42954603,42954605,42954608,42954616
42954640,42954602,42954603,42954604,42954610,42954620
42954635,42954604,42954605,42954609,42954612,42954613
42954636,42954602,42954604,42954609,42954614,42954620
42954637,42954603,42954605,42954607,42954609,42954620
42954636,42954602,42954605,42954607,42954610,42954620
42954637,42954602,42954603,42954606,42954614,42954616
42954637,42954602,42954603,42954607,42954612,42954620
42954636,42954602,42954604,42954607,42954613,42954618
42954635,42954603,42954604,42954605,42954613,42954620
42954636,42954602,42954606,42954607,42954609,42954620
42954635,42954603,42954606,42954607,42954609,42954620
42954636,42954602,42954604,42954607,42954614,42954615
42954635,42954603,42954605,42954609,42954610,42954615
42954636,42954602,42954604,42954605,42954612,42954628
42954635,42954603,42954604,42954607,42954614,42954615
42954637,42954602,42954603,42954605,42954613,42954620
42954636,42954602,42954604,42954605,42954614,42954617
42954635,42954603,42954604,42954605,42954612,42954628
42954642,42954602,42954603,42954604,42954608,42954620
42954635,42954603,42954604,42954605,42954614,42954617
42954635,42954603,42954605,42954607,42954610,42954620
42954636,42954602,42954604,42954608,42954610,42954620
42954635,42954603,42954604,42954607,42954613,42954618
42954635,42954603,42954605,42954608,42954610,42954616
42954637,42954602,42954603,42954607,42954614,42954615
42954635,42954603,42954604,42954610,42954611,42954614
42954635,42954603,42954605,42954606,42954612,42954616
42954637,42954602,42954603,42954605,42954612,42954628
42954636,42954602,42954604,42954611,42954612,42954613
42954637,42954602,42954603,42954605,42954614,42954617
42954640,42954602,42954603,42954604,42954612,42954615
42954636,42954602,42954605,42954607,42954612,42954615
42954638,42954602,42954603,42954604,42954612,42954620
42954636,42954602,42954604,42954610,42954613,42954615
42954636,42954602,42954606,42954609,42954611,42954613
42954638,42954602,42954603,42954604,42954613,42954617
42954642,42954602,42954603,42954606,42954607,42954615
42954635,42954604,42954605,42954607,42954612,42954614
42954637,42954602,42954603,42954607,42954613,42954618
42954635,42954603,42954605,42954607,42954612,42954615
42954635,42954603,42954604,42954609,42954614,42954618
42954635,42954603,42954606,42954609,42954611,42954613
42954643,42954602,42954603,42954604,42954608,42954614
42954635,42954604,42954606,42954609,42954610,42954614
42954637,42954602,42954603,42954610,42954611,42954614
42954637,42954602,42954605,42954607,42954609,42954628
42954638,42954602,42954603,42954609,42954611,42954612
42954636,42954602,42954604,42954607,42954611,42954628
42954636,42954602,42954604,42954609,42954611,42954618
42954638,42954602,42954603,42954604,42954614,42954615
42954636,42954604,42954605,42954609,42954610,42954620
42954636,42954602,42954607,42954608,42954609,42954618
42954635,42954604,42954608,42954609,42954610,42954612
42954637,42954603,42954605,42954606,42954610,42954616
42954635,42954603,42954604,42954609,42954611,42954628
42954642,42954603,42954604,42954605,42954610,42954611
42954635,42954604,42954607,42954609,42954611,42954612
42954636,42954604,42954605,42954608,42954610,42954616
42954637,42954603,42954605,42954609,42954611,42954613
42954636,42954604,42954605,42954609,42954611,42954614
42954635,42954604,42954605,42954609,42954610,42954616
42954641,42954603,42954604,42954605,42954609,42954616
42954635,42954604,42954605,42954608,42954609,42954620
42954635,42954604,42954606,42954607,42954609,42954628
42954635,42954605,42954607,42954608,42954609,42954614
42954636,42954604,42954606,42954609,42954611,42954612
42954635,42954604,42954607,42954608,42954610,42954614
42954636,42954605,42954606,42954607,42954609,42954615
42954636,42954605,42954606,42954608,42954609,42954616
42954636,42954605,42954606,42954609,42954610,42954611
42954635,42954605,42954606,42954607,42954610,42954614
42954635,42954605,42954606,42954607,42954609,42954617
42954635,42954605,42954607,42954608,42954610,42954612
42954635,42954605,42954606,42954607,42954608,42954616
42954635,42954605,42954606,42954607,42954612,42954613
42954636,42954605,42954607,42954608,42954609,42954620
42954635,42954606,42954607,42954609,42954610,42954611
42954636,42954605,42954607,42954608,42954610,42954611
42954636,42954605,42954606,42954608,42954610,42954613
42954637,42954605,42954607,42954609,42954610,42954611
42954637,42954605,42954606,42954609,42954610,42954612
42954636,42954605,42954606,42954607,42954611,42954612
42954637,42954605,42954606,42954607,42954610,42954613
42954635,42954605,42954608,42954609,42954610,42954611
42954637,42954606,42954607,42954608,42954609,42954612
42954635,42954605,42954606,42954609,42954611,42954612
42954635,42954606,42954608,42954609,42954610,42954613
42954635,42954605,42954607,42954609,42954613,42954615
42954635,42954605,42954607,42954609,42954610,42954618
42954635,42954607,42954608,42954609,42954611,42954613
42954638,42954606,42954607,42954608,42954609,42954610
42954635,42954606,42954607,42954608,42954609,42954615
42954636,42954606,42954607,42954608,42954610,42954615
42954635,42954606,42954607,42954608,42954612,42954614
42954636,42954606,42954607,42954609,42954610,42954612
42954636,42954606,42954607,42954609,42954610,42954613
