CPT_ID,CPT_Name,CPT_Salary,CPT_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954609,Derrick White,7000,33.39,42954610,Neemias Queta,5600,24.20,42954620,Justin Edwards,1200,5.83,228.86,49600,36.2,3.6208e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954610,Neemias Queta,5600,24.20,42954612,Nikola Vucevic,4400,18.94,42954613,Sam Hauser,4200,18.90,227.48,50000,36.5,3.6500e+1
42954642,Derrick White,10500,50.09,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954607,Payton Pritchard,7800,33.08,42954628,Hugo Gonzalez,1000,2.48,226.89,49900,35.9,3.5920e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954609,Derrick White,7000,33.39,42954612,Nikola Vucevic,4400,18.94,42954615,Andre Drummond,2800,7.76,226.33,49900,34.9,3.4917e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954609,Derrick White,7000,33.39,42954610,Neemias Queta,5600,24.20,42954628,Hugo Gonzalez,1000,2.48,226.31,49300,36.0,3.6042e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954609,Derrick White,7000,33.39,42954610,Neemias Queta,5600,24.20,42954620,Justin Edwards,1200,5.83,226.09,49400,36.1,3.6065e+1
42954642,Derrick White,10500,50.09,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954610,Neemias Queta,5600,24.20,42954612,Nikola Vucevic,4400,18.94,225.72,49900,36.5,3.6548e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954609,Derrick White,7000,33.39,42954612,Nikola Vucevic,4400,18.94,42954615,Andre Drummond,2800,7.76,225.53,50000,34.2,3.4215e+1
42954642,Derrick White,10500,50.09,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954612,Nikola Vucevic,4400,18.94,42954614,Jordan Walsh,3400,15.26,225.53,48900,36.6,3.6622e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954613,Sam Hauser,4200,18.90,42954620,Justin Edwards,1200,5.83,225.08,49900,34.3,3.4272e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954605,Paul George,8800,34.11,42954609,Derrick White,7000,33.39,42954612,Nikola Vucevic,4400,18.94,42954614,Jordan Walsh,3400,15.26,225.08,49300,35.8,3.5827e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954609,Derrick White,7000,33.39,42954611,Quentin Grimes,4800,13.74,42954616,Baylor Scheierman,2200,15.04,224.84,49600,36.6,3.6643e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954605,Paul George,8800,34.11,42954607,Payton Pritchard,7800,33.08,42954613,Sam Hauser,4200,18.90,42954614,Jordan Walsh,3400,15.26,224.73,49900,35.7,3.5687e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954610,Neemias Queta,5600,24.20,42954612,Nikola Vucevic,4400,18.94,42954613,Sam Hauser,4200,18.90,224.71,49800,36.4,3.6357e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954610,Neemias Queta,5600,24.20,42954612,Nikola Vucevic,4400,18.94,42954614,Jordan Walsh,3400,15.26,224.64,49100,35.9,3.5863e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954609,Derrick White,7000,33.39,42954612,Nikola Vucevic,4400,18.94,42954614,Jordan Walsh,3400,15.26,224.28,49400,35.1,3.5125e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954609,Derrick White,7000,33.39,42954613,Sam Hauser,4200,18.90,42954617,Luka Garza,1800,5.62,224.15,48700,35.7,3.5702e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954606,VJ Edgecombe,8200,27.60,42954614,Jordan Walsh,3400,15.26,42954616,Baylor Scheierman,2200,15.04,224.14,49500,35.5,3.5452e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954607,Payton Pritchard,7800,33.08,42954612,Nikola Vucevic,4400,18.94,42954620,Justin Edwards,1200,5.83,224.09,49100,34.6,3.4573e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954607,Payton Pritchard,7800,33.08,42954613,Sam Hauser,4200,18.90,42954614,Jordan Walsh,3400,15.26,223.93,50000,35.0,3.4985e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954606,VJ Edgecombe,8200,27.60,42954609,Derrick White,7000,33.39,42954610,Neemias Queta,5600,24.20,42954614,Jordan Walsh,3400,15.26,223.83,49900,34.8,3.4755e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954608,Kelly Oubre Jr.,7400,23.38,42954612,Nikola Vucevic,4400,18.94,42954616,Baylor Scheierman,2200,15.04,223.60,49700,34.9,3.4888e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954609,Derrick White,7000,33.39,42954613,Sam Hauser,4200,18.90,42954617,Luka Garza,1800,5.62,223.35,48800,35.0,3.5000e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954606,VJ Edgecombe,8200,27.60,42954614,Jordan Walsh,3400,15.26,42954616,Baylor Scheierman,2200,15.04,223.34,49600,34.8,3.4750e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954606,VJ Edgecombe,8200,27.60,42954607,Payton Pritchard,7800,33.08,42954610,Neemias Queta,5600,24.20,42954616,Baylor Scheierman,2200,15.04,223.30,49500,36.4,3.6420e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954607,Payton Pritchard,7800,33.08,42954612,Nikola Vucevic,4400,18.94,42954620,Justin Edwards,1200,5.83,223.29,49200,33.9,3.3872e+1
42954642,Derrick White,10500,50.09,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954610,Neemias Queta,5600,24.20,42954615,Andre Drummond,2800,7.76,223.29,49500,35.0,3.5040e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954615,Andre Drummond,2800,7.76,42954616,Baylor Scheierman,2200,15.04,223.15,49500,34.9,3.4942e+1
42954636,Jaylen Brown,15300,75.00,42954602,Joel Embiid,10400,48.38,42954605,Paul George,8800,34.11,42954609,Derrick White,7000,33.39,42954610,Neemias Queta,5600,24.20,42954615,Andre Drummond,2800,7.76,222.84,49900,34.2,3.4245e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954608,Kelly Oubre Jr.,7400,23.38,42954612,Nikola Vucevic,4400,18.94,42954616,Baylor Scheierman,2200,15.04,222.80,49800,34.2,3.4187e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954609,Derrick White,7000,33.39,42954612,Nikola Vucevic,4400,18.94,42954615,Andre Drummond,2800,7.76,222.76,49800,34.1,3.4072e+1
42954635,Joel Embiid,15600,72.58,42954603,Jaylen Brown,10200,50.00,42954604,Tyrese Maxey,10000,42.86,42954605,Paul George,8800,34.11,42954615,Andre Drummond,2800,7.76,42954616,Baylor Scheierman,2200,15.04,222.35,49600,34.2,3.4240e+1
42954638,Paul George,13200,51.17,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954607,Payton Pritchard,7800,33.08,42954609,Derrick White,7000,33.39,42954620,Justin Edwards,1200,5.83,221.85,49800,35.8,3.5768e+1
42954642,Derrick White,10500,50.09,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954607,Payton Pritchard,7800,33.08,42954620,Justin Edwards,1200,5.83,221.49,48900,34.7,3.4660e+1
42954640,Payton Pritchard,11700,49.63,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954605,Paul George,8800,34.11,42954609,Derrick White,7000,33.39,42954620,Justin Edwards,1200,5.83,221.34,49300,35.0,3.4973e+1
42954637,Tyrese Maxey,15000,64.29,42954602,Joel Embiid,10400,48.38,42954603,Jaylen Brown,10200,50.00,42954607,Payton Pritchard,7800,33.08,42954610,Neemias Queta,5600,24.20,42954627,Adem Bona,1000,1.09,221.04,50000,34.1,3.4103e+1
