DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42442753,Slade Cecconi,SP,,CLE,SEA,Confirmed,16500,0,19.33,,19.33,1.171515152,19.76,25.06095457,0,100,4.0048,8.4032,12.8852,6.2,12.875,19.9,23.3,29.005,34.301,24.0114,14,24,34,39,48,55,14.8117,7.4,14.8,22.5,26.5,32.505,38.401,19.9764,10.5,20,30,34.5,42.5,50.005,9.83588,14.1532,10.9775,13.8322,2.7858,0.9136,0.104667,0.930933,0,0,2.71893,0,4.5444,1.8392,21.8953,4.735,2.51293,5.22096,0.250667,0.187533,0.00593333,0.000733333,85.6379
42442754,Emerson Hancock,SP,,SEA,CLE,Confirmed,15900,0,17.38,,17.38,1.093081761,14.9,18.05420865,0,100,4.3984,8.4032,11.587,5.4875,11.55,18,21.35,26.3025,31.35,21.6601,13,21,30,36,44,51,13.3743,6.6,13.5,20.6,24.4,29.6,35.4,18.0436,9.5,18,27,31.5,39,46,9.10739,12.9189,10.2034,12.8222,2.8444,0.842067,0.115467,0.619067,0,0,2.27593,0,3.762,1.81467,20.4809,4.421001,2.10287,4.87933,0.257533,0.124867,0.000333333,0.000266667,77.4708
42442755,Jose Ramirez,3B,3,CLE,SEA,Confirmed,14700,0,13.34,,13.34,0.907482993,4.27,4.079098412,0,100,4.0048,8.4032,8.89547,3,7,14,18,25,34,11.5894,3,9,18.2,22.4,33.605,44.402,8.73007,2.6,7.1,13.5,16.8,24.105,32.9,9.4418,2.5,6.5,14,19.5,28.5,39,8.14325,10.8648,7.97067,9.4871,0.632733,0.1984,0.0263333,0.158667,0.225,0.0316667,0.513267,0.5654,0.608933,0.4628,4.4368,1.0161333,0,0,0,0,0,0,0
42442756,Cal Raleigh,C,2,SEA,CLE,Confirmed,14400,0,13.24,,13.24,0.919444444,5.99,6.175466716,0,100,4.3984,8.4032,8.8258,2,6,14,18,26,36,11.8077,3,9,18.7,24.9,34.71,47.903,8.88652,2.6,6.4,14.2,18.7,25.8,36,9.4619,1.5,5.5,16.5,21,30,43,8.73614,11.8499,8.72803,10.6545,0.419,0.150733,0.0248667,0.2732,0.0834,0.0160667,0.617867,0.638667,1.2502,0.477067,4.36373,0.8677997,0,0,0,0,0,0,0
42442672,Slade Cecconi,SP,,CLE,SEA,Confirmed,11000,0,12.89,,12.89,1.171818182,42.13,48.93562149,0,100,4.0048,8.4032,12.8852,6.2,12.875,19.9,23.3,29.005,34.301,24.0114,14,24,34,39,48,55,14.8117,7.4,14.8,22.5,26.5,32.505,38.401,19.9764,10.5,20,30,34.5,42.5,50.005,9.83588,14.1532,10.9775,13.8322,2.7858,0.9136,0.104667,0.930933,0,0,2.71893,0,4.5444,1.8392,21.8953,4.735,2.51293,5.22096,0.250667,0.187533,0.00593333,0.000733333,85.6379
42442761,Brendan Donovan,2B/3B,1,SEA,CLE,Confirmed,11700,0,11.97,,11.97,1.023076923,4.66,4.542937997,0,100,4.3984,8.4032,7.9818,3,6.5,12,16,21,30,10.3205,3,9,15.4,19.5,28.4,40.6,7.84857,2.6,6.4,11.6,14.9,21.3,29.604,8.59253,2.5,6,12.5,17,25,35.5,7.05611,9.41392,6.97477,8.35973,0.699867,0.220267,0.0518,0.123933,0.0619333,0.00833333,0.5832,0.462867,0.6036,0.362667,4.43853,1.095867,0,0,0,0,0,0,0
42442760,Josh Naylor,1B,4,SEA,CLE,Confirmed,12000,0,11.87,,11.87,0.989166667,5.03,4.974601665,0,100,4.3984,8.4032,7.91267,2,5,12,16,23,32,10.3548,3,6.5,15.7,21.7,30.9,43.9,7.76834,2.6,5.2,11.6,16.1,22.5,32.2,8.6021,2,6,13,19,26,38.01,7.61537,10.2623,7.51372,9.10412,0.613533,0.188667,0.0101333,0.166867,0.112333,0.0141333,0.506333,0.574667,0.5826,0.327667,4.12973,0.9792003,0,0,0,0,0,0,0
42442762,Steven Kwan,OF,1,CLE,SEA,Confirmed,11100,0,11.65,,11.65,1.04954955,3.67,3.41036092,0,100,4.0048,8.4032,7.7694,3,6,12,15,21,29,9.91652,3,6.5,15.2,18.7,27.9,38.1,7.5752,2.6,5.2,11.3,14.2,21,28.4,8.18727,2.5,6,12,16.5,24,34,6.9044,9.08506,6.74019,7.91353,0.753133,0.206733,0.0437333,0.0880667,0.131667,0.0196667,0.520267,0.382133,0.479067,0.391333,4.61253,1.091666,0,0,0,0,0,0,0
42442673,Emerson Hancock,SP,,SEA,CLE,Confirmed,10600,0,11.59,,11.59,1.093396226,37.55,42.8656514,0,100,4.3984,8.4032,11.587,5.4875,11.55,18,21.35,26.3025,31.35,21.6601,13,21,30,36,44,51,13.3743,6.6,13.5,20.6,24.4,29.6,35.4,18.0436,9.5,18,27,31.5,39,46,9.10739,12.9189,10.2034,12.8222,2.8444,0.842067,0.115467,0.619067,0,0,2.27593,0,3.762,1.81467,20.4809,4.421001,2.10287,4.87933,0.257533,0.124867,0.000333333,0.000266667,77.4708
42442758,Randy Arozarena,OF,5,SEA,CLE,Confirmed,12900,0,11.53,,11.53,0.89379845,3.43,3.099310785,0,100,4.3984,8.4032,7.68587,2,5,12,16,22,30,10.1997,3,6.5,15.2,21.7,29.2,40.9,7.69246,2.6,5.2,11.6,16.1,22,30.3,7.95557,1.5,5.5,12,18,25.5,36,7.45344,10.0549,7.38334,8.86301,0.4664,0.160733,0.0088,0.158933,0.153667,0.0211333,0.5022,0.489733,1.06527,0.535533,4.06567,0.794866,0,0,0,0,0,0,0
