DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42471367,Logan Gilbert,P,,SEA,NYY,Confirmed,9500,0,20.37,,20.37,2.144210526,48.98,50.74492358,0,100,3.6218,7.3644,20.9187,14.1,21.225,28.1,31.7,37.1,42.8545,35.6154,25,36,46,52,60,68,23.4611,15.8,23.7,31.5,35.4,41.4,47.401,31.5181,22,32,42,46.5,54.5,62.5,10.1736,15.0169,11.2481,14.3943,2.2695,0.83325,0.0368,0.92465,0,0,2.1501,0,7.17505,1.70645,22.6614,4.0642,1.9803,5.72385,0.2734,0.3048,0.00485,0.0024,91.644
42471275,Logan Webb,P,,SF,SD,Confirmed,8600,0,19.02,,19.02,2.211627907,37.43,39.23182305,0,100,4.4792,8.259,17.1068,10.1875,17.6,24.45,27.7,33.0525,38.553,31.1163,21,32,43,47,55,61,19.5099,11.9,19.9,27.6,31.315,37.005,42.3,25.9983,16.5,26.5,36.5,41,48.5,55.5,10.1622,14.8802,11.2063,14.1917,3.8892,1.0518,0.08692,0.57932,0,0,2.44504,0,5.14868,1.38052,25.0556,5.60724,2.25224,6.15649,0.38412,0.4132,0.03732,0.00956,90.6007
42471249,Shohei Ohtani,P,,LAD,CLE,Confirmed,9000,0,18.4,,18.4,2.044444444,46.1,48.33581996,0,100,5.2722,8.6142,19.3832,12.45,19.9,26.7,29.9,35.35,40.8505,33.6189,23,34,45,49,58,66,21.6967,13.9,22.5,29.6,33.415,39.4,45.201,29.4363,19.5,30,40,44.5,52,59.5,10.1194,14.9074,11.1949,14.3252,2.61524,0.77888,0.136,0.61856,0,0,2.03,0,6.27744,2.04592,22.6012,4.14868,1.87464,5.58772,0.42576,0.2732,0.00436,0.00248,90.3089
42471238,Max Fried,P,,NYY,SEA,Confirmed,8800,0,17.78,,17.78,2.020454545,38.67,40.33891627,0,100,3.7426,7.3644,18.0994,11.3,18.45,25.4,28.75,33.6025,39.6005,32.0861,21,33,43,48,55,64,20.4391,12.9,20.8,28.6,32.4,37.6,43.6,27.5271,18,28,38,42.5,49.5,58,9.96219,14.6817,11.0404,14.034,2.996,0.84475,0.0404,0.53955,0,0,2.08045,0,5.759,2.0558,23.3745,4.4207,1.9192,5.76393,0.32415,0.3325,0.0123,0.0031,94.1175
42471462,Brandon Pfaadt,P,,ARI,DET,Confirmed,6800,0,12.67,,12.67,1.863235294,9.01,7.466039694,0,100,4.6598,9.3922,12.4764,5.85,12.7,19.65,23,28,33.7505,23.4397,14,23,33,39,47,55,14.3227,6.9,14.6,22.5,26.2,31.5,38.201,19.4477,10,19.5,29.5,34.5,41.5,49.5,9.8445,14.1118,10.9695,13.8844,3.13348,1.1744,0.18092,0.77784,0,0,2.7612,0,4.51012,1.383,21.7071,5.26664,2.5508,5.12653,0.25228,0.16712,0.00104,0.00044,85.0269
42471403,Casey Mize,P,,DET,ARI,Confirmed,7000,0,12.35,,12.35,1.764285714,7.61,5.990862969,0,100,4.7324,9.3922,11.5787,4.8,11.5,18.25,21.95,27.1,32.8005,22.3111,12,21,32,37,46,54,13.4211,5.8,13.4,20.8,24.8,30.505,37.001,18.144,8.5,18,27.5,33,40,48,9.65417,13.8584,10.7792,13.5765,3.27932,1.09056,0.10932,0.82548,0,0,2.86472,0,4.05452,1.57444,22.1712,5.30468,2.63976,5.22428,0.27748,0.18228,0.00416,0.00052,83.3769
42471463,Tanner Bibee,P,,CLE,LAD,Confirmed,8000,0,10.29,,10.29,1.28625,5.3,3.836079926,0,100,3.342,8.6142,10.7542,4.2,10.75,17.35,20.8,26.4025,32.75,21.2174,12,21,30,36,44,53,12.2695,4.9,12.4,19.6,23.5,29.5,36.302,17.1592,8,17,26.5,31,39.5,48,9.72217,13.68,10.8324,13.6825,2.78292,0.87824,0.12552,1.06168,0,0,3.09896,0,4.56948,2.3476,21.5294,4.84836,2.86304,4.90843,0.15192,0.11532,0.00256,0.00036,86.1592
42471216,Aaron Judge,OF,2,NYY,SEA,Confirmed,6500,0,9.79,,9.79,1.506153846,7.27,6.568929214,0,100,3.7426,7.3644,8.72045,2,6,14,18,25,35,11.591,3,9,18.7,24.7,34.2,47.1,8.85355,2.6,6.4,14.2,18.7,25.1,34.8,9.20187,1.5,5.5,16,20.5,29,41.5,8.38047,11.3596,8.41463,10.1937,0.48075,0.17425,0.00065,0.25915,0.07505,0.01025,0.5827,0.5365,1.32595,0.5983,4.42855,0.9148,0,0,0,0,0,0,0
42471303,Kyle Tucker,OF,2,LAD,CLE,Confirmed,5700,0,9.57,,9.57,1.678947368,21.38,24.75933351,0,100,5.2722,8.6142,9.668,3,7,15,19,26,35.01,12.8432,3,9.2,18.7,25.2,34.71,47.9,9.64199,2.6,7.1,14.2,18.7,25.8,35.302,10.3665,2.5,7.5,16.5,21.5,30,42.5,8.56458,11.5745,8.47944,10.2214,0.54804,0.18432,0.03876,0.2116,0.17396,0.02192,0.69248,0.62652,0.75688,0.5842,4.40832,0.98272,0,0,0,0,0,0,0
42471270,Rafael Devers,1B,2,SF,SD,Confirmed,5600,0,9.4,,9.4,1.678571429,23.52,27.65984879,0,100,4.4792,8.259,9.2296,3,7,14,18,25,35,12.2805,3,9.2,18.7,24.9,34.2,47.4,9.34373,2.6,7.1,14.2,18.7,25.1,35.203,9.99528,2.5,6.5,16.5,21.5,29,42.005,8.31511,11.2733,8.32897,10.0783,0.55904,0.20232,0.00344,0.24852,0.06024,0.01012,0.66004,0.58472,0.90296,0.61872,4.59096,1.01332,0,0,0,0,0,0,0
