DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
42490850,Luka Doncic,PG/G/UTIL,LAL,OKC,,12200,0,57.4,,57.4,4.704918033,13.27,12.16069586,0,100,111.2057,231.8372,57.7589,47.2,56.05,64.575,69.4,76.75,84.5,55.1195,44.855,53.54,62.18,67.06,74.182,82.1616,55.1195,44.855,53.54,62.18,67.06,74.182,82.1616,56.5576,46.46,54.88,63.36,68,75.063,82.8804,12.7914,12.7412,12.7412,12.4551,32.3725,36.4977,6.84763,3.96403,7.44817,1.54003,5.90813,6.95187,1.4498,0.505433,4.0653
42490858,Shai Gilgeous-Alexander,PG/G/UTIL,OKC,LAL,,10400,0,51.4,,51.4,4.942307692,14,12.45037496,0,100,120.6315,231.8372,49.3746,42.15,48.875,55.7,59.45,66,74,48.7192,41.4,48.32,55.38,59.3,65.782,73.9606,48.7192,41.4,48.32,55.38,59.3,65.782,73.9606,49.5569,42.3,49.12,55.88,59.74,66.1,73.9204,10.2963,10.5767,10.5767,10.3388,32.5315,32.8385,10.7168,1.5298,3.3001,0.654533,2.64557,6.32573,1.1817,0.526267,2.7434
42490881,Deni Avdija,SF/PF/F/UTIL,POR,NOP,,8900,0,50.2,,50.2,5.640449438,25.46,21.01828576,0,100,119.123,233.7433,44.5667,34.95,41.6,48.45,52.1,58.5,65.351,43.2967,33.62,40.26,47.16,50.86,57.16,64.52,43.2967,33.62,40.26,47.16,50.86,57.16,64.52,44.2307,34.7,41.36,48.02,51.669,57.8,64.96,9.93323,10.0317,10.0317,9.82869,22.5939,33.3659,6.3048,2.20827,6.11667,1.29407,4.8226,5.89697,0.869367,0.656467,2.8915
42490861,Kawhi Leonard,SG/SF/F/G/UTIL,LAC,SAS,,9500,0,48.3,,48.3,5.084210526,19.65,16.80718237,0,100,116.9712,231.581,46.3888,38.65,45.55,52.9,56.8,63.85,71.6515,45.5855,37.8,44.78,52.1,56.14,63.04,70.9206,45.5855,37.8,44.78,52.1,56.14,63.04,70.9206,46.0951,38.44,45.27,52.355,56.4,63.24,70.6612,10.5354,10.6301,10.6301,10.4005,27.9196,32.4499,8.51603,2.28283,7.0241,1.57293,5.45117,3.71197,1.31357,0.506067,2.3045
42490872,Jalen Duren,C/UTIL,DET,MIN,Confirmed,9000,0,45.6,,45.6,5.066666667,15.08,13.44843856,0,100,114.0997,222.8945,43.8726,37.1,43.25,49.75,53.15,59.7,66.1015,43.6188,36.485,42.92,49.66,53.38,60.082,67.0206,43.6188,36.485,42.92,49.66,53.38,60.082,67.0206,44.5575,37.6,43.92,50.46,54.24,60.78,67.7404,9.43745,9.87116,9.87116,9.73263,22.0875,31.3326,9.18263,0.160533,11.9931,2.45903,9.53403,2.8391,0.704133,0.994265,2.62593
42490885,James Harden,PG/G/UTIL,CLE,GSW,,8700,0,42.4,,42.4,4.873563218,17.33,14.9387885,0,100,118.4337,229.6619,42.4723,35.65,42.05,48.4,52.05,58.1,65.2515,40.4288,33.5,40.06,46.62,50.06,56.183,63.6406,40.4288,33.5,40.06,46.62,50.06,56.183,63.6406,41.7846,34.98,41.28,47.64,51,56.98,63.881,9.56837,9.66569,9.66569,9.33459,19.8107,33.9824,3.3564,2.97743,4.9859,1.01577,3.97013,8.78323,1.2888,0.379733,3.8139
42490878,Donovan Mitchell,SG/G/UTIL,CLE,GSW,,8900,0,42.3,,42.3,4.752808989,14.37,13.07654138,0,100,118.4337,229.6619,43.1334,34.65,41,47.8,51.65,58.05,65.601,41.7033,33.2,39.66,46.34,50.14,56.523,63.76,41.7033,33.2,39.66,46.34,50.14,56.523,63.76,42.2026,33.86,40.16,46.64,50.36,56.683,63.4008,9.85555,9.81293,9.81293,9.5416,24.402,33.2171,5.61167,3.3091,4.2107,0.839133,3.37157,5.3375,1.34507,0.272967,2.3676
42490874,Devin Booker,PG/SG/G/UTIL,PHX,CHA,Confirmed,9000,0,40.8,,40.8,4.533333333,3.63,4.271229107,0,100,110.7843,225.994,39.3516,32.35,38.75,45.35,49,55.1,62.35,38.096,30.96,37.54,44.16,47.9,53.94,61.0806,38.096,30.96,37.54,44.16,47.9,53.94,61.0806,38.963,32.06,38.42,44.86,48.52,54.402,61.5206,9.65356,9.71512,9.71512,9.5055,22.6605,34.0305,6.16817,2.02067,3.76237,0.8762,2.88617,6.2881,0.834167,0.397033,2.5726
42490937,Stephon Castle,SG/G/UTIL,SAS,LAC,,7300,0,40.1,,40.1,5.493150685,29.99,23.99344031,0,100,114.6098,231.581,38.4932,30.2,36.2,42.3,45.8,51.85,58.7525,38.074,29.34,35.68,42.12,45.78,51.823,59.6006,38.074,29.34,35.68,42.12,45.78,51.823,59.6006,38.6131,30.2,36.3,42.53,46.02,51.942,59.1804,9.11183,9.48864,9.48864,9.12917,17.3625,31.4549,4.46653,1.70023,5.33163,1.30363,4.028,5.9826,1.6104,0.384233,2.80233
42490891,Julius Randle,PF/F/UTIL,MIN,DET,Confirmed,8400,0,40,,40,4.761904762,13.79,12.87388503,0,100,108.7948,222.8945,40.1244,32.525,38.65,45.55,49.3,55.45,62.85,38.6794,30.82,37.3,44.2,47.86,54.08,61.6416,38.6794,30.82,37.3,44.2,47.86,54.08,61.6416,39.7226,32.02,38.27,45.02,48.709,54.82,62.18,9.81367,9.86504,9.86504,9.64942,22.361,33.938,5.86247,1.94797,6.44303,1.61757,4.82547,4.34153,0.843033,0.4494,2.91003
