DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
128225-102395,Ryan Weathers,P,,NYY,SEA,Confirmed,8000,0,31,,29.5,3.6875,20.68,21.59388271,0,100,4.3034,8.1472,14.6637,8.1,14.9,21.65,24.95,30.25,35.501,26.2696,17,26,36,42,49,58,16.6777,9.4,16.7,24.5,28.2,34.2,40.2,22.5024,13,22.5,32.5,37,44.5,52,9.6846,13.9073,10.7929,13.6452,2.60752,0.933,0.0878,0.60004,0,0,2.18984,0,4.786,1.90076,21.2364,4.22836,2.02296,5.15103,0.30368,0.17632,0.00336,0.00088,84.2321
128225-79162,Luis Castillo,P,,SEA,NYY,Confirmed,10200,0,27.88,,27.88,2.733333333,18.16,18.61177993,0,100,3.8438,8.1472,15.3378,8.55,15.3,21.9,25.55,31.3,37.001,27.2923,18,27,36,42,51,60,17.2665,9.7,17.3,24.5,28.5,35.1,41.301,23.5928,14,23.5,33,38,46,54.005,9.81829,14.0572,10.9208,13.8764,2.2278,0.85264,0.06988,0.84808,0,0,2.38636,0,5.59588,2.2168,21.0553,3.9984,2.20648,5.06061,0.22488,0.14824,0.00052,0.00036,87.121
128225-79073,Michael Soroka,P,,ARI,DET,Confirmed,7100,0,25.52,,25.52,3.594366197,13.9,14.06555698,0,100,4.7574,9.5174,13.2972,6.55,13.4,20.5,24,29.1525,34.8005,24.6905,15,24,35,40,48.05,57,15.0612,7.7,15.4,23.2,27.215,32.6,39.101,20.7389,11,21,31,36,43,51.5,9.98111,14.237,11.1185,14.0834,2.90395,0.99665,0.0778,0.7867,0,0,2.65285,0,4.92675,1.94835,21.5037,4.7651,2.44735,5.04017,0.256,0.14895,0.00055,0.0003,83.1216
128225-199728,Landen Roupp,P,,SF,SD,Confirmed,8200,0,24.93,,24.93,3.040243902,15.45,15.85818195,0,100,4.4146,8.7458,12.9108,6.2,12.9,19.75,23.15,28.85,33.8,24.0746,14,24,33,39,48,56,14.8182,7.3,14.8,22.525,26.315,32.4,38.2,20.0395,10.5,20,30,34.5,42.5,49.5,9.82244,14.1159,10.9648,13.8298,3.0872,0.9426,0.0839333,0.732933,0,0,2.56633,0,4.37767,1.75007,21.8281,4.8466663,2.37167,5.19816,0.2872,0.184733,0.00413333,0.000733333,84.9928
128225-222787,Roki Sasaki,P,,LAD,CLE,Confirmed,7200,0,24.75,,24.75,3.4375,8.43,7.97972083,0,100,5.1256,9.1724,11.3709,4.8,11.3,18,21.65,26.85,31.9505,21.247,12,21,30,36,44,52,13.1514,5.8,12.9,20.5,24.6,30.4,36.2,17.689,8.5,17.5,27,32,39.5,46.5,9.47085,13.4299,10.6133,13.3268,2.60495,0.7968,0.0806,0.6822,0,0,2.36825,0,3.75715,1.9441,20.2477,4.16455,2.191,4.82103,0.26345,0.1262,0.0007,0.00035,76.6715
128225-232379,Parker Messick,P,,CLE,LAD,Confirmed,9900,0,23.16,,23.16,2.339393939,7.02,6.434061684,0,100,4.0468,9.1724,11.71,5,11.65,18.85,22.5,28.3,33.75,22.4382,12,21,33,38,47,55,13.392,5.9,13.5,21.5,25.4,31.7,37.5,18.4247,9,18.5,28.5,33.5,42,49.5,9.91207,14.1517,11.0531,13.9746,3.0252,1.0475,0.0868,0.7993,0,0,2.8442,0,4.48445,1.90525,21.4958,4.9588,2.6262,4.99923,0.21385,0.14565,0.0029,0.0004,83.5099
128225-79168,Walker Buehler,P,,SD,SF,Confirmed,7400,0,20.69,,20.69,2.795945946,12.12,12.06883606,0,100,4.3312,8.7458,11.8969,5.4,12,18.85,22.2,27.6525,32.702,22.7163,13,23,33,38,46,54,13.7454,6.5,13.8,21.5,25.4,31.3,37.201,18.6025,9.5,18.5,28.5,33,41,48.005,9.64018,13.868,10.7686,13.5791,3.1206,0.939667,0.0825333,0.7214,0,0,2.56387,0,3.9954,1.89933,21.8826,4.8642003,2.366,5.17756,0.260267,0.183467,0.00166667,0.0006,84.4287
128225-5202,Justin Verlander,P,,DET,ARI,Confirmed,9000,0,20.37,,20.37,2.263333333,4.13,3.475917276,0,100,4.76,9.5174,10.4668,4,10.45,17.3,20.75,26.05,31.501,20.8624,11,20,30,36,45,52,12.2357,4.9,12.4,19.8,23.7,29.6,35.501,16.5594,7.5,16.5,26.5,31,38.5,46,9.56112,13.7434,10.6843,13.4256,3.20705,1.09685,0.13065,0.81555,0,0,2.9348,0,3.64895,1.85855,22.3792,5.2501,2.704,5.22673,0.26585,0.18805,0.0062,0.0012,84.1676
128225-82440,Shohei Ohtani,OF/UTIL,1,LAD,CLE,Confirmed,4400,0,13.27,,13.27,3.015909091,27.98,34.54216674,0,100,5.1256,9.1724,10.5316,3,9,16,20,28,36.01,13.9576,3.5,12.2,21.7,27.7,37.4,49.6,10.4754,2.6,9,16.1,20,27.7,36.4,11.3079,3,9,18.5,23,31.025,42.505,8.80462,11.8791,8.71923,10.5242,0.59385,0.21305,0.02755,0.26555,0.16715,0.02235,0.76095,0.6966,1.0051,0.52905,4.54085,1.1,0,0,0,0,0,0,0
128225-68585,Rafael Devers,3B/1B/C/1B/UTIL,2,SF,SD,Confirmed,3600,0,13.12,,13.12,3.644444444,16.82,18.57827119,0,100,4.4146,8.7458,8.56373,2,6,13,17,24,35,11.4127,3,9,18.4,22.2,33.9,47.4,8.68004,2.6,6.4,13.5,16.8,24.4,34.8,9.17047,2,6,14,20,28,42,8.0969,11.0056,8.11123,9.84048,0.5446,0.1866,0.00333333,0.2168,0.0496,0.00973333,0.613467,0.552,1.01893,0.611667,4.57753,0.95133333,0,0,0,0,0,0,0
