DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
128363-145331,Tyrese Maxey,PG,PHI,WAS,Confirmed,10300,0,49.2,,49.2,4.776699029,40.99,30.90555538,0,100,126.4705,239.3848,51.8349,43.5,50.7,58.05,62.05,69.55,77.05,51.0268,42.62,50,57.38,61.5,69.06,76.461,51.0268,42.62,50,57.38,61.5,69.06,76.461,51.2161,43,50.16,57.4,61.28,68.783,76.241,11.304,11.4105,11.4105,11.126,29.8482,34.6204,7.1939,3.71595,3.67385,0.7621,2.91175,7.2826,1.739,0.58385,2.13215
128363-157833,Jalen Johnson,PF/SF,ATL,ORL,Confirmed,10500,0,48.8,,48.8,4.647619048,23.61,19.12118568,0,100,118.4467,234.4589,49.3281,39.9,47.15,54.2,58.05,64.255,71.6525,48.2067,38.62,45.99,53.14,57.04,63.4,71.1806,48.2067,38.62,45.99,53.14,57.04,63.4,71.1806,48.9553,39.58,46.72,53.74,57.566,63.742,71.2406,10.6622,10.7813,10.7813,10.5777,21.4819,34.9249,6.4577,2.03333,9.26627,1.7819,7.48437,7.2961,1.09887,0.551233,2.61117
128363-157822,Scottie Barnes,PF/SF,TOR,SAC,Q,10000,0,46.4,,46.4,4.64,20.44,16.82534838,0,100,118.0262,226.3999,44.3508,35.95,42,47.95,51.45,57.2,64.201,44.6871,35.84,42.14,48.45,52.04,58.18,65.401,44.6871,35.84,42.14,48.45,52.04,58.18,65.401,45.2612,36.6,42.76,49,52.34,58.4,65.4206,8.94627,9.46398,9.46398,9.21773,17.8997,31.5714,5.8508,1.2393,7.38483,1.68177,5.70307,7.309,1.2635,1.08927,2.4699
128363-67026,Jaylen Brown,SF/SG,BOS,MIA,,9900,0,44.6,,44.6,4.505050505,24.36,19.97161998,0,100,117.0465,229.4915,45.9794,37.65,44.1,51,54.45,60.95,68.0015,45.133,36.42,43.18,50.18,53.84,59.923,67.5604,45.133,36.42,43.18,50.18,53.84,59.923,67.5604,45.611,37.16,43.74,50.48,53.989,60.12,67.36,9.82414,9.97743,9.97743,9.688,24.7707,34.939,7.0576,2.32987,6.92927,1.67197,5.2573,4.954,1.37423,0.405467,2.46637
128363-58462,Karl-Anthony Towns,C/PF,NY,MEM,,8900,0,43.5,,43.5,4.887640449,36.28,25.83613069,0,100,117.936,227.0075,47.0737,39.75,46.25,53,56.75,63.25,71.5,45.8723,38.7,45,51.8,55.6,62.105,69.702,45.8723,38.7,45,51.8,55.6,62.105,69.702,46.5468,39.4,45.7,52.4,55.9,62.5,70.103,9.74282,9.7757,9.7757,9.63042,24.5432,30.6759,6.78175,2.2765,11.845,2.37625,9.46875,2.6515,0.76825,0.811,2.078
128363-171770,Paolo Banchero,PF/SF,ORL,ATL,Confirmed,9800,0,42.8,,42.8,4.367346939,13.86,12.56911441,0,100,116.0122,234.4589,44.346,36.85,43.2,49.8,53.8,60,67.101,43.3167,35.7,42.22,48.94,52.98,59.282,66.5004,43.3167,35.7,42.22,48.94,52.98,59.282,66.5004,44.3592,36.84,43.22,49.895,53.84,59.96,67.061,9.81398,10.039,10.039,9.82386,22.2682,35.6744,6.23077,1.46993,8.45823,1.73833,6.7199,5.44133,0.890433,0.722567,2.92817
128363-60021,Pascal Siakam,PF/C,IND,CHI,P,7700,0,42.7,,42.7,5.545454545,44.91,32.2133399,0,100,122.1753,246.1968,44.2431,38.1,45.35,52.25,56.25,62.7075,70.3035,43.8697,37.58,44.94,52.1,56.02,62.78,70.622,43.8697,37.58,44.94,52.1,56.02,62.78,70.622,44.1743,38.16,45.24,52.3,55.966,62.664,70.462,10.6033,10.8148,10.8148,10.5875,28.7634,29.7999,9.37865,1.53845,5.71535,1.31975,4.3956,4.2863,1.0921,0.44645,1.68275
128363-80817,Bam Adebayo,C/PF,MIA,BOS,,9100,0,42.7,,42.7,4.692307692,21.02,17.43239315,0,100,112.445,229.4915,43.0206,39.1,45.95,52.9875,56.85,63.7,71.4525,42.1353,38.16,45.26,52.5,56.42,63.44,71.501,42.1353,38.16,45.26,52.5,56.42,63.44,71.501,42.8236,38.96,45.86,52.96,56.78,63.68,71.48,10.3575,10.6147,10.6147,10.4064,24.078,34.9476,6.42377,1.4216,11.722,2.6801,9.04193,3.01667,0.9869,0.677433,2.1476
128363-80808,Jayson Tatum,PF/SF,BOS,MIA,,9700,0,42.5,,42.5,4.381443299,10.73,10.26846422,0,100,117.0465,229.4915,42.4722,36.05,42.5,49.4,53.15,59.7575,67.35,40.9037,34.42,40.96,47.7,51.48,58.12,65.5408,40.9037,34.42,40.96,47.7,51.48,58.12,65.5408,41.5179,35.24,41.56,48.26,51.84,58.323,65.4604,10.0205,9.9491,9.9491,9.73039,22.526,31.4698,4.73493,2.89517,8.34533,1.99137,6.35397,4.49733,1.0195,0.386467,2.25693
128363-203761,Matas Buzelis,PF/SF,CHI,IND,,7400,0,40.9,,40.9,5.527027027,24.24,21.08907407,0,100,124.0215,246.1968,37.1608,30.55,37.65,44.6875,48.55,54.9,63.8015,36.1454,29.44,36.62,43.84,47.5,54.04,62.8248,36.1454,29.44,36.62,43.84,47.5,54.04,62.8248,36.8137,30.25,37.32,44.48,48.12,54.4,63.7006,10.6024,10.6523,10.6523,10.5428,20.3192,30.7615,4.0315,2.90065,8.46335,1.73185,6.7315,1.68285,0.73915,1.17915,2.06735
128363-9646,Kevin Durant,SF/PF,HOU,MIL,,9100,0,39.8,,39.8,4.373626374,7.26,7.52053914,0,100,117.4025,217.5195,39.5967,33.5,39.5,45.5,48.75,54.5,60.7525,38.3861,32.3,38,44.2,47.6,54,60.2,38.3861,32.3,38,44.2,47.6,54,60.2,39.2626,33.3,39.1,45,48.3,54.3,60.301,8.86428,9.00323,9.00323,8.77403,23.7905,32.332,6.94225,2.0565,4.795,0.90525,3.88975,4.95725,0.83025,0.514,2.6445
