PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971735,42971767,42971757,42971800,42971820,42971747,42971772,42971723,,259.89,241.25,258.875,276.5625,287,302.5125,323.7525,336.58,50000,1,0,106.2512617,98.74594033,102.4946786,94.99720203,172.5025234,102.4639855,98.71524722,98.71524722,84.96650891,40.02799323,131.7003369
42971735,42971787,42971767,42971757,42971820,42971747,42971776,42971723,,258.65,240.75,257.375,274.0625,283.25,300,318.2525,311.82,50000,1,0,105.7794191,98.59365908,102.2064531,94.98086509,172.3927121,102.0895211,98.47672706,98.47672706,84.91164557,38.18179784,101.756227
42971735,42971822,42971767,42971800,42971723,42971744,42971776,42971747,,259.04,242.5,258.25,274.25,283.5,298.5,316.0025,318.62,50000,1,0,105.8880586,98.5437725,102.2067012,94.88084377,172.4124934,102.0700853,98.40715661,98.40715661,84.77693403,39.01863482,118.9464331
42971735,42971767,42971757,42971800,42971820,42971744,42971776,42971723,,259.86,241.5,258.5,275.5625,284.25,301.2875,318.2525,330.34,49800,1,0,106.0989674,98.55913818,102.3528086,94.76546774,172.4034245,102.1933498,98.39967933,98.39967933,84.60716323,40.60643787,94.94042397
42971735,42971744,42971784,42971772,42971820,42971747,42971776,42971723,,259.21,242.25,258,274.25,283.7875,299.7625,314.25,285.5,50000,1,0,105.9453423,98.59644769,102.2775225,94.9153729,172.4285311,102.0452833,98.36420848,98.36420848,84.7092986,39.1565561,125.8311391
42971735,42971744,42971767,42971757,42971820,42971747,42971776,42971761,,258.84,242.4375,257.25,274.5625,284.5,297.5,314.5125,296.16,50000,1,0,105.8589269,98.47272862,102.1226766,94.82278066,172.3768904,101.9732458,98.32329784,98.32329784,84.71375159,38.69978897,99.63920116
42971735,42971822,42971767,42971757,42971723,42971744,42971800,42971772,,257.8,240.1875,256.25,274.75,282.75,298,325.005,337.14,50000,1,0,105.4048728,98.11034705,101.7532042,94.46748991,172.0709366,101.9100993,98.26724218,98.26724218,84.70480367,38.48072602,121.7820048
42971747,42971767,42971757,42971772,42971820,42971744,42971776,42971723,,259.87,242.1875,259.25,277,285.575,302.2625,318,326.62,49700,1,0,106.0950106,98.43327532,102.2809176,94.58563309,172.2985591,102.0814848,98.23384257,98.23384257,84.38696989,41.17071657,122.6512671
42971735,42971767,42971757,42971800,42971723,42971813,42971776,42971744,,258.16,240.4375,256.75,274.25,284.0375,300.2875,322.2525,329.54,50000,1,0,105.5535078,98.22018722,101.8977902,94.54258428,172.1122611,101.8944369,98.21683395,98.21683395,84.60579764,38.99130425,127.5436282
42971732,42971744,42971776,42971800,42971820,42971747,42971772,42971723,,258.86,242.25,257.75,275,284.2875,299.5,316.265,304.98,50000,1,0,105.7818461,98.31436851,102.0416887,94.58704829,172.2283023,101.8801191,98.15279887,98.15279887,84.4651108,39.52960871,143.95504
42971735,42971744,42971767,42971772,42971820,42971747,42971813,42971723,,258.16,242.25,257.5,274.3125,283.25,298.0125,318.0075,308.94,49900,1,0,105.5451289,98.20222287,101.8607657,94.54367999,172.1503812,101.8019436,98.14340073,98.14340073,84.55142448,39.07169586,123.322475
42971735,42971767,42971757,42971800,42971820,42971747,42971776,42971723,,258.88,240.9375,257.625,274.3125,283.75,301.525,317.2525,328.12,49700,1,0,105.7389782,98.29344538,102.0526008,94.53428997,172.1707884,101.8545284,98.09537301,98.09537301,84.3750802,40.15597267,104.8887372
42971747,42971767,42971776,42971750,42971723,42971744,42971772,42971820,,258.81,243.25,258.25,274.5,283.5,299.025,320.2575,303.56,49900,1,0,105.6684498,98.07928505,101.8733236,94.28524648,172.0794745,101.8502878,98.05624919,98.05624919,84.30376666,40.45986018,172.1564054
42971735,42971767,42971776,42971750,42971820,42971744,42971800,42971723,,258.8,243,258.5,273.25,280.75,297.2625,314.5225,307.28,50000,1,0,105.622755,98.17913634,101.9192031,94.43906958,172.1843399,101.7779248,98.037858,98.037858,84.33973206,39.90532436,128.2708764
42971735,42971787,42971767,42971757,42971772,42971744,42971776,42971747,,258.3,240.9375,257.75,274.25,283.5,298.525,317.015,329.68,50000,1,0,105.540647,98.07183526,101.7974397,94.34623081,172.0593533,101.6911514,97.96554698,97.96554698,84.30112226,39.54879381,87.79321909
