PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971735,42971767,42971757,42971800,42971820,42971747,42971772,42971723,,259.89,242.4375,258.75,275.8125,285,302.0125,319.755,321.88,50000,1,0,106.2337486,98.73684434,102.4855826,94.98810603,172.5025234,102.4247911,98.67605282,98.67605282,84.92731452,40.02799323,127.3242712
42971735,42971787,42971767,42971757,42971820,42971747,42971776,42971723,,258.65,242.75,258,273.75,283.2875,301,321.255,310.76,50000,1,0,105.8325855,98.63408404,102.246878,95.02129005,172.3927121,102.2661011,98.6533071,98.6533071,85.08822561,38.18179784,143.7527776
42971735,42971822,42971767,42971800,42971723,42971744,42971776,42971747,,259.04,243,258.5,274.5,283.0375,298.0125,319.52,318.18,50000,1,0,105.9237576,98.53499113,102.1979199,94.87206239,172.4124934,102.2620566,98.59912784,98.59912784,84.96890525,39.01863482,124.2175221
42971735,42971744,42971767,42971757,42971820,42971747,42971776,42971761,,258.84,241.9375,257.75,275.0625,283.25,298.75,319.0225,314.74,50000,1,0,105.8672258,98.52135595,102.1713039,94.87140799,172.3768904,102.1956246,98.54567667,98.54567667,84.93613041,38.69978897,111.9283676
42971735,42971744,42971784,42971772,42971820,42971747,42971776,42971723,,259.21,243.9375,258.375,274.8125,284.25,297.7625,314,315.99,50000,1,0,106.0134932,98.53770146,102.2187763,94.85662667,172.4285311,102.1198865,98.43881169,98.43881169,84.78390181,39.1565561,148.0428338
42971735,42971767,42971757,42971800,42971820,42971744,42971776,42971723,,259.86,242.75,259.25,276.25,285.0375,302.5,316.015,326.69,49800,1,0,106.1785866,98.60661898,102.4002894,94.81294855,172.4034245,102.2073282,98.41365773,98.41365773,84.62114164,40.60643787,151.4378309
42971735,42971767,42971776,42971750,42971723,42971744,42971800,42971820,,258.8,242.25,257.75,273.75,283.25,298.5125,318.0275,321.97,50000,1,0,105.7617159,98.22775783,101.9678246,94.48769107,172.1843399,101.9691202,98.22905345,98.22905345,84.53092751,39.90532436,98.34831953
42971735,42971767,42971757,42971800,42971723,42971813,42971776,42971744,,258.16,240.75,258,274,285.5,301.0125,318.27,316.9,50000,1,0,105.6567308,98.25152908,101.929132,94.57392615,172.1122611,101.8553148,98.17771188,98.17771188,84.56667557,38.99130425,140.3104186
42971732,42971744,42971776,42971772,42971820,42971747,42971800,42971723,,258.86,242,259.75,276,283.7875,298.2625,311.5,317.49,50000,1,0,105.8163758,98.28082036,102.0081406,94.55350014,172.2283023,101.8151461,98.08782592,98.08782592,84.40013785,39.52960871,125.7837892
42971735,42971767,42971776,42971757,42971723,42971813,42971800,42971747,,257.18,240,256.875,273.25,283.5375,300.75,322.26,313.21,49900,1,0,105.2454242,97.96931456,101.6124025,94.32622665,171.8796251,101.6710753,98.0279874,98.0279874,84.48917437,38.55875644,114.8715138
42971747,42971767,42971784,42971757,42971723,42971744,42971800,42971772,,258,240.4375,257.25,274.3125,284.5,299.0125,316.505,316.88,50000,1,0,105.5456704,98.08044527,101.7725179,94.38837265,172.0340702,101.7100415,98.01796887,98.01796887,84.39861932,39.18711887,125.1641154
42971735,42971822,42971779,42971772,42971723,42971744,42971776,42971747,,257.28,240.75,256.75,274.3125,283.2875,299.75,317.7575,311.83,50000,1,0,105.2926561,98.02726942,101.6528466,94.40169222,171.9454288,101.6048582,97.97928099,97.97928099,84.4541309,38.33514666,127.5436282
42971735,42971744,42971779,42971800,42971820,42971747,42971767,42971723,,258.12,241.6875,257,273.75,282.25,298,315.5025,321.75,49800,1,0,105.4907508,98.02629885,101.7406553,94.3119424,172.0264412,101.6805388,97.96618233,97.96618233,84.31993161,40.01184508,104.8887372
42971735,42971787,42971767,42971757,42971772,42971747,42971776,42971744,,258.3,241.25,257.75,274.75,284.5,299.25,314.2525,321.97,50000,1,0,105.627572,98.10313383,101.8287383,94.37752938,172.0593533,101.6885143,97.96290986,97.96290986,84.29848514,39.54879381,100.1297235
42971747,42971767,42971776,42971750,42971723,42971744,42971772,42971820,,258.81,241,256.75,274.5,283,297,314.0025,326.36,49900,1,0,105.7028353,98.01969433,101.8137329,94.22565576,172.0794745,101.7401252,97.94608666,97.94608666,84.19360413,40.45986018,141.5281773
42971735,42971767,42971779,42971800,42971723,42971744,42971776,42971772,,259.28,242.75,259.625,275.25,284.825,300.775,315.7525,334.63,49900,1,0,105.85652,98.05207104,101.9371936,94.16694844,172.041983,101.7931069,97.90798428,97.90798428,84.04633315,41.64796813,136.5067005
42971735,42971809,42971757,42971800,42971723,42971767,42971776,42971747,,255.6,239.1875,254.625,272.3125,282.75,299.025,315.2625,295.43,50000,1,0,104.8357135,97.981811,101.3990769,94.5645451,171.8449095,101.2976315,97.88036558,97.88036558,84.62816952,33.21662896,122.6081252
42971763,42971744,42971757,42971772,42971723,42971747,42971776,42971820,,257.3,240.25,257.25,274.5,282.5,298.5125,312.2525,306.78,50000,1,0,105.2905007,98.0472558,101.6551008,94.43941077,171.9870496,101.4771933,97.86934828,97.86934828,84.36116081,37.79304906,110.831058
42971735,42971767,42971776,42971750,42971723,42971747,42971800,42971820,,257.82,242.125,257,271.5,282.5,298,315.0075,318.28,49900,1,0,105.3928786,97.93727953,101.6428313,94.23172779,171.9517039,101.5673545,97.86180275,97.86180275,84.23590009,39.46263691,98.37409258
42971735,42971779,42971776,42971757,42971820,42971744,42971772,42971723,,258.1,241,258.5,275.5,284.5,298.2625,315.51,320.34,49800,1,0,105.5199019,97.90139293,101.6577118,94.14507404,171.9363599,101.5891511,97.83283218,97.83283218,84.14538857,39.89513622,107.6383114
42971732,42971744,42971767,42971800,42971820,42971735,42971776,42971747,,258.08,243.75,257.75,274.0625,283.5375,299.25,316.01,324.76,49800,1,0,105.4755213,97.9174224,101.6767136,94.1581312,171.9242588,101.5910263,97.83173514,97.83173514,84.14208879,40.33890077,114.152956
42971735,42971822,42971767,42971757,42971723,42971787,42971776,42971747,,255.58,239.25,255,271.0625,280.5,296.775,319.25,299.01,49900,1,0,104.6940769,97.7343457,101.2067435,94.26194789,171.7284892,101.3034076,97.83100979,97.83100979,84.52445138,36.29869986,71.39469981
42971735,42971779,42971767,42971757,42971820,42971732,42971776,42971744,,257.89,241.25,258,275.25,285.25,300.55,315.25,320.88,50000,1,0,105.4834571,97.95046997,101.6886999,94.21224003,171.907895,101.5364575,97.79822761,97.79822761,84.1369533,39.82274918,134.1056108
42971822,42971767,42971757,42971800,42971723,42971735,42971772,42971747,,256.82,239.5,256,273.25,283.5,299.775,315.5075,310.13,49900,1,0,105.1403363,97.90280305,101.5111452,94.29446092,171.8383006,101.392511,97.78416885,97.78416885,84.29395362,38.05384227,75.68475008
42971735,42971767,42971784,42971800,42971723,42971744,42971772,42971776,,258.14,242.25,258.25,274.3125,282.5,299.2625,317.505,327.04,49800,1,0,105.4213354,97.81812381,101.6183478,94.01789979,171.8608625,101.5786385,97.77841447,97.77841447,84.04552663,40.44230248,98.74415994
42971735,42971744,42971767,42971757,42971772,42971747,42971776,42971800,,258.53,241.9375,257.375,275.3125,284.7875,302.525,318.765,334.21,49700,1,0,105.5797796,97.86080406,101.7327699,93.98883818,171.8374296,101.6243171,97.75235125,97.75235125,83.93271521,41.59364863,131.7260981
42971747,42971767,42971800,42971738,42971820,42971744,42971772,42971723,,257.14,239.4375,255.875,272,281.5,301.2625,316.0075,314.08,50000,1,0,105.1337698,97.89617241,101.5641576,94.22818724,171.8175177,101.4118693,97.74388415,97.74388415,84.18171297,38.73416371,101.5066147
42971747,42971779,42971757,42971800,42971723,42971767,42971776,42971744,,258.13,240.9375,257.25,272.75,283,298.7625,315.26,325.59,49800,1,0,105.4478364,97.83625558,101.6236439,94.04886726,171.8834557,101.5307979,97.74340955,97.74340955,84.0237422,40.48439111,102.1865129
42971735,42971767,42971779,42971800,42971723,42971747,42971776,42971772,,258.3,241.25,257.5,275.5,284,298.25,319.2625,330.94,49800,1,0,105.4850557,97.69506931,101.5456769,93.84446173,171.809347,101.5939726,97.74336499,97.74336499,83.95393714,41.18594876,83.52473974
42971735,42971767,42971779,42971757,42971820,42971744,42971784,42971723,,256.79,239.75,256.25,271.8125,282.75,297.55,314.25,310.28,49900,1,0,105.1024688,97.81754859,101.4259452,94.20915198,171.8289569,101.3418374,97.73344074,97.73344074,84.24432536,38.35639762,105.0220847
42971735,42971767,42971784,42971772,42971761,42971744,42971776,42971747,,257.12,240.6875,255.25,274.0625,282.75,298.25,314.755,315.09,50000,1,0,105.1813407,97.82334917,101.4798507,94.16684762,171.8343285,101.3882749,97.73177332,97.73177332,84.18185532,38.54336045,131.8594456
42971735,42971822,42971767,42971738,42971820,42971747,42971776,42971723,,255.87,240.25,255.875,271.3125,279.25,295.025,314.765,300.22,50000,1,0,104.7359111,97.71017907,101.2085455,94.21181265,171.7658205,101.2238827,97.72551629,97.72551629,84.38183069,36.56178662,82.28539824
42971822,42971767,42971757,42971800,42971723,42971735,42971776,42971744,,256.79,240,256.375,272.75,282.2875,298.8,317.5075,314.94,49700,1,0,105.0413915,97.72423458,101.3775088,94.07096033,171.7392016,101.3531651,97.69989081,97.69989081,84.16589779,38.60375845,79.30780053
42971735,42971779,42971767,42971800,42971723,42971747,42971813,42971744,,256.42,240,255.5,273,282,297.7625,316.755,311.96,50000,1,0,104.9439388,97.71252785,101.3108168,94.1142389,171.7352779,101.297417,97.69912806,97.69912806,84.23435713,38.42036157,94.13138032
42971735,42971744,42971784,42971800,42971723,42971747,42971767,42971820,,256.98,240.4375,256.625,272,280,294.775,312.5,314.16,49700,1,0,105.0581932,97.73574472,101.3652026,94.10628685,171.8453207,101.3185187,97.68906085,97.68906085,84.17157343,38.8535435,88.18906546
42971735,42971744,42971776,42971800,42971723,42971806,42971772,42971747,,255.57,238.1875,255.25,271.5625,281.5,295.7875,311.5075,296.51,50000,1,0,104.7591764,97.79961898,101.2380958,94.36114216,171.793253,101.1271455,97.68866869,97.68866869,84.41641604,33.35241283,90.64168334
42971735,42971767,42971813,42971757,42971820,42971732,42971800,42971723,,255.49,238.1875,254.875,274.8125,284.7875,301.025,319.2525,299.4,50000,1,0,104.7716782,97.72636841,101.2367101,94.21602676,171.6248975,101.1929675,97.68262582,97.68262582,84.34158657,36.88002841,108.2621813
42971747,42971767,42971784,42971757,42971723,42971744,42971776,42971787,,256.76,239.75,256.125,271,280.5375,296.7625,307.755,305.76,50000,1,0,105.0656981,97.93677927,101.4929076,94.38065096,171.9242588,101.2332853,97.67715699,97.67715699,84.24146425,37.37970679,88.35686445
42971735,42971822,42971784,42971772,42971723,42971744,42971776,42971747,,256.14,240,255.625,273.25,281.75,297,313.7625,304.24,49900,1,0,104.8850547,97.75241647,101.2930951,94.21173786,171.7643082,101.21204,97.6713614,97.6713614,84.27497461,37.22538377,78.33963633
42971735,42971744,42971779,42971800,42971723,42971747,42971776,42971787,,256.32,239.25,256.25,272.75,281.825,297.2625,313.2575,306.49,50000,1,0,104.9268556,97.74009494,101.3108597,94.16933014,171.7595439,101.2054571,97.63469233,97.63469233,84.20129333,37.78489183,95.54271698
42971822,42971744,42971767,42971757,42971761,42971735,42971776,42971747,,255.77,238,255.5,272.5,281.25,297.525,313.7525,302.99,49900,1,0,104.7563005,97.72078297,101.2303348,94.21123119,171.7126676,101.1316154,97.62206366,97.62206366,84.27104048,36.79114406,70.42653561
