P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42976830,42976817,42977139,42976841,42976896,42976885,42976856,42977103,42976978,42976956,,87.41,68.09859848,85.58609772,102.9610996,112.5760971,133.2861084,165.5775961,120.28,48100,1,0,85.99511407,84.04984131,85.23493049,83.28965773,168.1786513,83.20003007,81.25475731,82.4398465,80.49457374,9.871804786,51.20083094
42977067,42976849,42977139,42976841,42976896,42976963,42977170,42976943,42976908,42976809,,86.34,63.75835037,83.68334961,104.4958515,116.6883488,137.3608528,172.9653436,142.82,49400,1,0,86.94667514,84.97617829,86.43406813,84.46357128,166.7694503,83.08561264,81.11511579,82.57300562,80.60250877,13.46010884,-0.275085238
42977067,42976887,42976923,42976841,42976896,42977039,42976963,42977050,42976943,42976809,,91.42,72.11720085,89.25469971,110.1171989,121.3697044,140.722197,175.5572028,174.04,48300,1,0,88.40277201,85.33340787,87.15682267,84.08745854,170.1384811,84.17847694,81.1091128,82.9325276,79.86316347,14.77302789,29.11827564
42977067,42976887,42976923,42976841,42976896,42976963,42977170,42976809,42977050,42976943,,91.56,70.34220505,88.47969818,109.8671989,122.1547012,141.4096939,173.8302028,169.79,48700,1,0,88.10071651,85.03077421,86.79921033,83.72926803,170.3614328,84.09691433,81.02697203,82.79540815,79.72546585,14.27859157,16.24390334
42976817,42976887,42977139,42976841,42976896,42976914,42976856,42977050,42976933,42976978,,92.61,71.08385086,88.79634857,108.896347,120.053849,141.9413475,167.95035,156.32,48700,1,0,87.15937297,83.9574578,85.57479038,82.3728752,171.5110976,83.89195783,80.69004266,82.30737524,79.10546006,11.51195344,42.43582487
42976817,42976887,42977139,42976841,42976896,42976914,42976856,42976810,42976933,42976978,,90.95,70.59635162,87.89634705,107.9213486,117.9963531,137.0163528,166.9473502,148.01,48000,1,0,86.52503704,83.62036185,85.14481466,82.24013946,170.3570669,83.33190097,80.42722578,81.95167859,79.04700339,9.999654244,60.18967032
42976817,42976887,42976937,42976841,42976896,42976914,42976862,42976977,42977010,42976978,,94.96,75.04634857,94.34635162,111.5213528,122.6538475,140.9138474,169.366344,176,49200,1,0,87.56758416,83.70041737,85.57135711,81.70419032,172.9005741,83.95099201,80.08382522,81.95476496,78.08759817,14.08602204,55.63292503
42977067,42976849,42977139,42976841,42976896,42976914,42976963,42976809,42976889,42976943,,85.47,65.20835114,83.85834885,103.3958511,115.7158504,137.4108551,171.0603496,143.19,50000,1,0,85.92756209,83.92352172,85.38889556,83.38485519,166.0523032,82.07010708,80.0660667,81.53144055,79.52740017,13.35264074,-13.1623432
42976830,42976887,42977139,42976841,42976896,42977039,42976856,42976943,42976860,42977050,,91.82,70.64494896,88.80744934,110.2449512,119.7574463,138.7099579,167.2144583,155.57,49700,1,0,86.56253754,83.38347232,85.00868972,81.8296245,170.8577169,83.24073316,80.06166794,81.68688534,78.50782012,12.04767935,40.97714126
42976953,42976887,42977087,42976881,42977144,42977031,42976862,42988357,42977010,42976943,,98.13,80.39634705,96.9463501,114.6213512,124.161348,144.5588562,175.1003441,208.97,48200,1,0,89.15185536,84.47717027,86.75201468,82.07732959,174.6512797,84.72716283,80.05247774,82.32732215,77.65263706,16.96825706,39.92297649
42977067,42976887,42976923,42976841,42976896,42977039,42976845,42976943,42976908,42976809,,91.52,71.09219933,88.72969818,108.0672035,120.2271969,142.3097023,170.9067058,168.85,49400,1,0,87.10249598,83.87196334,85.64110904,82.4105764,170.3277296,83.25644582,80.02591318,81.79505888,78.56452624,13.16973277,4.539953545
42977093,42976887,42976937,42976881,42977129,42976885,42976862,42976908,42976933,42977010,,91.47,71.22135162,88.47135162,108.3088493,118.9613499,139.9263474,165.9593501,149.86,48100,1,0,86.24181733,83.14845916,84.71344466,81.62008649,170.6956949,83.07523349,79.98187532,81.54686082,78.45350265,12.13470342,31.29551709
42976817,42976849,42977139,42976841,42976896,42976914,42976845,42976807,42977010,42977103,,88.07,67.13750076,85.04999924,104.8624992,115.8375031,134.5099998,168.2219969,144.22,49900,1,0,85.86630299,83.361615,84.86693178,82.36224379,168.0708838,82.34972386,79.84503587,81.35035265,78.84566466,12.19950412,3.920284659
42977093,42976887,42976937,42977065,42976896,42976963,42977170,42976908,42976943,42976809,,92.7,73.39635277,89.54634857,109.7088509,120.5613548,141.8513443,165.7473531,156.76,49100,1,0,86.3429911,82.95161361,84.59764531,81.20626783,171.5263385,83.15024179,79.75886431,81.404896,78.01351852,12.84531045,56.66131377
42977067,42976887,42976923,42976841,42976896,42976914,42976963,42976943,42976908,42976809,,91.03,70.52970123,88.72969818,110.7296982,120.9546967,140.4696938,169.9121936,167.33,49700,1,0,86.6896063,83.51197288,85.25162674,82.07399331,169.991233,82.90862427,79.73099084,81.47064471,78.29301128,13.8720641,17.64235944
