P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score,MLB $7.5K Solo Shot ROI,MLB $7.5K Solo Shot Sim Dupes,MLB $7.5K Solo Shot Win Rate,MLB $7.5K Solo Shot Cash Rate,MLB $7.5K Solo Shot ROI StDev,MLB $200K Knuckleball [$50K to 1st] ROI,MLB $200K Knuckleball [$50K to 1st] Sim Dupes,MLB $200K Knuckleball [$50K to 1st] Win Rate,MLB $200K Knuckleball [$50K to 1st] Cash Rate,MLB $200K Knuckleball [$50K to 1st] ROI StDev,MLB $5K Hot Corner [5 Entry Max] ROI,MLB $5K Hot Corner [5 Entry Max] Sim Dupes,MLB $5K Hot Corner [5 Entry Max] Win Rate,MLB $5K Hot Corner [5 Entry Max] Cash Rate,MLB $5K Hot Corner [5 Entry Max] ROI StDev,MLB $1 Winner Take All [$100 to 1st] ROI,MLB $1 Winner Take All [$100 to 1st] Sim Dupes,MLB $1 Winner Take All [$100 to 1st] Win Rate,MLB $1 Winner Take All [$100 to 1st] Cash Rate,MLB $1 Winner Take All [$100 to 1st] ROI StDev,MLB $1 Winner Take All [$100 to 1st] ROI,MLB $1 Winner Take All [$100 to 1st] Sim Dupes,MLB $1 Winner Take All [$100 to 1st] Win Rate,MLB $1 Winner Take All [$100 to 1st] Cash Rate,MLB $1 Winner Take All [$100 to 1st] ROI StDev,MLB $20K Moonshot ROI,MLB $20K Moonshot Sim Dupes,MLB $20K Moonshot Win Rate,MLB $20K Moonshot Cash Rate,MLB $20K Moonshot ROI StDev
42538348,42538345,42538389,42538358,42538365,42538511,42538385,42538480,42538400,42538571,,104,86.07569885,103.0756989,124.638195,134.9706902,155.3731987,182.8787018,167.56,49900,1,137.7,86.7298247,84.03232865,85.55979903,82.86230298,169.5010896,83.31743922,80.61994318,82.14741356,79.44991751,6.746907961,76.58819556,1.623428524,0,0.001571429,0.346428571,30.52659453,4.515371442,0,0.001,0.323714286,131.3748048,0.725619048,0,0.002428571,0.338285714,9.225632092,1.257142901,0,0.022571429,0.022571429,14.85326873,1.314285755,0,0.023142857,0.023142857,15.03571259,1.615380943,0,0.001571429,0.340285714,28.61489533
42538348,42538345,42538384,42538376,42538418,42538415,42538385,42538425,42538400,42538480,,96.82,75.80369568,96.42869949,115.6536961,129.0036926,148.3086952,180.1211987,120.74,49900,1,108.7,84.28476251,82.52745418,83.82683174,82.0695234,164.9481185,80.84456061,79.08725228,80.38662984,78.6293215,8.03390718,65.4392004,1.283785701,0,0.001428571,0.245714286,29.68678293,6.5410285,0,0.001571429,0.231285714,166.859692,0.400523812,0,0.002,0.241571429,8.815501064,0.800000012,0,0.018,0.018,13.29511188,0.742857158,0,0.017428571,0.017428571,13.08618215,1.121619076,0,0.001285714,0.241285714,26.06857818
42538345,42538343,42538439,42538373,42538437,42538469,42538370,42538383,42538499,42538449,,100.81,84.33314514,100.9331474,121.2831478,132.3831482,150.7031364,172.7386542,121.85,49900,1,107.65,83.59347268,81.20775855,82.45708547,80.07137135,167.8318598,80.98187911,78.59616499,79.84549191,77.45977778,7.545635097,82.75855184,1.768000007,0,0.001714286,0.323714286,32.45035565,4.257428527,0,0.001,0.300142857,134.1505626,0.766952366,0,0.002857143,0.318857143,9.921416364,1.200000048,0,0.022,0.022,14.66833324,1.342857122,0,0.023428571,0.023428571,15.12602838,1.417999983,0,0.001285714,0.319285714,26.37782741
42538344,42538343,42538389,42538373,42538437,42538426,42538397,42538383,42538568,42538466,,103.72,87.67304993,104.4480515,123.2855492,133.8380577,150.7880417,173.523541,131.04,49800,1,90.5,84.41279499,81.59450896,82.95346548,80.13517945,169.6427741,81.79525493,78.9769689,80.33592542,77.51763939,7.168121937,92.8704679,1.506642818,0,0.001142857,0.353714286,27.9711807,4.242771506,0,0.001,0.323571429,134.0939416,0.834666669,0,0.003,0.345,9.974820581,1.057142854,0,0.020571429,0.020571429,14.19445134,1.399999976,0,0.024,0.024,15.30490118,1.419142842,0,0.001428571,0.349,26.55548258
42538345,42538351,42538439,42538373,42538437,42538538,42538370,42538383,42538499,42538360,,95.76,80.15749741,97.58250046,116.795002,128.7399986,146.2950012,166.5079982,94.38,49500,1,131.25,80.99680075,79.27628324,80.25262142,78.53210392,164.8546839,78.81196552,77.09144801,78.0677862,76.34726869,6.983213458,80.46504855,1.587499976,0,0.001428571,0.279428571,29.91963692,4.188428521,0,0.001,0.256857143,131.2297786,0.621476188,0,0.003,0.274714286,9.908249584,1.142857194,0,0.021428571,0.021428571,14.48081067,0.971428573,0,0.019714286,0.019714286,13.90166632,1.510380864,0,0.001857143,0.276,30.29948263
42538345,42538343,42538556,42538386,42538437,42538420,42538397,42538412,42538401,42538413,,105.28,87.49915123,105.2991524,123.7366505,135.2316498,153.0741577,177.2871547,150.14,49100,1,169.65,85.69235306,82.71770828,84.18382543,81.20918065,170.5167934,82.80252925,79.82788448,81.29400162,78.31935684,9.658241265,57.58213401,1.495000005,0,0.001714286,0.345714286,31.84009655,4.792942762,0,0.001142857,0.325285714,142.5549539,0.526238084,0,0.002,0.340428571,8.414901265,0.742857158,0,0.017428571,0.017428571,13.08618215,1.028571486,0,0.020285714,0.020285714,14.09758989,1.015809536,0,0.001142857,0.342,24.03451164
42538345,42538351,42538479,42538378,42538365,42538511,42538385,42538357,42538400,42538571,,99.58,80.5779953,98.99049759,119.352993,131.1804955,151.6204941,177.2374998,114.88,49500,1,139.25,84.58684007,82.55579369,83.79737113,81.76632475,166.9892442,81.65157669,79.62053031,80.86210775,78.83106137,5.555012889,82.85323381,1.351071477,0,0.001285714,0.319714286,28.18713611,3.723885775,0,0.000857143,0.298142857,124.6268904,0.654333323,0,0.002571429,0.315857143,9.391385482,1.257142901,0,0.022571429,0.022571429,14.85326873,1.057142854,0,0.020571429,0.020571429,14.19445134,1.556714296,0,0.001714286,0.318428571,29.35441976
42538345,42538351,42538411,42538546,42538365,42538505,42538372,42538357,42538466,42538419,,108.26,87.58799553,106.225502,128.5505028,140.0580048,163.4580002,190.0245035,167.96,49500,1,141.25,89.14761149,85.80780925,87.65485659,84.31505435,171.8339423,85.09922438,81.75942214,83.60646948,80.26666724,12.54350848,88.37394714,1.32571426,0,0.000857143,0.393571429,22.88211597,2.690014243,0,0.000571429,0.367,101.9623442,0.936714292,0,0.002571429,0.386857143,9.66032995,1.285714269,0,0.022857143,0.022857143,14.94479638,1.399999976,0,0.024,0.024,15.30490118,1.915333211,0,0.002,0.388,31.1065399
42538348,42538351,42538479,42538373,42538365,42538511,42538372,42538357,42538440,42538480,,102.31,86.55539894,103.3303986,123.7429047,134.837899,156.0903984,173.8453986,127.76,49800,1,142.85,83.24786428,80.18281558,81.73492969,78.66988099,168.2727666,80.10445652,77.03940782,78.59152194,75.52647324,8.844242488,89.15273547,1.237785757,0,0.001142857,0.345714286,26.66531889,4.300771356,0,0.001,0.324285714,134.1327734,0.606571421,0,0.001857143,0.342142857,8.387450639,1.200000048,0,0.022,0.022,14.66833324,0.828571439,0,0.018285714,0.018285714,13.39826367,1.358095199,0,0.001428571,0.341,26.61230598
42538344,42538351,42538389,42538500,42538461,42538397,42538370,42538357,42538444,42538466,,105.77,87.16190147,105.3744011,123.7494011,136.6143967,155.7019012,174.5314049,138.5,49700,1,120.1,84.96697982,81.78555877,83.26267232,80.08125127,170.8366511,82.23994666,79.0585256,80.53563916,77.3542181,10.2076216,103.2233,1.445571423,0,0.000714286,0.369714286,23.51074277,2.472257137,0,0.000571429,0.343714286,98.26285437,0.956904769,0,0.002714286,0.358428571,10.06424849,1.399999976,0,0.024,0.024,15.30490118,1.657142878,0,0.026571429,0.026571429,16.08271984,1.515380889,0,0.001142857,0.364571429,24.38744342
