CPT,UTIL,UTIL,UTIL,UTIL,UTIL
42963519,42963427,42963433,42963439,42963442,42963448
42963529,42963427,42963429,42963433,42963435,42963454
42963520,42963427,42963433,42963437,42963439,42963450
42963522,42963427,42963429,42963440,42963445,42963447
42963528,42963427,42963429,42963437,42963438,42963442
42963528,42963427,42963430,42963433,42963437,42963448
42963539,42963427,42963430,42963431,42963433,42963439
42963526,42963427,42963430,42963438,42963439,42963445
42963537,42963427,42963429,42963430,42963437,42963439
42963528,42963427,42963430,42963431,42963442,42963447
42963519,42963427,42963429,42963437,42963448,42963450
42963526,42963427,42963430,42963431,42963440,42963448
42963526,42963427,42963429,42963431,42963442,42963450
42963531,42963427,42963431,42963438,42963439,42963440
42963531,42963427,42963430,42963431,42963437,42963445
42963530,42963427,42963429,42963431,42963439,42963448
42963543,42963427,42963429,42963430,42963433,42963440
42963519,42963427,42963437,42963439,42963440,42963454
42963522,42963427,42963429,42963436,42963440,42963454
42963526,42963427,42963430,42963433,42963439,42963450
42963522,42963427,42963429,42963435,42963445,42963454
42963528,42963427,42963430,42963435,42963437,42963442
42963519,42963427,42963435,42963437,42963439,42963448
42963528,42963427,42963430,42963437,42963438,42963440
42963537,42963427,42963431,42963433,42963437,42963439
42963526,42963427,42963431,42963433,42963439,42963448
42963520,42963427,42963429,42963439,42963442,42963450
42963520,42963427,42963430,42963438,42963439,42963454
42963525,42963427,42963429,42963433,42963440,42963454
42963519,42963427,42963431,42963440,42963442,42963448
42963516,42963430,42963431,42963439,42963512,42963450
42963516,42963430,42963437,42963439,42963442,42963507
42963518,42963427,42963433,42963436,42963447,42963500
42963516,42963431,42963437,42963442,42963447,42963508
42963516,42963433,42963438,42963439,42963441,42963448
42963518,42963427,42963435,42963445,42963507,42963449
42963528,42963427,42963431,42963433,42963438,42963450
42963516,42963431,42963438,42963442,42963448,42963512
42963516,42963433,42963437,42963441,42963442,42963450
42963518,42963427,42963435,42963440,42963495,42963499
42963524,42963427,42963429,42963440,42963507,42963449
42963516,42963430,42963436,42963438,42963442,42963450
42963516,42963431,42963439,42963441,42963442,42963499
42963516,42963435,42963437,42963438,42963439,42963450
42963516,42963430,42963437,42963438,42963441,42963449
42963516,42963431,42963437,42963439,42963440,42963448
42963518,42963427,42963433,42963495,42963512,42963449
42963525,42963427,42963433,42963435,42963447,42963499
42963516,42963431,42963438,42963440,42963441,42963450
42963519,42963427,42963431,42963438,42963441,42963454
42963519,42963427,42963431,42963439,42963447,42963450
42963537,42963427,42963430,42963431,42963436,42963438
42963528,42963427,42963429,42963430,42963441,42963450
42963531,42963427,42963430,42963435,42963439,42963441
42963516,42963469,42963439,42963442,42963448,42963495
42963520,42963427,42963430,42963441,42963445,42963448
42963516,42963430,42963437,42963448,42963495,42963450
42963516,42963430,42963441,42963442,42963448,42963454
42963538,42963427,42963433,42963435,42963436,42963440
42963526,42963427,42963430,42963441,42963442,42963449
42963530,42963427,42963430,42963431,42963435,42963450
42963524,42963429,42963430,42963433,42963436,42963447
42963518,42963427,42963433,42963440,42963445,42963450
42963518,42963433,42963435,42963436,42963439,42963454
42963516,42963430,42963431,42963437,42963502,42963454
42963539,42963427,42963480,42963430,42963437,42963454
42963525,42963429,42963430,42963433,42963435,42963445
42963520,42963427,42963430,42963503,42963449,42963450
42963516,42963430,42963438,42963439,42963440,42963499
42963516,42963431,42963433,42963436,42963448,42963450
42963534,42963427,42963429,42963433,42963436,42963438
42963516,42963430,42963435,42963439,42963447,42963448
42963522,42963427,42963435,42963436,42963437,42963447
42963516,42963429,42963437,42963438,42963447,42963448
42963518,42963427,42963430,42963435,42963447,42963454
42963516,42963435,42963436,42963437,42963442,42963448
42963529,42963427,42963429,42963436,42963502,42963512
42963524,42963427,42963433,42963439,42963440,42963495
42963516,42963431,42963438,42963439,42963447,42963449
42963534,42963427,42963429,42963435,42963437,42963440
42963516,42963431,42963435,42963442,42963445,42963450
42963522,42963429,42963431,42963436,42963445,42963495
42963516,42963429,42963439,42963441,42963447,42963450
42963543,42963427,42963429,42963431,42963435,42963436
42963516,42963429,42963439,42963445,42963448,42963508
42963516,42963429,42963438,42963440,42963442,42963508
42963539,42963427,42963429,42963430,42963435,42963438
42963531,42963427,42963481,42963433,42963438,42963448
42963519,42963427,42963437,42963442,42963445,42963495
42963529,42963427,42963435,42963436,42963438,42963445
42963524,42963427,42963429,42963431,42963447,42963454
42963526,42963427,42963429,42963439,42963440,42963441
42963519,42963427,42963435,42963440,42963441,42963450
42963516,42963433,42963439,42963440,42963442,42963445
42963516,42963435,42963438,42963441,42963442,42963447
42963518,42963427,42963436,42963437,42963507,42963454
42963519,42963427,42963436,42963438,42963439,42963449
42963520,42963427,42963469,42963448,42963495,42963450
