CPT_ID,CPT_Name,CPT_Salary,CPT_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42963519,Corey Seager,13500,12.47,42963427,Jack Leiter,12200,13.65,42963433,Riley Greene,8200,8.18,42963439,Jake Burger,6200,7.36,42963442,Kyle Higashioka,5400,6.34,42963448,Ezequiel Duran,4000,5.70,53.70,49500,23.0,2.3018e+1
42963529,Spencer Torkelson,9000,10.94,42963427,Jack Leiter,12200,13.65,42963429,Kevin McGonigle,9400,8.42,42963433,Riley Greene,8200,8.18,42963435,Kerry Carpenter,7400,6.90,42963454,Wenceel Perez,3000,6.20,54.29,49200,23.3,2.3278e+1
42963520,Brandon Nimmo,13200,11.24,42963427,Jack Leiter,12200,13.65,42963433,Riley Greene,8200,8.18,42963437,Josh Jung,6600,7.28,42963439,Jake Burger,6200,7.36,42963450,Josh Smith,3600,5.91,53.62,50000,23.3,2.3313e+1
42963522,Riley Greene,12300,12.27,42963427,Jack Leiter,12200,13.65,42963429,Kevin McGonigle,9400,8.42,42963440,Spencer Torkelson,6000,7.29,42963445,Matt Vierling,4600,6.82,42963447,Hao-Yu Lee,4200,6.20,54.65,48700,23.2,2.3243e+1
42963528,Jake Burger,9300,11.04,42963427,Jack Leiter,12200,13.65,42963429,Kevin McGonigle,9400,8.42,42963437,Josh Jung,6600,7.28,42963438,Evan Carter,6400,5.93,42963442,Kyle Higashioka,5400,6.34,52.66,49300,23.2,2.3233e+1
42963528,Jake Burger,9300,11.04,42963427,Jack Leiter,12200,13.65,42963430,Corey Seager,9000,8.31,42963433,Riley Greene,8200,8.18,42963437,Josh Jung,6600,7.28,42963448,Ezequiel Duran,4000,5.70,54.16,49300,23.7,2.3730e+1
42963539,Josh Smith,5400,8.87,42963427,Jack Leiter,12200,13.65,42963430,Corey Seager,9000,8.31,42963431,Brandon Nimmo,8800,7.49,42963433,Riley Greene,8200,8.18,42963439,Jake Burger,6200,7.36,53.86,49800,23.7,2.3712e+1
42963526,Josh Jung,9900,10.92,42963427,Jack Leiter,12200,13.65,42963430,Corey Seager,9000,8.31,42963438,Evan Carter,6400,5.93,42963439,Jake Burger,6200,7.36,42963445,Matt Vierling,4600,6.82,52.99,48300,23.4,2.3385e+1
42963537,Ezequiel Duran,6000,8.55,42963427,Jack Leiter,12200,13.65,42963429,Kevin McGonigle,9400,8.42,42963430,Corey Seager,9000,8.31,42963437,Josh Jung,6600,7.28,42963439,Jake Burger,6200,7.36,53.57,49400,24.2,2.4180e+1
42963528,Jake Burger,9300,11.04,42963427,Jack Leiter,12200,13.65,42963430,Corey Seager,9000,8.31,42963431,Brandon Nimmo,8800,7.49,42963442,Kyle Higashioka,5400,6.34,42963447,Hao-Yu Lee,4200,6.20,53.03,48900,23.2,2.3202e+1
