CPT,UTIL,UTIL,UTIL,UTIL,UTIL
42961881,42961842,42961843,42961844,42961857,42961858
42961883,42961842,42961843,42961846,42961851,42961857
42961881,42961842,42961844,42961848,42961853,42961856
42961877,42961843,42961844,42961848,42961856,42961857
42961881,42961842,42961845,42961848,42961851,42961857
42961879,42961842,42961846,42961848,42961853,42961857
42961881,42961842,42961844,42961849,42961850,42961859
42961877,42961843,42961846,42961850,42961853,42961857
42961877,42961844,42961845,42961850,42961851,42961859
42961879,42961842,42961846,42961849,42961851,42961859
42961878,42961842,42961844,42961850,42961853,42961857
42961879,42961842,42961845,42961848,42961852,42961859
42961877,42961843,42961846,42961851,42961852,42961859
42961877,42961843,42961845,42961848,42961854,42961859
42961877,42961845,42961846,42961848,42961853,42961858
42961880,42961842,42961843,42961846,42961856,42961859
42961878,42961842,42961844,42961846,42961858,42961859
42961881,42961842,42961843,42961845,42961855,42961859
42961879,42961843,42961846,42961848,42961850,42961859
42961883,42961842,42961843,42961844,42961853,42961859
42961883,42961842,42961845,42961846,42961850,42961859
42961877,42961844,42961846,42961848,42961855,42961859
42961881,42961843,42961844,42961848,42961851,42961859
42961881,42961842,42961844,42961848,42961852,42961857
42961877,42961843,42961846,42961848,42961855,42961857
42961881,42961842,42961843,42961848,42961853,42961857
42961879,42961842,42961846,42961850,42961851,42961857
42961878,42961842,42961846,42961848,42961853,42961858
42961877,42961845,42961846,42961850,42961851,42961857
42961881,42961842,42961843,42961850,42961851,42961857
42961902,42961842,42961843,42961844,42961846,42961848
42961893,42961842,42961843,42961844,42961845,42961851
42961885,42961842,42961844,42961845,42961846,42961867
42961894,42961842,42961843,42961845,42961846,42961849
42961879,42961842,42961843,42961846,42961855,42961867
42961877,42961843,42961844,42961846,42961860,42961867
42961880,42961842,42961844,42961846,42961853,42961865
42961878,42961842,42961845,42961846,42961856,42961860
42961877,42961843,42961845,42961846,42961856,42961865
42961881,42961842,42961844,42961845,42961854,42961860
42961879,42961842,42961843,42961845,42961858,42961860
42961892,42961843,42961844,42961845,42961846,42961850
42961880,42961842,42961843,42961848,42961850,42961867
42961883,42961842,42961844,42961846,42961852,42961856
42961877,42961844,42961846,42961849,42961850,42961865
42961886,42961842,42961843,42961845,42961848,42961856
42961879,42961842,42961845,42961846,42961854,42961865
42961878,42961842,42961846,42961849,42961850,42961867
42961877,42961844,42961845,42961848,42961852,42961867
42961889,42961842,42961844,42961845,42961848,42961850
42961888,42961842,42961843,42961844,42961850,42961852
42961877,42961843,42961845,42961849,42961851,42961867
42961877,42961844,42961846,42961851,42961853,42961856
42961879,42961842,42961843,42961851,42961853,42961856
42961880,42961842,42961846,42961848,42961851,42961860
42961878,42961844,42961846,42961848,42961850,42961860
42961881,42961843,42961844,42961845,42961853,42961867
42961877,42961843,42961844,42961850,42961854,42961858
42961886,42961842,42961843,42961846,42961850,42961854
42961885,42961842,42961843,42961846,42961852,42961853
42961878,42961842,42961844,42961848,42961854,42961867
42961886,42961842,42961844,42961846,42961849,42961855
42961879,42961842,42961843,42961849,42961854,42961857
42961880,42961843,42961844,42961846,42961855,42961858
