CPT_ID,CPT_Name,CPT_Salary,CPT_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961857,Dennis Schroder,2600,12.72,42961858,Jamison Battle,2400,9.87,220.48,50000,32.4,3.2353e+1
42961883,Collin Murray-Boyles,11100,47.33,42961842,Scottie Barnes,11000,50.84,42961843,Donovan Mitchell,10200,43.05,42961846,RJ Barrett,9200,41.01,42961851,Jamal Shead,5800,23.02,42961857,Dennis Schroder,2600,12.72,217.97,49900,33.6,3.3558e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961848,Collin Murray-Boyles,7400,31.56,42961853,Jakob Poeltl,4600,19.68,42961856,Sam Merrill,3200,12.22,218.30,50000,32.2,3.2178e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961844,James Harden,10000,42.48,42961848,Collin Murray-Boyles,7400,31.56,42961856,Sam Merrill,3200,12.22,42961857,Dennis Schroder,2600,12.72,218.29,49900,30.8,3.0842e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961845,Evan Mobley,9400,38.64,42961848,Collin Murray-Boyles,7400,31.56,42961851,Jamal Shead,5800,23.02,42961857,Dennis Schroder,2600,12.72,218.30,50000,33.1,3.3090e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961846,RJ Barrett,9200,41.01,42961848,Collin Murray-Boyles,7400,31.56,42961853,Jakob Poeltl,4600,19.68,42961857,Dennis Schroder,2600,12.72,219.53,49800,34.0,3.3968e+1
42961881,RJ Barrett,13800,61.52,42961842,Scottie Barnes,11000,50.84,42961844,James Harden,10000,42.48,42961849,Jarrett Allen,7000,24.19,42961850,Ja'Kobe Walter,6200,24.16,42961859,Jaylon Tyson,2000,12.86,216.05,50000,32.2,3.2208e+1
42961877,Scottie Barnes,16500,76.26,42961843,Donovan Mitchell,10200,43.05,42961846,RJ Barrett,9200,41.01,42961850,Ja'Kobe Walter,6200,24.16,42961853,Jakob Poeltl,4600,19.68,42961857,Dennis Schroder,2600,12.72,216.88,49300,31.8,3.1772e+1
42961877,Scottie Barnes,16500,76.26,42961844,James Harden,10000,42.48,42961845,Evan Mobley,9400,38.64,42961850,Ja'Kobe Walter,6200,24.16,42961851,Jamal Shead,5800,23.02,42961859,Jaylon Tyson,2000,12.86,217.42,49900,32.2,3.2168e+1
42961879,James Harden,15000,63.72,42961842,Scottie Barnes,11000,50.84,42961846,RJ Barrett,9200,41.01,42961849,Jarrett Allen,7000,24.19,42961851,Jamal Shead,5800,23.02,42961859,Jaylon Tyson,2000,12.86,215.64,50000,32.4,3.2357e+1
