P,P,C,1B,2B,3B,SS,OF,OF,OF
42962676,42962149,42962244,42962171,42962179,42962218,42962242,42962307,42962211,42962188
42962149,42962159,42962244,42962248,42962186,42962256,42962242,42962192,42962170,42962211
42962147,42962160,42962244,42962248,42962179,42962185,42962242,42962221,42962192,42962211
42962150,42962159,42962274,42962248,42962179,42962218,42962242,42962195,42962192,42962170
42962154,42962149,42962274,42962248,42962180,42962218,42962268,42962170,42962283,42962192
42962148,42962160,42962204,42962248,42962179,42962218,42962242,42962184,42962192,42962211
42962150,42962152,42962274,42962248,42962179,42962218,42962222,42962251,42962192,42962188
42962154,42962149,42962254,42962248,42962179,42962218,42962222,42962332,42962211,42962170
42962157,42962149,42962244,42962208,42962179,42962256,42962222,42962281,42962211,42962170
42962150,42962149,42962244,42962208,42962179,42962185,42962222,42962195,42962332,42962283
42962148,42962149,42962254,42962248,42962208,42962256,42962268,42962170,42962283,42962211
42962154,42962149,42962274,42962208,42962179,42962218,42962242,42962214,42962211,42962192
42962147,42962157,42962244,42962248,42962208,42962218,42962242,42962169,42962283,42962211
42962154,42962149,42962244,42962248,42962180,42962218,42962222,42962287,42962175,42962211
42962676,42962149,42962254,42962208,42962179,42962256,42962242,42962165,42962283,42962188
42962154,42962149,42962324,42962258,42962219,42962360,42962255,42962163,42962189,42962167
42962154,42962149,42962204,42962194,42962257,42962339,42962172,42962169,42962241,42962276
42962150,42962149,42962324,42962171,42962219,42962360,42962268,42962252,42962238,42962163
42962148,42962149,42962393,42962171,42962219,42962346,42962255,42962251,42962267,42962163
42962148,42962149,42962324,42962171,42962299,42962360,42962255,42962163,42962238,42962267
42962150,42962149,42962212,42962193,42962179,42962373,42962255,42962252,42962205,42962189
42962154,42962149,42962244,42962202,42962187,42962354,42962210,42962195,42962278,42962164
42962150,42962149,42962212,42962193,42962219,42962344,42962255,42962189,42962238,42962192
42962152,42962149,42962324,42962193,42962179,42962344,42962255,42962163,42962252,42962238
42962148,42962149,42962341,42962258,42962186,42962280,42962260,42962214,42962295,42962165
42962147,42962149,42962274,42962215,42962313,42962354,42962210,42962164,42962281,42962195
42962154,42962149,42962212,42962171,42962219,42962346,42962255,42962205,42962238,42962189
42962154,42962150,42962324,42962193,42962219,42962185,42962255,42962163,42962238,42962267
42962148,42962149,42962212,42962193,42962239,42962346,42962200,42962238,42962252,42962192
42962154,42962149,42962224,42962171,42962257,42962344,42962255,42962238,42962267,42962163
42962148,42962149,42962393,42962215,42962179,42962354,42962210,42962184,42962281,42962177
42962541,42962149,42962274,42962297,42962179,42962240,42962242,42962211,42962188,42962192
42962149,42962153,42962217,42962182,42962219,42962280,42962260,42962181,42962177,42962295
42962147,42962149,42962204,42962190,42962257,42962290,42962348,42962241,42962169,42962307
42962148,42962152,42962244,42962193,42962219,42962344,42962255,42962238,42962267,42962163
42962147,42962149,42962341,42962165,42962371,42962280,42962260,42962238,42962163,42962295
42962147,42962149,42962364,42962258,42962179,42962223,42962246,42962167,42962271,42962293
42962150,42962149,42962324,42962193,42962219,42962346,42962255,42962252,42962189,42962163
42962147,42962149,42962341,42962196,42962186,42962354,42962260,42962195,42962295,42962177
42962157,42962149,42962217,42962165,42962186,42962280,42962242,42962238,42962181,42962295
42962154,42962147,42962217,42962165,42962186,42962280,42962260,42962195,42962294,42962295
42962147,42962148,42962301,42962228,42962328,42962185,42962168,42962294,42962293,42962221
42962148,42962147,42962411,42962194,42962299,42962325,42962200,42962277,42962220,42962175
42962147,42962148,42962217,42962165,42962371,42962280,42962260,42962277,42962295,42962191
42962147,42962157,42962217,42962196,42962186,42962354,42962300,42962165,42962295,42962181
42962154,42962147,42962341,42962182,42962371,42962207,42962260,42962163,42962181,42962295
42962148,42962157,42962411,42962194,42962213,42962312,42962200,42962169,42962303,42962175
42962148,42962147,42962393,42962194,42962313,42962330,42962210,42962281,42962195,42962164
42962148,42962147,42962253,42962338,42962213,42962325,42962200,42962303,42962165,42962214
42962154,42962147,42962253,42962165,42962299,42962312,42962200,42962333,42962175,42962220
42962147,42962148,42962341,42962182,42962327,42962223,42962300,42962214,42962295,42962165
42962148,42962147,42962341,42962196,42962371,42962256,42962300,42962165,42962181,42962295
