PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42971732,Tyrese Maxey,8500,43.82,42971779,Kelly Oubre Jr.,4900,23.05,42971800,Julian Champagnie,4400,20.99,42971738,Julius Randle,7700,37.27,42971820,Mitchell Robinson,3700,17.73,42971735,Jalen Brunson,8100,43.25,42971772,Naz Reid,5500,28.05,42971747,De'Aaron Fox,6900,36.20,250.36,49700,36.8,3.6810e+1
42971732,Tyrese Maxey,8500,43.82,42971767,Josh Hart,6000,31.87,42971779,Kelly Oubre Jr.,4900,23.05,42971750,OG Anunoby,6800,32.89,42971761,Rudy Gobert,6500,31.62,42971747,De'Aaron Fox,6900,36.20,42971800,Julian Champagnie,4400,20.99,42971772,Naz Reid,5500,28.05,248.49,49500,37.1,3.7095e+1
42971735,Jalen Brunson,8100,43.25,42971763,VJ Edgecombe,6300,29.30,42971767,Josh Hart,6000,31.87,42971772,Naz Reid,5500,28.05,42971723,Joel Embiid,8800,47.85,42971813,Keldon Johnson,3900,16.03,42971800,Julian Champagnie,4400,20.99,42971744,Stephon Castle,7000,37.18,254.52,50000,38.0,3.8025e+1
42971735,Jalen Brunson,8100,43.25,42971779,Kelly Oubre Jr.,4900,23.05,42971767,Josh Hart,6000,31.87,42971772,Naz Reid,5500,28.05,42971723,Joel Embiid,8800,47.85,42971787,Dylan Harper,4700,20.76,42971800,Julian Champagnie,4400,20.99,42971761,Rudy Gobert,6500,31.62,247.44,48900,37.1,3.7129e+1
42971732,Tyrese Maxey,8500,43.82,42971822,Miles McBride,3600,14.66,42971776,Devin Vassell,5200,27.04,42971800,Julian Champagnie,4400,20.99,42971723,Joel Embiid,8800,47.85,42971767,Josh Hart,6000,31.87,42971738,Julius Randle,7700,37.27,42971772,Naz Reid,5500,28.05,251.55,49700,37.4,3.7354e+1
42971735,Jalen Brunson,8100,43.25,42971779,Kelly Oubre Jr.,4900,23.05,42971757,Paul George,6600,33.95,42971750,OG Anunoby,6800,32.89,42971772,Naz Reid,5500,28.05,42971744,Stephon Castle,7000,37.18,42971800,Julian Champagnie,4400,20.99,42971761,Rudy Gobert,6500,31.62,250.98,49800,36.8,3.6807e+1
42971747,De'Aaron Fox,6900,36.20,42971779,Kelly Oubre Jr.,4900,23.05,42971784,Mikal Bridges,4800,21.91,42971772,Naz Reid,5500,28.05,42971820,Mitchell Robinson,3700,17.73,42971744,Stephon Castle,7000,37.18,42971738,Julius Randle,7700,37.27,42971723,Joel Embiid,8800,47.85,249.24,49300,36.6,3.6635e+1
42971735,Jalen Brunson,8100,43.25,42971779,Kelly Oubre Jr.,4900,23.05,42971784,Mikal Bridges,4800,21.91,42971757,Paul George,6600,33.95,42971772,Naz Reid,5500,28.05,42971747,De'Aaron Fox,6900,36.20,42971776,Devin Vassell,5200,27.04,42971738,Julius Randle,7700,37.27,250.72,49700,37.1,3.7102e+1
42971735,Jalen Brunson,8100,43.25,42971779,Kelly Oubre Jr.,4900,23.05,42971767,Josh Hart,6000,31.87,42971757,Paul George,6600,33.95,42971772,Naz Reid,5500,28.05,42971744,Stephon Castle,7000,37.18,42971813,Keldon Johnson,3900,16.03,42971738,Julius Randle,7700,37.27,250.65,49700,37.7,3.7746e+1
42971732,Tyrese Maxey,8500,43.82,42971767,Josh Hart,6000,31.87,42971784,Mikal Bridges,4800,21.91,42971772,Naz Reid,5500,28.05,42971723,Joel Embiid,8800,47.85,42971747,De'Aaron Fox,6900,36.20,42971776,Devin Vassell,5200,27.04,42971813,Keldon Johnson,3900,16.03,252.77,49600,38.2,3.8157e+1
