PG,SG,SF,PF,C,G,F,UTIL
42949041,42948959,42949062,42948990,42949031,42948975,42948979,42949017
42948987,42949041,42949048,42948990,42949031,42948975,42948979,42949006
42949041,42949053,42949062,42948997,42949031,42948945,42948979,42948990
42948945,42949041,42948979,42948990,42949031,42949045,42949037,42949017
42948987,42948975,42949095,42948990,42949031,42949045,42948979,42948965
42949045,42949053,42949003,42948951,42949031,42949006,42948990,42948975
42949045,42949041,42949062,42948956,42949031,42949006,42948948,42948990
42949041,42949095,42949003,42948956,42948990,42949062,42948979,42948959
42948987,42949041,42949048,42948956,42949031,42949053,42948990,42948954
42948945,42949041,42949095,42948956,42948990,42949053,42949062,42948975
42948945,42949041,42948979,42949104,42949071,42948959,42948990,42949031
42949041,42948982,42949095,42948956,42948990,42948962,42949073,42948979
42949053,42948959,42949048,42948956,42949031,42949006,42949010,42948990
42949041,42949085,42948979,42948990,42949031,42948962,42949037,42948954
42948987,42949057,42948979,42948990,42949071,42948945,42949017,42949041
42949041,42949053,42949104,42948971,42949031,42948987,42948979,42948945
42948962,42949041,42948979,42948990,42948985,42948982,42949048,42949045
42948987,42949006,42948979,42948971,42949060,42949010,42948990,42949031
42949041,42949085,42948979,42948956,42949031,42948959,42949017,42949006
42948962,42949048,42948979,42949022,42949031,42949006,42949010,42948990
42949041,42949053,42949003,42948990,42949031,42948959,42949010,42948965
42949041,42949057,42949003,42948956,42949031,42948959,42949062,42948962
42949006,42948982,42949104,42949022,42949031,42948959,42948979,42948990
42949041,42948982,42949003,42949108,42948985,42948962,42948979,42949006
42948987,42949041,42949003,42948956,42948985,42949045,42949010,42949006
42949041,42949010,42949003,42948997,42949031,42949045,42948951,42948979
42949045,42948959,42949017,42949100,42949031,42948975,42948956,42949006
42949053,42948959,42948979,42949037,42949026,42948975,42949017,42949006
42948945,42949053,42949095,42948951,42949124,42949017,42948979,42949006
42949045,42948959,42949062,42948951,42948954,42949053,42949048,42949006
42949053,42948959,42949095,42948956,42948985,42948975,42949048,42949006
42948987,42949062,42949003,42948956,42948971,42949053,42949048,42948975
42948987,42949057,42949003,42948951,42948954,42949053,42949017,42949045
42948945,42948959,42949108,42949104,42948954,42949053,42949037,42949006
42948945,42949053,42949095,42948971,42948954,42949045,42949048,42949006
42948945,42949006,42949062,42949108,42949060,42948962,42949048,42948954
42948987,42949006,42949003,42948971,42948985,42949045,42949108,42948962
42949006,42949062,42949003,42948956,42949060,42948959,42949048,42948975
42949053,42949062,42949095,42948948,42949022,42948962,42949003,42948959
42948945,42949053,42949062,42948997,42949060,42948987,42949048,42948954
42949129,42949095,42949010,42948956,42949124,42948962,42948948,42948985
42948987,42949095,42949100,42949022,42949060,42948945,42948971,42948962
42948945,42949057,42949062,42948997,42949071,42949053,42948971,42948954
42949053,42948975,42949062,42948971,42949071,42948965,42949037,42948948
42948987,42948959,42949095,42948997,42949015,42948962,42949048,42949045
42948987,42948982,42949108,42948948,42949060,42949045,42949048,42948962
42949053,42948959,42949108,42948951,42948985,42948962,42949022,42949071
42948987,42948975,42949062,42948971,42949026,42948945,42949104,42949060
42948987,42949057,42949062,42949022,42949124,42948975,42948948,42948954
42948945,42948982,42949003,42948997,42949060,42949085,42949022,42949017
