P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42944647,Will Warren,8900,17.95,42944650,Cole Ragans,8300,17.62,42944865,Jonah Heim,2900,6.72,42944677,Matt Olson,5700,10.40,42944742,Jazz Chisholm Jr.,4100,7.75,42944820,Yoan Moncada,3200,6.84,42944775,Mauricio Dubon,3700,7.78,42944892,Eli White,2700,6.83,42944674,Ronald Acuna Jr.,5900,12.08,42944735,Jo Adell,4200,7.21,101.18,49600,14.0,1.4035e+1
42944647,Will Warren,8900,17.95,42944650,Cole Ragans,8300,17.62,42944865,Jonah Heim,2900,6.72,42944677,Matt Olson,5700,10.40,42944722,Xavier Edwards,4400,6.45,42944703,Austin Riley,4700,9.36,42944775,Mauricio Dubon,3700,7.78,42944846,Heliot Ramos,3000,7.86,42944685,Byron Buxton,5300,9.40,42944892,Eli White,2700,6.83,100.37,49600,13.0,1.2962e+1
42944659,Patrick Corbin,6700,11.25,42944646,Bryan Woo,9000,17.44,42944865,Jonah Heim,2900,6.72,42944677,Matt Olson,5700,10.40,42944693,Fernando Tatis Jr.,5000,9.44,42944703,Austin Riley,4700,9.36,42944775,Mauricio Dubon,3700,7.78,42944698,Roman Anthony,4900,8.20,42944892,Eli White,2700,6.83,42944714,Mickey Moniak,4500,9.57,96.99,49800,12.2,1.2243e+1
42944658,J.T. Ginn,6900,9.52,42944650,Cole Ragans,8300,17.62,42944865,Jonah Heim,2900,6.72,42944677,Matt Olson,5700,10.40,42944693,Fernando Tatis Jr.,5000,9.44,42944703,Austin Riley,4700,9.36,42944960,Ronny Mauricio,2300,6.14,42944674,Ronald Acuna Jr.,5900,12.08,42944775,Mauricio Dubon,3700,7.78,42944714,Mickey Moniak,4500,9.57,98.63,49900,13.2,1.3212e+1
42944648,Emmet Sheehan,8700,15.73,42944646,Bryan Woo,9000,17.44,42944865,Jonah Heim,2900,6.72,42944715,Bryce Harper,4500,9.72,42944693,Fernando Tatis Jr.,5000,9.44,42944703,Austin Riley,4700,9.36,42944848,Jorge Mateo,3000,5.37,42944808,Brandon Marsh,3300,7.80,42944892,Eli White,2700,6.83,42944674,Ronald Acuna Jr.,5900,12.08,100.49,49700,14.0,1.4035e+1
42944645,Robbie Ray,9300,15.49,42944650,Cole Ragans,8300,17.62,42944865,Jonah Heim,2900,6.72,42944731,Vinnie Pasquantino,4300,7.55,42944740,Edouard Julien,4200,8.32,42944703,Austin Riley,4700,9.36,42944848,Jorge Mateo,3000,5.37,42944674,Ronald Acuna Jr.,5900,12.08,42944892,Eli White,2700,6.83,42944714,Mickey Moniak,4500,9.57,98.91,49800,12.2,1.2247e+1
42944647,Will Warren,8900,17.95,42944646,Bryan Woo,9000,17.44,42944676,Drake Baldwin,5800,10.08,42944677,Matt Olson,5700,10.40,42944903,Marcelo Mayer,2700,6.04,42944964,Caleb Durbin,2200,5.99,42944807,Trevor Story,3300,7.46,42944734,Wilyer Abreu,4200,8.28,42944725,Jarren Duran,4400,8.79,42944775,Mauricio Dubon,3700,7.78,100.21,49900,13.5,1.3548e+1
42944647,Will Warren,8900,17.95,42944644,Zack Wheeler,9500,17.39,42944865,Jonah Heim,2900,6.72,42944677,Matt Olson,5700,10.40,42944803,Daniel Schneemann,3400,7.91,42944703,Austin Riley,4700,9.36,42944741,Carlos Correa,4100,7.22,42944892,Eli White,2700,6.83,42944775,Mauricio Dubon,3700,7.78,42944718,Chase DeLauter,4400,8.95,100.51,50000,14.4,1.4351e+1
42944662,Christian Scott,6200,13.51,42944650,Cole Ragans,8300,17.62,42944909,Bo Naylor,2600,7.52,42944677,Matt Olson,5700,10.40,42944840,Travis Bazzana,3000,7.18,42944670,Jose Ramirez,6200,11.56,42944848,Jorge Mateo,3000,5.37,42944674,Ronald Acuna Jr.,5900,12.08,42944721,Angel Martinez,4400,7.51,42944718,Chase DeLauter,4400,8.95,101.70,49700,12.7,1.2719e+1
42944660,Walbert Urena,6500,11.63,42944650,Cole Ragans,8300,17.62,42944768,Will Smith,3800,8.32,42944677,Matt Olson,5700,10.40,42944706,Willi Castro,4600,7.42,42944703,Austin Riley,4700,9.36,42944807,Trevor Story,3300,7.46,42944775,Mauricio Dubon,3700,7.78,42944848,Jorge Mateo,3000,5.37,42944674,Ronald Acuna Jr.,5900,12.08,97.44,49500,13.6,1.3637e+1
