P,P,C,1B,2B,3B,SS,OF,OF,OF
42659434,42659311,42659324,42659350,42659351,42659321,42659333,42659341,42659329,42659323
42659434,42659311,42659324,42659336,42659351,42659321,42659331,42659341,42659334,42659323
42659434,42659311,42659324,42659350,42659354,42659321,42659333,42659328,42659338,42659323
42659434,42659311,42659324,42659336,42659351,42659321,42659333,42659338,42659347,42659323
42659434,42659311,42659324,42659336,42659354,42659321,42659333,42659341,42659322,42659323
42659434,42659311,42659324,42659336,42659351,42659321,42659333,42659341,42659334,42659329
42659434,42659311,42659324,42659350,42659351,42659321,42659331,42659341,42659327,42659323
42659434,42659311,42659324,42659350,42659354,42659321,42659331,42659341,42659323,42659329
42659434,42659311,42659324,42659350,42659351,42659321,42659331,42659334,42659323,42659329
42659434,42659311,42659324,42659336,42659351,42659321,42659333,42659352,42659329,42659323
42659434,42659311,42659324,42659350,42659351,42659321,42659333,42659349,42659323,42659322
42659434,42659311,42659324,42659336,42659354,42659321,42659331,42659352,42659323,42659329
42659434,42659311,42659324,42659336,42659351,42659321,42659331,42659347,42659329,42659323
42659434,42659311,42659324,42659350,42659354,42659321,42659333,42659322,42659347,42659323
42659434,42659311,42659324,42659336,42659354,42659330,42659333,42659341,42659323,42659327
42659434,42659311,42659324,42659336,42659354,42659321,42659333,42659349,42659327,42659323
42659434,42659311,42659324,42659350,42659351,42659321,42659333,42659334,42659323,42659314
42659434,42659311,42659324,42659336,42659354,42659321,42659331,42659334,42659349,42659323
42659434,42659311,42659324,42659336,42659354,42659321,42659333,42659339,42659322,42659329
42659434,42659311,42659324,42659350,42659340,42659321,42659333,42659329,42659347,42659323
42659434,42659311,42659324,42659318,42659351,42659321,42659331,42659349,42659341,42659329
42659434,42659311,42659324,42659336,42659351,42659321,42659333,42659334,42659314,42659347
42659434,42659311,42659324,42659350,42659354,42659321,42659333,42659356,42659323,42659314
42659434,42659311,42659324,42659350,42659316,42659321,42659331,42659334,42659341,42659323
42659434,42659311,42659324,42659336,42659351,42659321,42659331,42659341,42659352,42659314
42659434,42659311,42659324,42659350,42659351,42659321,42659331,42659352,42659314,42659323
42659434,42659311,42659324,42659334,42659354,42659321,42659333,42659341,42659323,42659329
42659434,42659311,42659324,42659318,42659354,42659347,42659331,42659341,42659323,42659329
42659434,42659311,42659324,42659336,42659354,42659321,42659333,42659341,42659334,42659314
42659434,42659311,42659324,42659336,42659351,42659325,42659333,42659341,42659329,42659323
42659434,42659311,42659324,42659336,42659351,42659347,42659333,42659341,42659329,42659314
42659434,42659311,42659324,42659336,42659316,42659359,42659331,42659334,42659341,42659323
42659309,42659311,42659324,42659350,42659351,42659325,42659331,42659356,42659341,42659328
42659434,42659311,42659324,42659336,42659354,42659347,42659331,42659329,42659322,42659323
42659434,42659311,42659324,42659336,42659354,42659321,42659331,42659341,42659323,42659314
42659434,42659311,42659324,42659334,42659351,42659321,42659333,42659323,42659347,42659329
42659434,42659311,42659324,42659350,42659314,42659321,42659333,42659341,42659352,42659323
42659434,42659311,42659324,42659334,42659351,42659321,42659333,42659352,42659341,42659314
42659434,42659311,42659324,42659336,42659351,42659321,42659333,42659349,42659323,42659314
42659434,42659311,42659324,42659336,42659351,42659347,42659331,42659341,42659314,42659323
42659434,42659311,42659324,42659318,42659354,42659321,42659333,42659349,42659347,42659323
42659434,42659311,42659324,42659337,42659354,42659321,42659331,42659334,42659347,42659323
42659434,42659311,42659324,42659334,42659354,42659321,42659331,42659341,42659322,42659329
42659434,42659311,42659324,42659350,42659354,42659321,42659331,42659334,42659341,42659314
42659434,42659311,42659332,42659350,42659351,42659321,42659333,42659347,42659314,42659323
42659434,42659311,42659324,42659350,42659316,42659359,42659333,42659341,42659322,42659323
42659434,42659311,42659324,42659350,42659325,42659321,42659331,42659349,42659341,42659323
42659434,42659311,42659324,42659350,42659351,42659347,42659331,42659334,42659314,42659323
42659434,42659311,42659324,42659336,42659314,42659321,42659333,42659352,42659341,42659329
42659434,42659311,42659324,42659350,42659314,42659321,42659331,42659341,42659352,42659329
42659434,42659311,42659324,42659336,42659351,42659347,42659331,42659313,42659334,42659341
42659434,42659311,42659324,42659336,42659314,42659347,42659331,42659341,42659352,42659329
42659434,42659311,42659324,42659350,42659354,42659330,42659331,42659334,42659329,42659323
42659434,42659311,42659324,42659336,42659314,42659347,42659333,42659341,42659352,42659323
42659434,42659311,42659324,42659336,42659351,42659359,42659331,42659334,42659323,42659314
42659434,42659311,42659324,42659336,42659351,42659321,42659331,42659349,42659314,42659347
42659434,42659311,42659324,42659350,42659351,42659347,42659333,42659329,42659323,42659314
42659434,42659311,42659324,42659350,42659351,42659321,42659319,42659349,42659334,42659323
42659434,42659311,42659324,42659336,42659354,42659359,42659333,42659328,42659323,42659314
42659434,42659311,42659324,42659334,42659351,42659330,42659331,42659341,42659322,42659329
42659434,42659311,42659324,42659350,42659351,42659321,42659331,42659349,42659314,42659329
42659434,42659311,42659324,42659334,42659351,42659321,42659331,42659352,42659314,42659347
42659434,42659311,42659324,42659350,42659351,42659325,42659331,42659313,42659334,42659356
42659434,42659311,42659324,42659350,42659351,42659321,42659333,42659352,42659313,42659323
