P,P,C,1B,2B,3B,SS,OF,OF,OF
42646451,42646426,42646505,42646525,42646312,42646269,42646519,42646332,42646421,42646348
42646408,42646294,42646361,42646349,42646504,42646412,42646302,42646518,42646287,42646476
42646445,42646314,42646341,42646334,42646337,42646390,42646281,42646489,42646274,42646422
42646451,42646426,42646505,42646352,42646337,42646269,42646286,42646489,42646348,42646421
42646408,42646294,42646320,42646525,42646377,42646486,42646302,42646287,42646418,42646476
42646445,42646314,42646361,42646349,42646504,42646273,42646281,42646365,42646277,42646422
42646451,42646314,42646505,42646525,42646337,42646415,42646281,42646332,42646470,42646489
42646408,42646426,42646361,42646349,42646312,42646269,42646286,42646359,42646422,42646365
42646445,42646294,42646320,42646334,42646270,42646273,42646302,42646476,42646287,42646518
42646303,42646318,42646375,42646260,42646508,42646273,42646286,42646277,42646285,42646348
42646451,42646294,42646320,42646525,42646377,42646415,42646286,42646476,42646470,42646287
42646445,42646408,42646361,42646349,42646270,42646390,42646302,42646422,42646277,42646518
42646426,42646314,42646375,42646334,42646337,42646390,42646519,42646274,42646332,42646285
42646426,42646408,42646361,42646525,42646312,42646269,42646519,42646418,42646359,42646365
42646451,42646294,42646375,42646454,42646377,42646415,42646286,42646277,42646287,42646518
42646445,42646314,42646341,42646349,42646386,42646269,42646281,42646422,42646332,42646421
42646426,42646451,42646505,42646525,42646508,42646269,42646286,42646373,42646470,42646421
42646445,42646294,42646361,42646334,42646377,42646412,42646302,42646518,42646332,42646277
42646275,42646408,42646375,42646260,42646377,42646415,42646302,42646287,42646476,42646421
42646322,42646314,42646375,42646334,42646312,42646486,42646519,42646470,42646489,42646332
42646408,42646294,42646320,42646525,42646377,42646412,42646286,42646430,42646277,42646287
42646426,42646451,42646505,42646334,42646337,42646273,42646281,42646489,42646348,42646285
42646445,42646314,42646361,42646349,42646337,42646390,42646281,42646277,42646422,42646359
42646451,42646294,42646320,42646525,42646377,42646486,42646519,42646287,42646277,42646518
42646426,42646408,42646505,42646260,42646270,42646269,42646286,42646422,42646365,42646421
42646445,42646314,42646341,42646334,42646508,42646269,42646302,42646274,42646421,42646285
42646451,42646294,42646320,42646525,42646312,42646415,42646286,42646287,42646430,42646277
42646408,42646426,42646375,42646260,42646312,42646390,42646519,42646470,42646373,42646418
42646445,42646314,42646361,42646349,42646386,42646269,42646339,42646285,42646348,42646421
42646514,42646322,42646361,42646260,42646508,42646390,42646281,42646359,42646348,42646421
42646408,42646451,42646453,42646525,42646377,42646412,42646286,42646277,42646287,42646476
42646426,42646294,42646375,42646334,42646312,42646390,42646519,42646332,42646470,42646373
42646445,42646314,42646361,42646334,42646337,42646390,42646281,42646359,42646332,42646274
42646445,42646451,42646341,42646260,42646377,42646269,42646286,42646476,42646421,42646285
42646408,42646294,42646361,42646525,42646312,42646412,42646519,42646476,42646430,42646470
42646426,42646420,42646505,42646260,42646312,42646269,42646519,42646489,42646421,42646348
42646445,42646451,42646341,42646260,42646386,42646269,42646286,42646287,42646277,42646285
42646408,42646294,42646361,42646525,42646270,42646412,42646519,42646277,42646287,42646476
