P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659341,Mickey Moniak,3400,7.08,42659329,Ramon Laureano,4100,7.43,42659323,Jackson Merrill,4400,9.36,76.34,44100,24.2,2.4162e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659341,Mickey Moniak,3400,7.08,42659334,Troy Johnston,3800,5.88,42659323,Jackson Merrill,4400,9.36,74.86,44500,22.1,2.2114e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659354,Jake Cronenworth,2800,6.34,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659328,Cam Smith,4200,6.36,42659338,Joey Loperfido,3600,6.87,42659323,Jackson Merrill,4400,9.36,75.23,44200,22.0,2.1979e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659338,Joey Loperfido,3600,6.87,42659347,Miguel Andujar,3200,5.48,42659323,Jackson Merrill,4400,9.36,74.61,44000,22.1,2.2076e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659354,Jake Cronenworth,2800,6.34,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659341,Mickey Moniak,3400,7.08,42659322,Julio Rodriguez,4500,9.88,42659323,Jackson Merrill,4400,9.36,79.39,44900,23.8,2.3814e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659354,Jake Cronenworth,2800,6.34,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659352,Brenton Doyle,2900,6.60,42659323,Jackson Merrill,4400,9.36,42659329,Ramon Laureano,4100,7.43,76.10,44100,21.4,2.1402e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659318,Christian Walker,4700,7.19,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659349,Tyler Freeman,3100,7.55,42659341,Mickey Moniak,3400,7.08,42659329,Ramon Laureano,4100,7.43,74.73,44500,25.1,2.5067e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659318,Christian Walker,4700,7.19,42659354,Jake Cronenworth,2800,6.34,42659347,Miguel Andujar,3200,5.48,42659331,Ezequiel Tovar,4000,6.46,42659341,Mickey Moniak,3400,7.08,42659323,Jackson Merrill,4400,9.36,42659329,Ramon Laureano,4100,7.43,75.00,44300,23.6,2.3569e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659352,Brenton Doyle,2900,6.60,42659314,Fernando Tatis Jr.,5000,8.51,42659323,Jackson Merrill,4400,9.36,76.58,44600,23.4,2.3423e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659352,Brenton Doyle,2900,6.60,42659314,Fernando Tatis Jr.,5000,8.51,42659329,Ramon Laureano,4100,7.43,75.44,44800,24.4,2.4407e+1
42659309,Luis Castillo,8500,14.90,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659351,Edouard Julien,3000,6.17,42659325,Isaac Paredes,4300,7.19,42659331,Ezequiel Tovar,4000,6.46,42659356,Taylor Trammell,2700,6.89,42659341,Mickey Moniak,3400,7.08,42659328,Cam Smith,4200,6.36,76.03,45100,27.1,2.7148e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659316,Jose Altuve,4900,7.98,42659359,Kyle Karros,2500,5.40,42659333,Xander Bogaerts,3900,6.82,42659334,Troy Johnston,3800,5.88,42659341,Mickey Moniak,3400,7.08,42659323,Jackson Merrill,4400,9.36,75.24,44300,24.1,2.4052e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659349,Tyler Freeman,3100,7.55,42659334,Troy Johnston,3800,5.88,42659314,Fernando Tatis Jr.,5000,8.51,74.41,44100,24.6,2.4610e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659318,Christian Walker,4700,7.19,42659354,Jake Cronenworth,2800,6.34,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659349,Tyler Freeman,3100,7.55,42659347,Miguel Andujar,3200,5.48,42659323,Jackson Merrill,4400,9.36,75.59,44300,24.3,2.4262e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659316,Jose Altuve,4900,7.98,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659341,Mickey Moniak,3400,7.08,42659349,Tyler Freeman,3100,7.55,42659323,Jackson Merrill,4400,9.36,77.91,45100,25.7,2.5678e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659337,Josh Naylor,3600,8.40,42659354,Jake Cronenworth,2800,6.34,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659334,Troy Johnston,3800,5.88,42659347,Miguel Andujar,3200,5.48,42659323,Jackson Merrill,4400,9.36,74.77,44000,21.7,2.1724e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659314,Fernando Tatis Jr.,5000,8.51,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659341,Mickey Moniak,3400,7.08,42659334,Troy Johnston,3800,5.88,42659347,Miguel Andujar,3200,5.48,73.68,45200,24.1,2.4113e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659334,Troy Johnston,3800,5.88,42659354,Jake Cronenworth,2800,6.34,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659341,Mickey Moniak,3400,7.08,42659322,Julio Rodriguez,4500,9.88,42659329,Ramon Laureano,4100,7.43,75.92,44800,23.0,2.2990e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659332,Yainer Diaz,4000,6.11,42659350,TJ Rumfield,3100,6.63,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659333,Xander Bogaerts,3900,6.82,42659347,Miguel Andujar,3200,5.48,42659314,Fernando Tatis Jr.,5000,8.51,42659323,Jackson Merrill,4400,9.36,74.58,44400,24.1,2.4118e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659354,Jake Cronenworth,2800,6.34,42659330,Brendan Donovan,4100,8.64,42659331,Ezequiel Tovar,4000,6.46,42659334,Troy Johnston,3800,5.88,42659329,Ramon Laureano,4100,7.43,42659323,Jackson Merrill,4400,9.36,76.40,44000,23.1,2.3138e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659351,Edouard Julien,3000,6.17,42659325,Isaac Paredes,4300,7.19,42659333,Xander Bogaerts,3900,6.82,42659349,Tyler Freeman,3100,7.55,42659323,Jackson Merrill,4400,9.36,42659322,Julio Rodriguez,4500,9.88,79.26,44000,26.1,2.6150e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659314,Fernando Tatis Jr.,5000,8.51,42659347,Miguel Andujar,3200,5.48,42659331,Ezequiel Tovar,4000,6.46,42659341,Mickey Moniak,3400,7.08,42659352,Brenton Doyle,2900,6.60,42659329,Ramon Laureano,4100,7.43,74.28,44000,22.6,2.2551e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659350,TJ Rumfield,3100,6.63,42659351,Edouard Julien,3000,6.17,42659325,Isaac Paredes,4300,7.19,42659331,Ezequiel Tovar,4000,6.46,42659313,Yordan Alvarez,6000,11.07,42659334,Troy Johnston,3800,5.88,42659356,Taylor Trammell,2700,6.89,75.95,44600,25.7,2.5742e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659351,Edouard Julien,3000,6.17,42659321,Manny Machado,4500,7.19,42659331,Ezequiel Tovar,4000,6.46,42659349,Tyler Freeman,3100,7.55,42659314,Fernando Tatis Jr.,5000,8.51,42659347,Miguel Andujar,3200,5.48,74.08,44200,23.3,2.3340e+1
42659434,Chase Dollander,5800,11.31,42659311,Walker Buehler,7500,7.00,42659324,Hunter Goodman,4400,7.35,42659336,Gavin Sheets,3700,7.06,42659354,Jake Cronenworth,2800,6.34,42659359,Kyle Karros,2500,5.40,42659333,Xander Bogaerts,3900,6.82,42659328,Cam Smith,4200,6.36,42659323,Jackson Merrill,4400,9.36,42659314,Fernando Tatis Jr.,5000,8.51,75.51,44200,22.9,2.2917e+1
