P,P,C,1B,2B,3B,SS,OF,OF,OF
42669109,42669083,42669262,42669169,42669001,42669209,42669267,42668978,42669245,42669047
42669109,42668992,42669262,42669133,42669156,42669071,42669267,42668978,42669149,42669075
42669109,42668992,42669262,42669133,42669156,42669071,42669019,42668978,42669210,42669075
42669109,42669083,42669107,42669169,42669001,42669209,42669298,42669245,42669210,42669047
42669109,42669083,42669262,42669169,42669337,42669209,42669267,42669147,42668978,42669216
42669109,42668992,42669262,42669133,42669156,42669071,42669019,42669047,42669216,42669149
42669109,42669145,42669107,42669133,42669001,42669071,42669111,42669075,42669164,42669156
42669109,42668992,42669262,42669133,42669156,42669105,42669298,42668978,42669075,42669320
42669109,42669083,42669262,42669169,42669001,42669209,42669298,42669192,42669216,42669047
42669109,42668992,42668998,42669133,42669309,42669071,42669111,42669047,42669216,42669149
42669109,42668992,42669198,42669133,42669138,42669105,42669298,42668978,42669320,42669156
42669109,42669145,42669107,42669133,42669161,42669071,42669298,42669113,42669156,42669149
42669109,42669145,42669107,42669133,42669161,42669142,42669267,42669156,42669075,42669149
42669109,42669145,42669107,42669133,42669030,42669071,42669111,42669102,42669156,42669149
42669109,42668992,42669262,42669133,42668982,42669209,42669267,42668978,42669149,42669210
42669109,42669145,42669107,42669133,42669161,42668979,42669111,42669216,42669102,42669156
42669109,42668992,42669262,42669169,42669001,42669268,42669019,42669002,42669047,42669210
42669109,42669145,42669107,42669133,42669030,42669142,42669111,42669102,42669149,42669075
42669109,42668992,42669262,42669133,42669001,42669209,42669267,42669320,42669047,42669149
42669109,42669145,42669107,42669133,42669161,42669105,42669267,42668978,42669149,42669156
42669109,42668992,42669262,42669133,42669309,42669209,42669267,42668978,42669047,42669149
42669109,42669145,42669107,42669133,42669309,42669071,42669111,42669149,42669192,42669156
42669109,42668992,42669262,42669169,42669001,42669071,42669019,42669243,42669216,42669047
42669083,42668992,42669262,42669260,42669001,42669209,42669140,42669320,42669216,42669210
42669109,42668992,42669262,42669133,42669309,42669209,42669298,42669113,42668978,42669210
42668992,42669083,42669262,42669169,42669001,42669337,42669019,42668978,42669210,42669216
42669109,42669145,42668998,42669133,42669309,42669071,42669111,42669164,42669216,42669149
42669109,42668992,42669021,42669133,42669161,42669105,42669267,42668978,42669216,42669075
42669109,42668992,42669262,42669103,42669309,42669209,42669267,42668978,42669216,42669075
42669109,42669145,42669107,42669324,42669161,42669071,42669111,42668978,42669156,42669149
42669109,42668992,42669262,42669324,42669309,42669209,42669267,42668978,42669047,42669216
42669083,42668992,42669262,42669169,42669337,42669268,42669298,42669131,42668978,42669210
42669109,42668992,42669021,42669133,42669001,42669209,42669019,42669164,42669149,42669075
42669109,42669083,42669107,42669260,42669030,42669268,42669019,42669245,42669119,42669320
42669109,42669079,42669107,42669133,42669161,42669071,42669019,42669075,42669149,42669320
42669109,42669083,42669107,42669082,42669037,42669142,42669298,42668978,42669102,42669119
42669109,42669079,42669107,42669133,42669161,42669071,42669111,42669216,42669102,42669156
42669079,42669083,42669198,42669064,42669131,42668979,42668996,42668989,42668978,42669216
42669109,42669079,42669107,42668982,42669001,42669142,42669140,42669216,42669239,42669114
42669109,42669079,42669107,42669133,42669156,42669105,42669019,42669075,42669149,42669320
42669109,42669083,42669107,42669082,42669030,42669142,42669140,42668978,42669114,42669102
42669109,42669104,42669107,42669260,42668982,42669337,42669140,42669147,42669216,42669320
42669109,42669083,42669107,42669082,42669001,42669142,42669298,42669239,42669102,42669114
42669109,42669040,42669107,42669133,42669161,42669071,42669321,42669075,42669149,42669245
42669109,42669079,42669107,42669133,42669161,42669071,42669111,42669216,42669075,42669114
42669104,42669083,42669107,42669324,42669069,42669138,42669298,42668978,42669274,42669113
42669104,42669079,42669198,42669133,42669131,42669071,42668996,42668978,42669075,42669149
42669104,42669083,42669107,42669260,42669001,42668979,42669298,42668978,42669250,42669239
42669109,42669079,42669107,42669133,42669105,42669171,42669019,42668978,42669156,42669075
42669109,42669083,42669107,42669082,42669001,42668979,42669267,42669114,42669180,42669102
42669109,42669083,42669107,42669082,42669001,42669142,42669140,42669113,42669180,42669114
42669109,42669104,42668998,42669260,42669001,42669071,42669298,42669216,42669239,42669102
42669109,42669104,42669107,42669082,42669037,42669138,42669298,42669113,42668978,42669102
42669109,42669104,42669107,42669082,42669001,42668979,42669140,42669239,42669180,42669216
42669083,42669079,42669198,42669064,42669001,42668988,42668996,42669147,42669274,42669131
42669109,42669079,42668998,42669260,42669001,42669171,42669019,42669002,42669149,42669320
42669083,42669079,42668998,42669103,42669001,42668979,42669019,42669131,42669216,42669239
42669109,42669083,42668998,42669103,42669001,42668979,42669019,42669250,42669320,42669002
42669109,42669104,42669107,42669133,42669105,42669142,42669298,42669075,42669149,42669156
42669079,42669083,42669107,42669324,42669069,42669138,42669298,42668978,42669147,42669274
42669109,42669083,42669107,42669082,42669001,42669142,42669036,42669216,42669239,42669180
42669109,42669083,42669041,42669103,42669030,42668979,42669019,42669119,42669002,42669320
42669109,42669104,42669107,42669133,42669105,42669209,42669267,42669156,42669002,42669149
42669104,42669083,42668998,42669169,42669001,42668979,42669140,42669131,42669320,42669002
