P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42669109,Jose Soriano,8200,18.04,42669083,Michael Soroka,7900,14.90,42669262,Edgar Quero,2100,6.34,42669169,Munetaka Murakami,4200,9.16,42669001,Ketel Marte,5100,9.70,42669209,Miguel Vargas,3600,8.80,42669267,Colson Montgomery,4100,7.79,42668978,Mike Trout,5700,9.79,42669245,Tyler Soderstrom,4800,8.26,42669047,Andrew Benintendi,2700,7.71,100.49,48400,19.0,1.8957e+1
42669109,Jose Soriano,8200,18.04,42668992,Jacob deGrom,9200,21.14,42669262,Edgar Quero,2100,6.34,42669133,Vladimir Guerrero Jr.,5300,9.04,42669156,Davis Schneider,2600,6.98,42669071,Kazuma Okamoto,4200,6.72,42669267,Colson Montgomery,4100,7.79,42668978,Mike Trout,5700,9.79,42669149,Daulton Varsho,4000,8.32,42669075,Jesus Sanchez,3400,7.38,101.54,48800,19.7,1.9706e+1
42669109,Jose Soriano,8200,18.04,42668992,Jacob deGrom,9200,21.14,42669262,Edgar Quero,2100,6.34,42669133,Vladimir Guerrero Jr.,5300,9.04,42669156,Davis Schneider,2600,6.98,42669071,Kazuma Okamoto,4200,6.72,42669019,Corey Seager,5200,7.28,42668978,Mike Trout,5700,9.79,42669210,Everson Pereira,2300,8.01,42669075,Jesus Sanchez,3400,7.38,100.72,48200,18.3,1.8301e+1
42669109,Jose Soriano,8200,18.04,42669083,Michael Soroka,7900,14.90,42669107,Cal Raleigh,5100,6.57,42669169,Munetaka Murakami,4200,9.16,42669001,Ketel Marte,5100,9.70,42669209,Miguel Vargas,3600,8.80,42669298,Zach Neto,5400,9.32,42669245,Tyler Soderstrom,4800,8.26,42669210,Everson Pereira,2300,8.01,42669047,Andrew Benintendi,2700,7.71,100.47,49300,19.0,1.8962e+1
42669109,Jose Soriano,8200,18.04,42669083,Michael Soroka,7900,14.90,42669262,Edgar Quero,2100,6.34,42669169,Munetaka Murakami,4200,9.16,42669337,Sam Antonacci,2000,7.20,42669209,Miguel Vargas,3600,8.80,42669267,Colson Montgomery,4100,7.79,42669147,Jo Adell,4300,8.64,42668978,Mike Trout,5700,9.79,42669216,Corbin Carroll,6100,9.62,100.28,48200,18.0,1.8030e+1
42669109,Jose Soriano,8200,18.04,42668992,Jacob deGrom,9200,21.14,42669262,Edgar Quero,2100,6.34,42669133,Vladimir Guerrero Jr.,5300,9.04,42669156,Davis Schneider,2600,6.98,42669071,Kazuma Okamoto,4200,6.72,42669019,Corey Seager,5200,7.28,42669047,Andrew Benintendi,2700,7.71,42669216,Corbin Carroll,6100,9.62,42669149,Daulton Varsho,4000,8.32,101.19,49600,18.5,1.8513e+1
42669109,Jose Soriano,8200,18.04,42669145,Logan Gilbert,9500,23.70,42669107,Cal Raleigh,5100,6.57,42669133,Vladimir Guerrero Jr.,5300,9.04,42669001,Ketel Marte,5100,9.70,42669071,Kazuma Okamoto,4200,6.72,42669111,Andres Gimenez,3000,7.18,42669075,Jesus Sanchez,3400,7.38,42669164,Jorge Barrosa,2300,5.55,42669156,Davis Schneider,2600,6.98,100.86,48700,19.9,1.9935e+1
42669109,Jose Soriano,8200,18.04,42668992,Jacob deGrom,9200,21.14,42669262,Edgar Quero,2100,6.34,42669133,Vladimir Guerrero Jr.,5300,9.04,42669156,Davis Schneider,2600,6.98,42669105,Ernie Clement,2900,6.10,42669298,Zach Neto,5400,9.32,42668978,Mike Trout,5700,9.79,42669075,Jesus Sanchez,3400,7.38,42669320,Wyatt Langford,4100,7.19,101.32,48900,19.3,1.9334e+1
42669109,Jose Soriano,8200,18.04,42669083,Michael Soroka,7900,14.90,42669262,Edgar Quero,2100,6.34,42669169,Munetaka Murakami,4200,9.16,42669001,Ketel Marte,5100,9.70,42669209,Miguel Vargas,3600,8.80,42669298,Zach Neto,5400,9.32,42669192,Lawrence Butler,3600,7.41,42669216,Corbin Carroll,6100,9.62,42669047,Andrew Benintendi,2700,7.71,101.00,48900,19.6,1.9646e+1
42669109,Jose Soriano,8200,18.04,42668992,Jacob deGrom,9200,21.14,42668998,James McCann,2500,6.15,42669133,Vladimir Guerrero Jr.,5300,9.04,42669309,Chase Meidroth,3100,6.28,42669071,Kazuma Okamoto,4200,6.72,42669111,Andres Gimenez,3000,7.18,42669047,Andrew Benintendi,2700,7.71,42669216,Corbin Carroll,6100,9.62,42669149,Daulton Varsho,4000,8.32,100.20,48300,19.3,1.9254e+1
