P,P,C,1B,2B,3B,SS,OF,OF,OF
42664896,42664898,42665047,42664927,42664923,42665112,42665020,42665216,42664916,42664973
42664895,42664898,42665196,42664945,42664933,42665209,42664949,42665152,42664916,42664928
42664895,42664898,42665014,42664993,42664933,42665046,42665070,42664962,42664916,42665142
42664894,42664898,42665047,42664993,42664923,42665112,42665083,42665152,42664921,42664917
42664894,42664898,42665014,42665042,42664954,42665046,42664918,42665142,42665103,42664915
42664896,42664899,42665196,42664924,42664933,42665209,42664982,42664915,42664943,42665122
42664896,42664899,42664988,42664993,42664923,42665112,42664982,42664914,42665015,42665155
42664894,42664898,42665014,42664961,42664954,42665209,42665070,42664916,42665103,42664921
42664898,42664901,42664920,42664975,42665073,42665028,42665147,42664915,42664921,42665122
42664895,42664898,42665047,42664945,42664923,42665112,42664949,42665034,42665216,42664916
42664896,42664899,42664920,42664975,42665031,42664989,42665147,42664916,42664943,42665155
42664898,42664901,42664920,42664927,42665073,42665028,42664982,42664914,42665155,42665122
42664895,42664898,42665047,42664993,42664923,42664946,42664918,42665034,42665216,42665023
42664900,42664898,42665014,42664975,42664935,42665028,42664982,42664947,42664921,42665155
42664896,42664899,42664920,42664927,42665031,42665209,42665013,42664928,42664943,42665155
42664894,42664898,42664939,42665047,42664923,42665112,42665083,42665216,42664916,42664947
42664895,42664898,42664939,42664993,42664923,42665112,42664949,42665216,42665123,42664916
42664895,42664898,42664995,42664993,42664987,42665061,42665121,42664976,42664947,42664917
42664894,42664898,42665014,42664929,42665100,42665046,42665070,42664962,42664921,42664991
42664896,42664899,42665196,42664924,42664930,42665209,42664982,42664932,42664915,42665147
42664894,42664898,42665014,42664961,42664954,42664977,42665070,42665103,42664915,42665041
42664898,42664904,42665196,42664975,42665209,42665028,42664982,42664914,42664915,42664932
42664899,42664898,42665196,42664975,42665026,42665028,42664982,42664914,42664915,42665122
42664896,42664898,42664939,42664924,42664923,42665112,42665147,42665015,42665216,42664915
42664899,42664895,42665137,42665042,42664935,42664977,42665083,42664915,42665192,42664917
42664896,42664898,42664920,42664924,42665031,42664977,42665083,42664928,42665168,42665024
42664896,42664898,42664920,42664927,42665044,42665028,42665013,42664976,42665155,42664943
42664895,42664898,42665047,42664993,42664923,42665112,42664982,42665216,42664962,42664916
42664896,42664899,42665014,42664924,42665026,42664940,42665057,42665015,42665216,42664915
42664895,42664898,42665196,42664945,42664933,42664949,42664982,42664916,42665155,42665041
42664895,42664898,42665137,42664922,42665156,42664977,42665083,42664914,42664955,42664991
42664896,42664898,42664939,42665047,42664923,42665061,42665020,42664914,42665015,42665192
42664894,42664898,42665014,42664929,42665156,42664977,42665083,42664962,42664915,42665041
42664894,42664898,42665047,42664929,42664923,42665112,42664919,42665216,42665034,42664991
42664899,42664894,42665130,42664924,42665209,42664940,42665070,42665103,42664915,42664928
42664899,42664895,42665137,42664924,42665209,42664940,42665057,42664916,42664915,42665192
42664894,42664898,42664965,42665156,42664935,42664977,42665083,42664915,42664991,42665041
42664895,42664898,42665159,42664993,42665026,42664940,42665083,42664928,42664915,42665041
42664894,42664898,42664920,42664929,42665031,42665209,42665013,42664991,42664943,42665041
42664898,42664901,42664942,42664924,42665005,42665209,42665057,42665152,42664915,42664928
42664900,42664895,42665047,42664924,42665026,42664940,42665083,42665216,42664928,42664932
42664900,42664895,42665196,42664975,42665026,42664940,42665057,42664915,42664928,42665122
42664895,42664894,42665137,42664945,42664935,42664940,42664978,42664916,42665158,42665192
42664895,42664898,42665159,42664924,42665156,42664977,42665083,42664928,42664915,42665041
42664894,42664898,42664988,42664975,42664944,42665028,42664982,42664915,42665147,42665122
42664896,42664895,42664920,42664927,42665073,42664989,42664982,42664947,42665155,42665122
42664899,42664894,42665047,42664924,42664923,42665112,42665057,42665216,42664932,42664928
42664896,42664895,42665014,42664927,42664954,42664940,42665057,42665103,42665142,42664928
42664896,42664906,42665196,42664912,42665209,42664940,42664982,42664915,42664932,42665155
42664895,42664898,42665071,42664924,42665311,42664940,42665057,42665050,42664928,42664932
42664894,42664898,42665014,42664912,42665026,42665046,42665070,42665142,42665103,42664915
42664896,42664898,42665047,42664912,42665026,42665139,42665057,42665216,42664932,42664915
42664900,42664895,42665130,42665047,42665026,42664940,42665070,42665216,42664915,42664912
42664899,42664898,42665137,42664924,42665128,42664940,42665057,42664912,42664928,42665192
42664899,42664895,42665081,42664924,42665128,42665094,42665057,42664983,42664928,42664915
42664895,42664901,42664920,42664927,42665031,42665028,42664982,42664915,42665155,42665168
42664896,42664895,42664988,42664975,42665209,42664940,42664982,42664928,42664936,42665122
42664896,42664895,42665159,42664924,42665026,42664940,42665057,42665152,42664915,42664991
42664895,42664894,42665196,42664975,42664930,42664958,42664982,42664960,42664959,42665122
42664898,42664901,42665196,42664924,42665057,42665209,42665147,42664915,42664912,42664932
42664900,42664895,42665025,42664924,42665026,42664940,42665147,42664932,42664928,42665155
42664896,42664899,42664942,42665000,42665209,42664940,42665057,42664915,42664928,42665168
42664895,42664898,42665196,42664924,42665057,42664940,42665147,42664932,42664928,42665024
42664911,42664898,42664942,42664924,42665209,42664940,42664982,42664928,42664915,42665155
42664900,42664894,42665196,42664912,42665209,42664952,42664982,42664914,42664976,42665155
42664894,42664898,42665196,42664975,42664923,42665028,42664982,42664932,42664928,42665122
42664896,42664895,42665196,42664924,42665026,42665209,42665057,42664928,42664915,42664986
42664895,42664894,42665137,42664945,42664933,42665028,42664949,42664916,42665155,42665122
42664896,42664895,42664920,42664975,42665031,42664989,42665013,42664943,42664991,42665128
42664896,42664901,42664942,42665163,42665057,42664940,42664982,42664932,42664915,42665155
42664899,42664895,42665047,42664993,42664923,42665112,42665184,42665216,42664912,42664915
42664896,42664906,42665196,42664912,42665057,42665209,42665147,42664932,42664928,42664915
42664900,42664898,42664942,42664924,42665040,42665209,42665057,42664915,42664928,42665155
42664896,42664906,42664988,42664975,42665209,42665028,42664982,42664912,42664915,42665122
42664895,42664894,42665137,42664922,42665128,42664977,42665083,42664973,42664991,42664917
42664896,42664901,42665196,42664912,42665057,42664940,42665121,42664932,42664928,42665155
42664896,42664895,42665047,42664924,42664923,42664940,42665057,42665216,42664928,42665158
42664896,42664893,42664939,42665047,42665209,42665020,42665057,42665216,42664916,42664915
42664900,42664898,42665196,42664912,42665026,42665028,42665057,42664915,42664928,42665155
42664896,42664911,42665047,42664924,42665026,42664940,42665020,42665216,42664912,42664928
42664895,42664894,42664939,42665125,42664923,42665112,42665004,42665216,42664941,42664928
42664896,42664900,42665196,42664912,42665209,42665028,42664982,42664915,42664932,42665122
42664896,42664895,42664920,42665156,42665128,42665100,42665083,42664932,42664915,42664991
42664896,42664894,42664920,42664975,42665031,42665028,42664982,42665063,42664938,42665122
42664896,42664893,42664988,42664924,42665026,42664940,42665057,42665152,42664928,42665115
42664894,42664893,42664939,42665047,42664923,42665046,42665070,42665216,42665063,42664915
42664894,42664898,42665159,42665156,42665100,42664977,42664949,42664915,42664912,42665128
42664896,42664895,42665196,42664924,42665026,42664940,42664982,42664932,42664943,42665155
42664896,42664899,42664939,42664993,42665026,42664940,42665057,42664912,42665155,42665122
42664896,42664899,42664942,42664924,42665209,42664940,42665057,42665063,42665123,42664915
42664893,42664901,42665196,42664924,42665209,42664940,42664982,42664915,42664932,42665147
42664895,42664894,42665081,42664929,42665156,42665100,42664926,42664921,42664973,42665041
42664895,42664894,42665130,42664961,42665026,42664940,42665070,42665103,42664932,42664928
42664895,42664894,42665137,42664969,42665156,42664977,42665083,42664928,42664917,42664991
42664898,42664901,42665014,42664922,42664944,42665046,42665070,42664962,42665142,42664916
42664896,42664898,42665047,42664993,42664933,42665112,42664919,42665034,42665216,42664916
42664906,42664898,42665130,42664924,42664954,42665046,42665070,42665142,42664916,42664915
42664898,42664892,42665196,42664975,42664933,42665028,42664982,42664914,42664976,42665155
42664899,42664895,42665047,42664924,42665209,42664940,42665057,42665216,42664915,42664928
42664896,42664895,42665196,42664927,42665073,42664940,42664926,42664915,42665122,42665155
42664896,42664895,42664920,42664927,42665209,42664989,42664982,42664915,42665155,42665147
42664896,42664894,42665196,42664975,42665209,42664940,42664919,42664932,42664928,42665155
42664896,42664895,42665196,42664927,42665209,42665028,42664982,42664916,42664915,42665155
42664895,42664898,42665196,42664924,42665026,42665209,42665147,42664915,42664928,42664932
42664896,42664895,42665196,42664975,42664933,42665028,42665147,42664916,42664915,42665155
42664896,42664895,42665196,42664927,42665073,42665028,42664982,42664914,42664947,42665122
42664895,42664894,42665047,42664993,42664923,42665209,42665020,42665216,42664915,42664928
42664899,42664898,42664942,42664975,42665209,42664940,42665057,42664915,42664932,42665155
42664899,42664898,42664920,42664912,42665209,42665028,42664982,42664915,42665147,42665155
42664896,42664895,42665196,42664975,42664930,42665028,42664982,42664914,42665122,42665024
42664896,42664895,42664988,42664975,42665073,42665028,42664982,42664914,42665006,42665122
42664898,42664893,42665014,42664927,42665209,42665028,42664982,42664943,42665155,42664917
42664899,42664898,42664942,42664924,42664981,42665209,42665147,42664928,42664915,42665155
42664895,42664894,42665196,42664975,42665073,42664940,42665147,42664915,42665122,42664917
42664896,42664895,42664995,42664975,42664987,42665028,42664982,42665006,42664914,42665147
42664896,42664898,42664920,42664912,42665073,42665028,42664982,42664943,42665147,42665155
42664896,42664898,42665196,42664975,42665026,42664940,42665057,42664932,42664912,42665155
42664896,42664898,42665047,42664912,42665040,42665028,42664982,42664915,42665122,42665155
42664899,42664901,42665047,42664993,42664923,42665112,42664926,42665216,42664915,42664973
42664900,42664898,42665047,42664993,42664923,42665061,42665020,42665216,42664915,42664928
42664898,42664901,42665130,42664924,42665026,42664940,42665070,42664962,42665142,42664915
42664894,42664898,42664965,42664922,42665005,42664952,42664926,42665006,42665152,42665140
42664896,42664900,42665137,42665047,42664935,42665020,42664978,42664916,42664917,42665192
42664898,42664901,42665014,42664961,42664954,42665061,42665070,42665103,42664928,42664915
42664896,42664898,42664920,42664927,42665156,42664977,42665013,42665041,42664943,42665051
42664899,42664898,42664995,42664924,42664987,42664940,42665121,42664947,42665169,42664928
42664899,42664901,42664939,42665047,42664923,42665112,42665057,42665216,42664915,42664928
42664896,42664900,42664939,42665047,42664923,42665112,42665083,42665216,42664928,42664915
42664896,42664898,42665047,42664945,42664923,42665020,42665013,42665015,42665216,42664916
42664895,42664898,42665014,42664961,42664933,42664949,42665184,42665152,42665023,42664916
42664898,42664901,42665025,42664985,42665026,42664940,42665057,42664932,42664915,42665155
42664898,42664901,42665014,42664924,42665311,42664940,42665057,42665142,42664928,42664915
42664911,42664898,42664995,42665156,42664987,42664940,42665057,42664932,42664928,42664915
42664894,42664898,42664939,42665059,42665311,42664952,42665096,42664914,42665152,42664917
42664896,42664898,42665056,42664927,42664933,42664989,42665013,42664991,42664943,42665128
42664895,42664898,42664965,42665059,42665005,42664952,42665105,42665152,42664915,42664932
42664896,42664895,42664965,42665059,42664987,42664952,42664934,42665152,42665140,42664915
42664896,42664911,42665014,42664961,42664954,42664940,42665070,42665103,42664932,42664915
42664896,42664901,42664920,42664927,42665031,42665209,42664919,42664943,42665155,42665024
42665448,42664901,42664920,42664927,42665031,42665209,42664926,42664914,42665155,42665024
42664896,42664901,42665081,42664983,42665012,42664940,42665057,42665007,42664932,42664928
42664896,42664901,42664920,42664975,42665073,42664989,42664919,42665122,42665147,42664943
42665705,42664892,42664942,42664924,42665209,42665028,42664982,42664915,42664912,42665147
42664907,42664892,42664942,42664924,42665026,42665028,42665057,42664912,42665122,42665147
42664896,42664901,42665014,42664945,42664933,42664949,42665184,42665216,42664916,42664947
42664896,42664901,42665047,42665059,42665005,42665009,42664952,42664914,42665140,42664925
42664896,42664899,42665014,42664945,42664933,42665046,42665070,42664962,42664916,42665168
42664896,42664901,42664920,42664945,42664933,42665209,42664949,42665216,42664916,42665123
42664896,42664901,42665047,42665059,42665005,42664952,42665004,42665140,42664925,42664915
42664899,42664901,42664980,42664985,42665031,42664946,42664918,42665141,42664914,42665216
42664900,42664892,42665071,42665000,42664987,42664977,42665083,42665050,42664947,42664921
42664898,42664892,42665196,42664975,42664923,42665046,42664926,42664916,42665122,42665155
42664898,42664892,42665014,42664964,42664954,42665124,42665070,42664941,42664925,42665063
42664898,42664892,42665025,42664985,42664923,42664946,42664918,42665153,42665216,42665015
42664898,42664892,42664942,42664951,42665073,42665209,42664919,42664912,42665147,42665155
42664901,42664892,42665025,42664945,42665073,42665028,42665147,42664916,42664917,42665155
42664894,42664892,42665159,42664929,42665156,42665100,42664949,42664916,42665023,42664991
42664896,42664892,42665137,42665042,42665017,42665064,42665057,42664912,42664915,42665158
42664901,42664892,42665196,42664912,42665073,42665028,42665147,42664914,42664955,42665122
42664898,42664892,42665047,42664945,42664933,42664949,42665184,42665034,42665216,42664916
42664895,42664892,42664965,42664912,42665005,42664952,42664966,42665141,42665140,42665152
42664896,42664892,42664942,42664993,42664923,42664989,42665013,42665155,42664943,42665168
42664894,42664892,42665159,42665156,42665209,42664963,42665083,42664916,42664912,42664991
42664895,42664892,42664965,42664924,42665005,42664952,42665083,42665152,42665140,42664932
42664892,42664901,42665137,42664922,42664935,42665169,42664978,42664947,42665192,42664917
42664898,42664892,42665130,42664922,42664981,42665044,42665070,42665006,42664914,42665142
42664895,42664892,42664980,42664985,42664954,42664946,42664918,42665141,42665216,42665034
42664906,42664892,42665093,42664945,42664933,42664977,42665083,42665023,42665123,42664916
42664892,42664904,42665093,42664945,42664933,42665061,42664949,42665023,42664916,42665192
42664894,42664892,42665137,42664927,42664935,42665028,42665083,42665192,42665041,42664917
42664894,42664892,42665196,42664927,42665031,42664989,42665013,42664914,42665155,42665024
42664895,42664892,42664939,42665030,42665067,42664958,42664994,42665216,42665015,42664930
42664892,42664901,42664942,42664912,42665026,42665112,42665147,42665216,42665034,42664915
42664899,42664893,42664942,42664924,42665044,42665209,42665147,42664912,42664932,42665155
42665448,42664892,42664995,42665000,42664987,42664977,42665083,42665050,42664947,42664921
42664906,42664892,42665137,42664924,42665017,42665061,42664926,42664932,42664921,42665192
42664894,42664893,42665047,42664929,42664923,42665100,42664926,42665034,42665216,42664991
42664895,42664892,42665196,42664929,42664930,42664958,42664994,42664959,42665115,42665122
42664892,42664901,42665196,42664945,42664933,42664958,42664982,42665123,42664916,42665155
