P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42664896,Cam Schlittler,8500,18.05,42664898,Jose Soriano,8200,18.03,42665047,Gary Sanchez,3300,7.90,42664927,Nick Kurtz,5400,9.26,42664923,Brice Turang,5500,8.88,42665112,Luis Rengifo,2800,6.26,42665020,David Hamilton,3700,6.98,42665216,Greg Jones,2000,6.59,42664916,Yordan Alvarez,6300,10.29,42664973,Jo Adell,4300,8.67,100.91,50000,8.6,8.6360e+0
42664895,Joe Ryan,8700,20.78,42664898,Jose Soriano,8200,18.03,42665196,Edgar Quero,2100,6.33,42664945,Christian Walker,4800,7.52,42664933,Jose Altuve,5200,7.79,42665209,Sam Antonacci,2000,7.19,42664949,Carlos Correa,4700,7.02,42665152,Jahmai Jones,2400,5.44,42664916,Yordan Alvarez,6300,10.29,42664928,Teoscar Hernandez,5400,9.88,100.27,49800,9.8,9.7980e+0
42664895,Joe Ryan,8700,20.78,42664898,Jose Soriano,8200,18.03,42665014,Ivan Herrera,3700,8.72,42664993,Jake Bauers,4000,8.04,42664933,Jose Altuve,5200,7.79,42665046,Nolan Gorman,3300,6.78,42665070,Masyn Winn,3200,6.62,42664962,Jordan Walker,4500,8.72,42664916,Yordan Alvarez,6300,10.29,42665142,Nathan Church,2500,5.96,101.73,49600,8.6,8.6090e+0
42664894,Tyler Glasnow,8900,19.00,42664898,Jose Soriano,8200,18.03,42665047,Gary Sanchez,3300,7.90,42664993,Jake Bauers,4000,8.04,42664923,Brice Turang,5500,8.88,42665112,Luis Rengifo,2800,6.26,42665083,Andres Gimenez,3000,7.18,42665152,Jahmai Jones,2400,5.44,42664921,Mike Trout,5700,9.80,42664917,Corbin Carroll,6100,9.62,100.15,49900,10.6,1.0576e+1
42664894,Tyler Glasnow,8900,19.00,42664898,Jose Soriano,8200,18.03,42665014,Ivan Herrera,3700,8.72,42665042,Jose Fernandez,3400,7.13,42664954,JJ Wetherholt,4600,8.14,42665046,Nolan Gorman,3300,6.78,42664918,Bobby Witt Jr.,6000,9.30,42665142,Nathan Church,2500,5.96,42665103,Victor Scott II,2900,5.92,42664915,Kyle Tucker,6400,11.07,100.05,49900,9.5,9.4730e+0
42664896,Cam Schlittler,8500,18.05,42664899,Ranger Suarez,8100,16.19,42665196,Edgar Quero,2100,6.33,42664924,Freddie Freeman,5500,10.30,42664933,Jose Altuve,5200,7.79,42665209,Sam Antonacci,2000,7.19,42664982,Colson Montgomery,4100,7.77,42664915,Kyle Tucker,6400,11.07,42664943,Tyler Soderstrom,4800,8.24,42665122,Andrew Benintendi,2700,7.71,100.64,49400,10.7,1.0699e+1
42664896,Cam Schlittler,8500,18.05,42664899,Ranger Suarez,8100,16.19,42664988,Agustin Ramirez,4100,7.49,42664993,Jake Bauers,4000,8.04,42664923,Brice Turang,5500,8.88,42665112,Luis Rengifo,2800,6.26,42664982,Colson Montgomery,4100,7.77,42664914,Aaron Judge,6600,11.99,42665015,Sal Frelick,3700,7.43,42665155,Everson Pereira,2300,8.01,100.11,49700,9.0,8.9810e+0
42664894,Tyler Glasnow,8900,19.00,42664898,Jose Soriano,8200,18.03,42665014,Ivan Herrera,3700,8.72,42664961,Alec Burleson,4500,8.63,42664954,JJ Wetherholt,4600,8.14,42665209,Sam Antonacci,2000,7.19,42665070,Masyn Winn,3200,6.62,42664916,Yordan Alvarez,6300,10.29,42665103,Victor Scott II,2900,5.92,42664921,Mike Trout,5700,9.80,102.34,50000,9.3,9.2840e+0
42664898,Jose Soriano,8200,18.03,42664901,Michael Soroka,7900,14.90,42664920,Shea Langeliers,5800,9.40,42664975,Munetaka Murakami,4200,9.13,42665073,Chase Meidroth,3100,6.28,42665028,Miguel Vargas,3600,8.78,42665147,Luisangel Acuna,2400,6.57,42664915,Kyle Tucker,6400,11.07,42664921,Mike Trout,5700,9.80,42665122,Andrew Benintendi,2700,7.71,101.67,50000,9.7,9.7270e+0
42664895,Joe Ryan,8700,20.78,42664898,Jose Soriano,8200,18.03,42665047,Gary Sanchez,3300,7.90,42664945,Christian Walker,4800,7.52,42664923,Brice Turang,5500,8.88,42665112,Luis Rengifo,2800,6.26,42664949,Carlos Correa,4700,7.02,42665034,Garrett Mitchell,3500,6.95,42665216,Greg Jones,2000,6.59,42664916,Yordan Alvarez,6300,10.29,100.22,49800,9.5,9.4680e+0
42664896,Cam Schlittler,8500,18.05,42664899,Ranger Suarez,8100,16.19,42664920,Shea Langeliers,5800,9.40,42664975,Munetaka Murakami,4200,9.13,42665031,Jeff McNeil,3500,7.54,42664989,Max Muncy,4100,7.24,42665147,Luisangel Acuna,2400,6.57,42664916,Yordan Alvarez,6300,10.29,42664943,Tyler Soderstrom,4800,8.24,42665155,Everson Pereira,2300,8.01,100.66,50000,8.9,8.9320e+0
42664898,Jose Soriano,8200,18.03,42664901,Michael Soroka,7900,14.90,42664920,Shea Langeliers,5800,9.40,42664927,Nick Kurtz,5400,9.26,42665073,Chase Meidroth,3100,6.28,42665028,Miguel Vargas,3600,8.78,42664982,Colson Montgomery,4100,7.77,42664914,Aaron Judge,6600,11.99,42665155,Everson Pereira,2300,8.01,42665122,Andrew Benintendi,2700,7.71,102.13,49700,9.8,9.8070e+0
42664895,Joe Ryan,8700,20.78,42664898,Jose Soriano,8200,18.03,42665047,Gary Sanchez,3300,7.90,42664993,Jake Bauers,4000,8.04,42664923,Brice Turang,5500,8.88,42664946,Maikel Garcia,4800,7.47,42664918,Bobby Witt Jr.,6000,9.30,42665034,Garrett Mitchell,3500,6.95,42665216,Greg Jones,2000,6.59,42665023,Joey Loperfido,3600,6.59,100.53,49600,8.5,8.5450e+0
42664900,Casey Mize,8000,12.96,42664898,Jose Soriano,8200,18.03,42665014,Ivan Herrera,3700,8.72,42664975,Munetaka Murakami,4200,9.13,42664935,Ketel Marte,5100,9.70,42665028,Miguel Vargas,3600,8.78,42664982,Colson Montgomery,4100,7.77,42664947,Byron Buxton,4700,8.66,42664921,Mike Trout,5700,9.80,42665155,Everson Pereira,2300,8.01,101.56,49600,9.3,9.3480e+0
