PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42691744,Nickeil Alexander-Walker,6800,35.66,42691656,CJ McCollum,5900,32.52,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691864,Dyson Daniels,6200,33.00,42691682,Rudy Gobert,6000,35.10,266.89,49700,35.8,3.5799e+1
42691744,Nickeil Alexander-Walker,6800,35.66,42691656,CJ McCollum,5900,32.52,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691660,Tim Hardaway Jr.,4000,16.36,42691705,Cameron Johnson,4700,23.88,42691696,Nikola Jokic,12400,66.65,260.26,50000,30.5,3.0481e+1
42691656,CJ McCollum,5900,32.52,42691780,Anthony Edwards,8400,47.03,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691689,Aaron Gordon,5600,30.30,42691773,Christian Braun,4600,23.86,267.02,49900,35.9,3.5895e+1
42691656,CJ McCollum,5900,32.52,42691744,Nickeil Alexander-Walker,6800,35.66,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691696,Nikola Jokic,12400,66.65,42691660,Tim Hardaway Jr.,4000,16.36,42691689,Aaron Gordon,5600,30.30,42691773,Christian Braun,4600,23.86,261.01,50000,31.3,3.1282e+1
42691744,Nickeil Alexander-Walker,6800,35.66,42691656,CJ McCollum,5900,32.52,42691835,Jonathan Kuminga,4500,22.66,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691732,Bruce Brown,3900,16.69,42691705,Cameron Johnson,4700,23.88,42691696,Nikola Jokic,12400,66.65,260.59,49900,30.6,3.0607e+1
42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691709,Mikal Bridges,5200,25.64,42691689,Aaron Gordon,5600,30.30,42691798,Onyeka Okongwu,6100,32.23,42691773,Christian Braun,4600,23.86,42691705,Cameron Johnson,4700,23.88,42691696,Nikola Jokic,12400,66.65,266.84,50000,35.0,3.4965e+1
42691656,CJ McCollum,5900,32.52,42691744,Nickeil Alexander-Walker,6800,35.66,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691798,Onyeka Okongwu,6100,32.23,42691780,Anthony Edwards,8400,47.03,42691693,Julius Randle,7200,36.44,42691766,Naz Reid,4900,23.18,262.72,50000,31.7,3.1683e+1
42691656,CJ McCollum,5900,32.52,42691684,Josh Hart,5500,31.76,42691864,Dyson Daniels,6200,33.00,42691835,Jonathan Kuminga,4500,22.66,42691798,Onyeka Okongwu,6100,32.23,42691723,Jamal Murray,8600,45.42,42691693,Julius Randle,7200,36.44,42691682,Rudy Gobert,6000,35.10,269.13,50000,36.2,3.6161e+1
42691656,CJ McCollum,5900,32.52,42691780,Anthony Edwards,8400,47.03,42691864,Dyson Daniels,6200,33.00,42691693,Julius Randle,7200,36.44,42691798,Onyeka Okongwu,6100,32.23,42691773,Christian Braun,4600,23.86,42691689,Aaron Gordon,5600,30.30,42691682,Rudy Gobert,6000,35.10,270.48,50000,36.0,3.6006e+1
42691656,CJ McCollum,5900,32.52,42691732,Bruce Brown,3900,16.69,42691864,Dyson Daniels,6200,33.00,42691705,Cameron Johnson,4700,23.88,42691798,Onyeka Okongwu,6100,32.23,42691773,Christian Braun,4600,23.86,42691689,Aaron Gordon,5600,30.30,42691696,Nikola Jokic,12400,66.65,259.13,49400,31.3,3.1339e+1
