k,metric,V1_amp,mean_indiv_pro_amp,pro_avg_pooled_amp
3,pct_5stack,0.0738305157548481,0.057855320289813494,0.02857873535773243
3,pct_4stack,0.07383051575484813,0.040543695079870865,0.01333708088381302
3,pct_3_3stack,0.0,0.007857773926122821,0.006107567582558247
3,pct_other_stack,0.0,0.012517942152826467,0.010138027202638742
3,bring_back_rate,0.03099998518913121,0.03540654796773902,0.025064273561235934
3,pct_HP_HO,0.04247010568085758,0.059572736030681535,0.00659004160053116
3,pct_HP_LO,0.01633465603109906,0.013432368732392846,0.001893518373390785
3,pct_LP_HO,0.007084002651176901,0.01991782347172778,0.0024777903976503667
3,pct_LP_LO,0.050539326248004966,0.057722981812479195,0.0034582460696923984
3,mean_pairwise_jaccard,0.008549530911541394,0.01810530630299903,0.008351632661606719
3,salary_total_mean,182.46947468946735,83.5610619724138,89.50289730057754
3,salary_std_mean,42.491564301087685,51.50602600002732,42.75681256007077
3,own_mean,1.8423445480777072,1.9440272869298192,1.8649150507915937
3,own_std,0.2723832810311976,0.2769802736816559,0.2563836115422339
4,pct_5stack,0.09493179974269694,0.07955470365098213,0.052784312166656105
4,pct_4stack,0.09493179974269694,0.050388603691914446,0.025849532279073426
4,pct_3_3stack,0.0,0.016451415689124317,0.010509037255438634
4,pct_other_stack,0.0,0.02230769818438554,0.0169896116987984
4,bring_back_rate,0.039564989950106974,0.04584811221342668,0.03297892880017187
4,pct_HP_HO,0.04850057273430447,0.06722131694060753,0.006194519496818433
4,pct_HP_LO,0.030765691569957888,0.01593274612873129,0.0064130293101199035
4,pct_LP_HO,0.0065828116983654514,0.022422870638261955,0.0067352585644143625
4,pct_LP_LO,0.04458903334570757,0.06465452079723119,0.010742857703622447
4,mean_pairwise_jaccard,0.01185659287824757,0.022416103840847214,0.015500056070860309
4,salary_total_mean,174.22232323448995,224.06324397264325,93.31632988421718
4,salary_std_mean,68.46189945927588,88.68628724061236,76.5315114707618
4,own_mean,2.6086676401621958,2.697260927735848,2.579277255906823
4,own_std,0.46398504443832317,0.5041284845681403,0.48079929940838134
5,pct_5stack,0.08857958532036668,0.08270999210798989,0.04757244922784786
5,pct_4stack,0.0885795853203667,0.0557392406818469,0.02315043038036375
5,pct_3_3stack,0.0,0.01679158135633846,0.009568184688006732
5,pct_other_stack,0.0,0.02159922056389878,0.0157022520586854
5,bring_back_rate,0.03908140285842764,0.051540634430407184,0.03587124794728786
5,pct_HP_HO,0.04811626066587462,0.07462315593857691,0.005705225555018467
5,pct_HP_LO,0.03995498152542238,0.016829031055024726,0.00611965212405319
5,pct_LP_HO,0.007277467715570156,0.026654663811493926,0.006755535219894298
5,pct_LP_LO,0.04488853685230497,0.07105330640885908,0.009915780138648222
5,mean_pairwise_jaccard,0.011573948137531511,0.022863973283584783,0.014656927776700017
5,salary_total_mean,169.46904742008203,218.45507003079018,94.81231315798269
5,salary_std_mean,101.56681061944917,106.18302463971924,89.56907019070547
5,own_mean,2.374582473381408,2.6075686552885635,2.4131723061814014
5,own_std,0.6242799067494988,0.5925178125232284,0.5394563538604888
