P,P,C,1B,2B,3B,SS,OF,OF,OF
42672737,42672735,42672800,42672902,42672811,42672861,42672827,42672914,42672754,42672746
42672735,42672740,42672800,42672902,42672811,42672861,42672827,42672748,42672746,42672869
42672737,42672735,42672910,42672760,42672914,42672872,42672835,42672748,42672923,42672746
42672735,42672737,42672850,42672842,42672756,42672878,42672761,42672923,42672776,42672789
42672737,42672735,42672910,42672753,42672872,42672762,42672835,42672823,42672923,42672746
42672735,42672740,42672800,42672753,42672811,42672905,42672863,42672758,42672904,42672746
42672737,42672735,42672910,42672746,42672872,42672762,42672835,42672758,42672823,42672923
42672735,42672743,42672800,42672746,42672878,42672762,42672827,42672876,42672923,42672748
42672737,42672735,42672800,42672902,42672811,42672878,42672827,42672754,42672746,42672861
42672734,42672737,42672800,42672746,42672811,42672878,42672827,42672914,42672758,42672855
42672737,42672735,42672800,42672746,42672811,42672872,42672827,42672748,42672923,42672904
42672741,42673201,42672768,42672779,42672801,42672809,42672905,42672755,42672758,42672746
42673288,42672743,42672800,42672753,42672801,42672852,42672838,42672748,42672758,42672746
42672741,42672743,42672911,42672753,42672811,42672762,42672827,42672755,42672818,42672748
42672738,42672734,42672867,42672854,42672756,42672885,42672905,42672765,42672783,42672776
42672734,42672739,42672850,42672902,42672756,42672778,42672797,42672765,42672799,42672869
42672738,42673263,42672800,42672746,42672811,42672762,42672883,42672847,42672755,42672754
42672739,42672740,42672881,42672842,42672756,42672778,42672761,42672776,42672869,42672789
42672740,42672743,42672867,42672771,42672766,42672774,42672759,42672876,42672749,42672799
42672735,42672739,42672770,42672817,42672756,42672861,42672835,42672869,42672776,42672788
42672734,42672741,42672881,42672902,42672756,42672778,42672797,42672847,42672751,42672789
42672737,42672745,42672768,42672902,42672801,42672778,42672909,42672755,42672756,42672776
42672741,42672743,42672800,42672771,42672805,42672837,42672784,42672807,42672758,42672748
42672734,42672740,42672850,42672785,42672878,42672826,42672759,42672855,42672788,42672752
42672744,42672736,42672808,42672781,42672777,42672778,42672838,42672782,42672807,42672756
42672738,42673286,42672910,42672753,42672872,42672762,42672863,42672748,42672758,42672746
42672734,42672735,42672808,42672781,42672777,42672846,42672863,42672891,42672914,42672772
42672736,42672735,42672910,42672760,42672801,42672793,42672835,42672893,42672748,42672923
42672738,42672734,42672850,42672771,42672766,42672786,42672835,42672749,42672876,42672904
42672738,42672734,42672850,42672830,42672813,42672826,42672761,42672876,42672752,42672855
42672735,42672737,42672808,42672830,42672777,42672793,42672838,42672782,42672891,42672934
42672736,42672741,42672800,42672785,42672811,42672762,42672827,42672893,42672799,42672748
42672734,42672736,42672808,42672813,42672763,42672822,42672838,42672782,42672891,42672874
42672736,42672737,42672910,42672760,42672766,42672793,42672835,42672876,42672749,42672904
42672738,42672740,42672857,42672813,42672763,42672774,42672792,42672794,42672874,42672751
42672740,42672742,42672832,42672771,42672763,42672774,42672905,42672749,42672876,42672751
42672734,42672737,42672808,42672830,42672813,42672852,42672792,42672782,42672772,42672874
42672738,42672741,42672770,42672842,42672756,42672878,42672797,42672789,42672869,42672752
42672734,42672737,42672808,42672813,42672914,42672852,42672792,42672782,42672874,42672746
42672737,42672741,42672800,42672753,42672811,42672905,42672784,42672780,42672754,42672807
42672737,42672743,42672808,42672779,42672766,42672786,42672774,42672749,42672914,42672807
42672744,42672735,42672800,42672813,42672763,42672872,42672784,42672934,42672874,42672746
42672738,42672739,42672800,42672854,42672811,42672861,42672883,42672748,42672758,42672754
42672744,42672741,42672800,42672753,42672763,42672762,42672905,42672758,42672754,42672861
42672734,42672740,42672815,42672760,42672872,42672793,42672827,42672894,42672923,42672746
42672741,42672743,42672808,42672753,42672878,42672762,42672827,42672754,42672746,42672870
42672734,42672742,42672808,42672781,42672777,42672762,42672838,42672914,42672923,42672748
42672744,42672735,42672800,42672753,42672811,42672778,42672827,42672748,42672874,42672861
42672736,42672735,42672800,42672753,42672872,42672793,42672835,42672758,42672894,42672904
42672734,42672739,42672910,42672746,42672872,42672762,42672835,42672758,42672823,42672923
42672734,42672741,42672850,42672842,42672878,42672778,42672797,42672754,42672861,42672756
42672735,42672737,42672800,42672760,42672763,42672793,42672792,42672904,42672894,42672934
42672744,42672734,42672910,42672902,42672763,42672778,42672797,42672874,42672751,42672776
42672734,42672740,42672808,42672902,42672766,42672774,42672909,42672914,42672749,42672754
42672739,42672740,42672800,42672753,42672878,42672778,42672909,42672754,42672748,42672861
42672735,42672734,42672808,42672902,42672777,42672822,42672838,42672776,42672861,42672788
42672736,42672740,42672910,42672760,42672756,42672778,42672835,42672904,42672776,42672788
42672740,42672742,42672800,42672746,42672872,42672793,42672835,42672748,42672923,42672754
42672735,42672739,42672910,42672760,42672756,42672861,42672835,42672823,42672788,42672776
42672735,42672740,42672770,42672746,42672827,42672885,42672863,42672821,42672780,42672845
42672734,42672740,42672881,42672902,42672756,42672786,42672774,42672772,42672788,42672869
42672738,42672743,42672850,42672817,42672805,42672837,42672784,42672748,42672746,42672807
42672737,42672743,42672773,42672817,42672786,42672837,42672761,42672749,42672807,42672818
42672737,42672734,42672881,42672902,42672756,42672837,42672784,42672807,42672788,42672776
42672735,42672743,42672800,42672817,42672811,42672837,42672784,42672790,42672748,42672807
42672740,42672743,42672808,42672781,42672889,42672816,42672838,42672782,42672750,42672746
42672735,42672740,42672808,42672781,42672777,42672885,42672759,42672876,42672765,42672799
42672734,42673201,42672881,42672753,42672756,42672905,42672797,42672754,42672746,42672869
42672735,42672743,42672808,42672854,42672763,42672875,42672759,42672914,42672783,42672748
42672736,42672735,42672773,42672785,42672878,42672885,42672759,42672799,42672855,42672861
42672736,42672740,42672800,42672854,42672811,42672875,42672827,42672765,42672783,42672748
42672744,42672743,42672800,42672746,42672827,42672875,42672759,42672765,42672885,42672748
42672736,42672743,42672800,42672817,42672827,42672837,42672784,42672748,42672754,42672818
42672735,42672743,42672850,42672785,42672870,42672885,42672761,42672765,42672799,42672752
42672744,42672736,42672800,42672817,42672827,42672837,42672784,42672754,42672746,42672818
