rank,tier,mode,stackPattern,bringBackRequired,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwn,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherSharesGameWithBringBack,playerNames,playerIds,playerTeams,playerOwn
1,nuts,nuts,5-1,true,5,1,SEA,STL,0,4,5,6,2212.3516899444357,23100,94.92999999999999,17.442726652385314,15.474780074910601,49500,false,true,Bryan Woo;Noah Schultz;Cal Raleigh;Josh Naylor;Cole Young;Junior Caminero;J.P. Crawford;Julio Rodriguez;Heriberto Hernandez;Byron Buxton,42748881;42748883;42748902;42748938;42749019;42748895;42749018;42748915;42749014;42748897,SEA;CWS;SEA;SEA;SEA;TB;SEA;SEA;MIA;MIN,39.52;20.06;26.53;11.38;7.35;23.84;14.79;24.72;7.18;23.68
2,nuts,nuts,5-2,true,5,2,CWS,WSH,1,4,5,6,2392.6763257908497,24500,97.19000000000001,17.225151174769188,14.128382311059413,49900,false,false,Bryan Woo;Robbie Ray;Ryan Jeffers;Munetaka Murakami;Nasim Nunez;Miguel Vargas;Colson Montgomery;Matt Wallner;Andrew Benintendi;Everson Pereira,42748881;42748879;42748923;42748900;42748955;42748919;42748910;42748991;42748963;42748956,SEA;SF;MIN;CWS;WSH;CWS;CWS;MIN;CWS;CWS,39.52;36.65;15.07;22.23;7.83;16.93;25.93;6.52;19.05;11.10
3,nuts,nuts,5-3,true,5,3,CWS,WSH,0,4,4,5,2431.4810301542557,24500,96.74,17.69727407274213,14.614084244715434,49300,false,false,Bryan Woo;Robbie Ray;Victor Caratini;Munetaka Murakami;Luke Keaschall;Miguel Vargas;Colson Montgomery;Everson Pereira;Andrew Benintendi;Matt Wallner,42748881;42748879;42748983;42748900;42748930;42748919;42748910;42748956;42748963;42748991,SEA;SF;MIN;CWS;MIN;CWS;CWS;CWS;CWS;MIN,39.52;36.65;10.16;22.23;15.22;16.93;25.93;11.10;19.05;6.52
4,nuts,nuts,5-1,true,5,1,CWS,WSH,1,5,6,6,2452.0195757783013,24500,95.87,14.887743934594804,11.774019443840722,49400,false,false,Bryan Woo;Robbie Ray;Edgar Quero;Munetaka Murakami;Nasim Nunez;Miguel Vargas;Colson Montgomery;Chase DeLauter;Matt Wallner;Andrew Benintendi,42748881;42748879;42749017;42748900;42748955;42748919;42748910;42748912;42748991;42748963,SEA;SF;CWS;CWS;WSH;CWS;CWS;CLE;MIN;CWS,39.52;36.65;6.54;22.23;7.83;16.93;25.93;5.95;6.52;19.05
5,nuts,nuts,5-1,true,5,1,CWS,WSH,0,4,5,6,2134.9707257946184,23200,96.41999999999999,15.039082857171133,12.978547072762233,49700,false,true,Robbie Ray;Noah Schultz;Ivan Herrera;Munetaka Murakami;Ernie Clement;Miguel Vargas;Colson Montgomery;Chase DeLauter;Sam Antonacci;Andrew Benintendi,42748879;42748883;42748916;42748900;42748974;42748919;42748910;42748912;42748988;42748963,SF;CWS;STL;CWS;TOR;CWS;CWS;CLE;CWS;CWS,36.65;20.06;5.00;22.23;13.68;16.93;25.93;5.95;10.64;19.05
6,nuts,nuts,5-2,true,5,2,CWS,WSH,0,3,4,6,2024.7468977627796,22700,95.27,15.837676445771727,13.71579071901005,48800,false,true,Bryan Woo;Noah Schultz;Agustin Ramirez;Munetaka Murakami;Luis Arraez;Matt Chapman;Colson Montgomery;Everson Pereira;Andrew Benintendi;Sam Antonacci,42748881;42748883;42748931;42748900;42748928;42748917;42748910;42748956;42748963;42748988,SEA;CWS;MIA;CWS;SF;SF;CWS;CWS;CWS;CWS,39.52;20.06;15.03;22.23;8.79;7.31;25.93;11.10;19.05;10.64
7,nuts,nuts,5-1,true,5,1,CWS,WSH,1,4,6,6,2487.4886934416404,24700,96.38,17.096686980763874,13.99679449144568,49800,false,false,Bryan Woo;Robbie Ray;Edgar Quero;Munetaka Murakami;Chase Meidroth;Curtis Mead;Colson Montgomery;Cedric Mullins;Byron Buxton;Andrew Benintendi,42748881;42748879;42749017;42748900;42748967;42748961;42748910;42748960;42748897;42748963,SEA;SF;CWS;CWS;CWS;WSH;CWS;TB;MIN;CWS,39.52;36.65;6.54;22.23;9.21;8.79;25.93;10.70;23.68;19.05
8,nuts,nuts,5-3,true,5,3,MIN,TB,0,4,4,5,1965.222633698279,21400,95.13,13.873201663353544,14.569112022646982,48300,false,false,Matthew Liberatore;Robbie Ray;Ryan Jeffers;Munetaka Murakami;Luke Keaschall;Royce Lewis;Colson Montgomery;Byron Buxton;Matt Wallner;Andrew Benintendi,42748889;42748879;42748923;42748900;42748930;42748979;42748910;42748897;42748991;42748963,STL;SF;MIN;CWS;MIN;MIN;CWS;MIN;MIN;CWS,3.55;36.65;15.07;22.23;15.22;5.22;25.93;23.68;6.52;19.05
9,nuts,nuts,5-3,true,5,3,MIN,TB,0,4,4,5,1875.7398540309368,21400,95.9,15.199872832055854,16.3309764149386,49600,false,false,Matthew Liberatore;Robbie Ray;Ryan Jeffers;Munetaka Murakami;Luke Keaschall;Miguel Vargas;Colson Montgomery;Byron Buxton;Austin Martin;Matt Wallner,42748889;42748879;42748923;42748900;42748930;42748919;42748910;42748897;42748951;42748991,STL;SF;MIN;CWS;MIN;CWS;CWS;MIN;MIN;MIN,3.55;36.65;15.07;22.23;15.22;16.93;25.93;23.68;14.64;6.52
10,nuts,nuts,5-2,true,5,2,CWS,WSH,0,4,4,6,2112.463017427761,22900,95.36,15.309966335679572,13.146928820839676,49500,false,true,Bryan Woo;Noah Schultz;Patrick Bailey;Munetaka Murakami;Luke Keaschall;Miguel Vargas;Colson Montgomery;Everson Pereira;Byron Buxton;Andrew Benintendi,42748881;42748883;42749058;42748900;42748930;42748919;42748910;42748956;42748897;42748963,SEA;CWS;SF;CWS;MIN;CWS;CWS;CWS;MIN;CWS,39.52;20.06;1.20;22.23;15.22;16.93;25.93;11.10;23.68;19.05
