P,P,C,1B,2B,3B,SS,OF,OF,OF
42748881,42748883,42748902,42748938,42749019,42748895,42749018,42748915,42749014,42748897
42748881,42748879,42748923,42748900,42748955,42748919,42748910,42748991,42748963,42748956
42748881,42748879,42748983,42748900,42748930,42748919,42748910,42748956,42748963,42748991
42748881,42748879,42749017,42748900,42748955,42748919,42748910,42748912,42748991,42748963
42748879,42748883,42748916,42748900,42748974,42748919,42748910,42748912,42748988,42748963
42748881,42748883,42748931,42748900,42748928,42748917,42748910,42748956,42748963,42748988
42748881,42748879,42749017,42748900,42748967,42748961,42748910,42748960,42748897,42748963
42748889,42748879,42748923,42748900,42748930,42748979,42748910,42748897,42748991,42748963
42748889,42748879,42748923,42748900,42748930,42748919,42748910,42748897,42748951,42748991
42748881,42748883,42749058,42748900,42748930,42748919,42748910,42748956,42748897,42748963
42748879,42748883,42749017,42748900,42748930,42748919,42748910,42748963,42748991,42748897
42748881,42748883,42748923,42749008,42749038,42748891,42749018,42748912,42748937,42748897
42748880,42748883,42749058,42748907,42748928,42748898,42748924,42748958,42749014,42748908
42748880,42748888,42748931,42748904,42748909,42748998,42749061,42748901,42748922,42748905
42748881,42748880,42748931,42749130,42748928,42748917,42748924,42748989,42748958,42748911
42748889,42748879,42748992,42748907,42748928,42748917,42748924,42748989,42748892,42748960
42748881,42748879,42749058,42748907,42749001,42748895,42748924,42749036,42748989,42748908
42748889,42748880,42748916,42748900,42748903,42748919,42748910,42748995,42748901,42749027
42748889,42748879,42749017,42748898,42748928,42748895,42749001,42748929,42748908,42748960
42748879,42748883,42749058,42748907,42748928,42748917,42748910,42748915,42749036,42748897
42748881,42748883,42748902,42749008,42748909,42748891,42748918,42749016,42748937,42749068
42748881,42748879,42749045,42749008,42748974,42748891,42748981,42748912,42748922,42748929
42748886,42748885,42748923,42748932,42748930,42748891,42749010,42748912,42748988,42748897
42748880,42748883,42748923,42748896,42748974,42748936,42748910,42749009,42748922,42748956
42748883,42748884,42748902,42748925,42748903,42748895,42749001,42748995,42748960,42748908
42748881,42748888,42748923,42749037,42748909,42748895,42748918,42748905,42749014,42748897
42748886,42748887,42748923,42748932,42748930,42748919,42748910,42748892,42748897,42748991
42748880,42748884,42749058,42749037,42748909,42748917,42748918,42748905,42749014,42748892
42748886,42748879,42748983,42748932,42748930,42748917,42748924,42748897,42748951,42748926
42748880,42748879,42748983,42748932,42748930,42748979,42748924,42748958,42748911,42748951
42748889,42748880,42749017,42748900,42748903,42748895,42748910,42748960,42748963,42748988
42748879,42748883,42748978,42748900,42748967,42748891,42748910,42748912,42749065,42748956
42748881,42748883,42748978,42748938,42749019,42748891,42749018,42748920,42748915,42748912
42748881,42748879,42749039,42748925,42748948,42748898,42749001,42749015,42748922,42748908
42748881,42748884,42749017,42748898,42748955,42748961,42748910,42748988,42748892,42748966
42748881,42748879,42748923,42748896,42748930,42748917,42748981,42749048,42748922,42748991
42748880,42748884,42749017,42748907,42748955,42748993,42748910,42748963,42748892,42748926
42748881,42748879,42749017,42748900,42748955,42748919,42748981,42748966,42748911,42748926
42748879,42748884,42748902,42749130,42748955,42748961,42748990,42748915,42748912,42748892
42748880,42748883,42748916,42748896,42748903,42748974,42748910,42749009,42748922,42748988
42748880,42748887,42748902,42748938,42748928,42748917,42749018,42748920,42748897,42748966
42748881,42748883,42748923,42748932,42748930,42748979,42748990,42748905,42748908,42748897
42748879,42748884,42748902,42748938,42749019,42748898,42749018,42748915,42748901,42749016
