rank,tier,mode,stackPattern,bringBackRequired,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwn,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherSharesGameWithBringBack,playerNames,playerIds,playerTeams,playerOwn
1,nuts,nuts,5-2,true,5,2,ATL,COL,0,4,4,6,2136.000936329383,23000,107.11999999999999,16.691431886445905,13.669155637560275,49500,false,true,Chris Sale;Reid Detmers;Edgar Quero;Matt Olson;Ozzie Albies;Josh Jung;Jorge Mateo;Joc Pederson;Ronald Acuna Jr.;Michael Harris II,42957638;42957641;42957778;42957656;42957666;42957720;42957741;42957785;42957653;42957695,ATL;LAA;CWS;ATL;ATL;TEX;ATL;TEX;ATL;ATL,39.17;35.16;1.65;20.51;22.19;12.03;17.97;11.99;22.63;27.67
2,nuts,nuts,5-2,true,5,2,ATL,COL,0,3,3,6,2254.861414810232,23000,104.39999999999998,13.096367364471398,10.093998977304695,49400,false,true,Chris Sale;Reid Detmers;Drake Baldwin;Matt Olson;Vaughn Grissom;Ramon Urias;Jorge Mateo;Victor Scott II;Ronald Acuna Jr.;Michael Harris II,42957638;42957641;42957654;42957656;42957762;42957766;42957741;42957822;42957653;42957695,ATL;LAA;ATL;ATL;LAA;STL;ATL;STL;ATL;ATL,39.17;35.16;20.79;20.51;2.07;2.21;17.97;4.91;22.63;27.67
3,nuts,nuts,5-3,true,5,3,ATL,COL,0,3,3,6,2073.6441353327723,23000,105.25999999999999,13.520315507294548,10.504085017501303,50000,false,true,Chris Sale;Reid Detmers;Ivan Herrera;Matt Olson;Ozzie Albies;Ramon Urias;Jorge Mateo;Nathan Church;Mike Yastrzemski;Ronald Acuna Jr.,42957638;42957641;42957705;42957656;42957666;42957766;42957741;42957755;42957718;42957653,ATL;LAA;STL;ATL;ATL;STL;ATL;STL;ATL;ATL,39.17;35.16;7.90;20.51;22.19;2.21;17.97;2.84;16.15;22.63
4,nuts,nuts,5-2,true,5,2,ATL,COL,0,4,4,6,2246.441630668378,23000,105.41999999999999,16.37160717801538,13.34255002425299,49500,false,true,Chris Sale;Reid Detmers;Drake Baldwin;Matt Olson;Jake Cronenworth;Nolan Gorman;Jorge Mateo;Victor Scott II;Michael Harris II;Ronald Acuna Jr.,42957638;42957641;42957654;42957656;42957769;42957746;42957741;42957822;42957695;42957653,ATL;LAA;ATL;ATL;SD;STL;ATL;STL;ATL;ATL,39.17;35.16;20.79;20.51;8.51;5.01;17.97;4.91;27.67;22.63
5,nuts,nuts,5-3,true,5,3,ATL,COL,0,3,3,6,2179.655936151392,23000,104.91999999999999,14.281148711303873,11.248085844221334,49100,false,true,Chris Sale;Reid Detmers;Ivan Herrera;Matt Olson;Ozzie Albies;Ramon Urias;Jorge Mateo;Victor Scott II;Mike Yastrzemski;Ronald Acuna Jr.,42957638;42957641;42957705;42957656;42957666;42957766;42957741;42957822;42957718;42957653,ATL;LAA;STL;ATL;ATL;STL;ATL;STL;ATL;ATL,39.17;35.16;7.90;20.51;22.19;2.21;17.97;4.91;16.15;22.63
6,nuts,nuts,5-3,true,5,3,SEA,KC,0,3,3,5,2080.120188835251,22900,104.79,14.350155160182585,11.316065207259083,48900,false,false,Chris Sale;Reid Detmers;Drake Baldwin;Josh Naylor;Ozzie Albies;Leo Rivas;J.P. Crawford;Michael Harris II;Luke Raley;Julio Rodriguez,42957638;42957641;42957654;42957707;42957666;42957820;42957739;42957695;42957721;42957688,ATL;LAA;ATL;SEA;ATL;SEA;SEA;ATL;SEA;SEA,39.17;35.16;20.79;9.72;22.19;5.88;10.58;27.67;4.62;7.54
7,nuts,nuts,5-2,true,5,2,ATL,COL,0,3,3,6,2550.9998039984243,24700,103.67999999999998,17.559938664898453,14.613875817178332,49800,false,true,Chris Sale;Nolan McLean;Francisco Alvarez;Jake Burger;Ozzie Albies;Austin Riley;Jorge Mateo;Joc Pederson;Michael Harris II;Mike Yastrzemski,42957638;42957636;42957715;42957725;42957666;42957673;42957741;42957785;42957695;42957718,ATL;NYM;NYM;TEX;ATL;ATL;ATL;TEX;ATL;ATL,39.17;34.21;9.52;10.49;22.19;9.75;17.97;11.99;27.67;16.15
8,nuts,nuts,5-1,true,5,1,ATL,COL,0,4,5,6,2117.4512981412345,23000,106.13999999999999,15.542337221005488,12.503169096292318,49800,false,true,Chris Sale;Reid Detmers;Drake Baldwin;Spencer Torkelson;Josh Smith;Max Muncy;Jorge Mateo;Michael Harris II;Mike Yastrzemski;Ronald Acuna Jr.,42957638;42957641;42957654;42957734;42957803;42957676;42957741;42957695;42957718;42957653,ATL;LAA;ATL;DET;TEX;LAD;ATL;ATL;ATL;ATL,39.17;35.16;20.79;4.71;5.66;5.93;17.97;27.67;16.15;22.63
9,nuts,nuts,5-3,true,5,3,ATL,COL,0,3,3,6,2168.4095554115233,23000,106.13999999999997,16.322561280246227,13.29260440048562,49000,false,true,Chris Sale;Reid Detmers;Danny Jansen;Matt Olson;Josh Smith;Austin Riley;Jorge Mateo;Evan Carter;Michael Harris II;Ronald Acuna Jr.,42957638;42957641;42957768;42957656;42957803;42957673;42957741;42957728;42957695;42957653,ATL;LAA;TEX;ATL;TEX;ATL;ATL;TEX;ATL;ATL,39.17;35.16;5.72;20.51;5.66;9.75;17.97;13.38;27.67;22.63
10,nuts,nuts,5-2,true,5,2,TEX,DET,0,4,4,5,2058.3731440144666,22700,105.65,16.73979793728395,13.718684219892815,49900,false,false,Chris Sale;Reid Detmers;Danny Jansen;Matt Olson;Ozzie Albies;Josh Jung;Corey Seager;Evan Carter;Joc Pederson;Fernando Tatis Jr.,42957638;42957641;42957768;42957656;42957666;42957720;42957669;42957728;42957785;42957661,ATL;LAA;TEX;ATL;ATL;TEX;TEX;TEX;TEX;SD,39.17;35.16;5.72;20.51;22.19;12.03;11.79;13.38;11.99;21.18
11,nuts,nuts,5-2,true,5,2,ATL,COL,0,4,4,6,1929.2485583770692,23000,105.97,16.34773090192588,13.318231068555384,50000,false,true,Chris Sale;Reid Detmers;Will Smith;Josh Naylor;Cole Young;Austin Riley;Mauricio Dubon;Mike Yastrzemski;Michael Harris II;Ronald Acuna Jr.,42957638;42957641;42957706;42957707;42957744;42957673;42957708;42957718;42957695;42957653,ATL;LAA;LAD;SEA;SEA;ATL;ATL;ATL;ATL;ATL,39.17;35.16;11.17;9.72;4.67;9.75;19.80;16.15;27.67;22.63
12,frontier,chalk-core,5-2,false,5,2,LAD,STL,0,4,5,5,2032.141727340886,21800,82.86999999999999,6.529577354671701,6.296589964625546,48800,false,false,Sean Burke;Seth Lugo;Will Smith;Freddie Freeman;Vaughn Grissom;Bo Bichette;Hyeseong Kim;Kyle Tucker;Shohei Ohtani;Austin Slater,42957646;42957637;42957706;42957660;42957762;42957696;42957745;42957657;42957649;42957793,CWS;KC;LAD;LAD;LAA;NYM;LAD;LAD;LAD;NYM,5.83;9.78;11.17;6.70;2.07;7.07;5.94;6.70;15.53;3.65
13,frontier,chalk-core,5-2,false,5,2,LAD,STL,1,3,4,6,1425.0964879614291,19700,90.09,6.13771910516288,5.082003215661648,48100,false,false,Chase Dollander;Reid Detmers;Will Smith;Alec Burleson;Willi Castro;Kyle Karros;Hyeseong Kim;Andy Pages;Teoscar Hernandez;Shohei Ohtani,42957647;42957641;42957706;42957684;42957679;42957758;42957745;42957668;42957681;42957649,COL;LAA;LAD;STL;COL;COL;LAD;LAD;LAD;LAD,4.85;35.16;11.17;6.84;4.76;1.72;5.94;1.58;4.88;15.53
14,frontier,chalk-core,5-2,false,5,2,LAD,STL,2,4,5,7,1507.3154945133417,20500,90.08999999999999,7.139811783010001,5.614914388837893,50000,false,false,Keider Montero;Reid Detmers;Will Smith;Freddie Freeman;Fernando Tatis Jr.;Max Muncy;Masyn Winn;Teoscar Hernandez;Nathan Church;Andy Pages,42957642;42957641;42957706;42957660;42957661;42957676;42957731;42957681;42957755;42957668,DET;LAA;LAD;LAD;SD;LAD;STL;LAD;STL;LAD,9.91;35.16;11.17;6.70;21.18;5.93;4.80;4.88;2.84;1.58
15,frontier,chalk-core,5-2,false,5,2,LAD,STL,0,4,4,5,1119.866063420086,18600,84.36999999999999,7.199513834398028,7.782257496688855,49300,false,false,Kumar Rocker;Sean Burke;Will Smith;Freddie Freeman;Chase Meidroth;Max Muncy;Jorge Mateo;Teoscar Hernandez;Kyle Tucker;Ronald Acuna Jr.,42957644;42957646;42957706;42957660;42957719;42957676;42957741;42957681;42957657;42957653,TEX;CWS;LAD;LAD;CWS;LAD;ATL;LAD;LAD;ATL,4.77;5.83;11.17;6.70;2.28;5.93;17.97;4.88;6.70;22.63
