P,P,C,1B,2B,3B,SS,OF,OF,OF
42957638,42957641,42957778,42957656,42957666,42957720,42957741,42957785,42957653,42957695
42957638,42957641,42957654,42957656,42957762,42957766,42957741,42957822,42957653,42957695
42957638,42957641,42957705,42957656,42957666,42957766,42957741,42957755,42957718,42957653
42957638,42957641,42957654,42957656,42957769,42957746,42957741,42957822,42957695,42957653
42957638,42957641,42957705,42957656,42957666,42957766,42957741,42957822,42957718,42957653
42957638,42957641,42957654,42957707,42957666,42957820,42957739,42957695,42957721,42957688
42957638,42957636,42957715,42957725,42957666,42957673,42957741,42957785,42957695,42957718
42957638,42957641,42957654,42957734,42957803,42957676,42957741,42957695,42957718,42957653
42957638,42957641,42957768,42957656,42957803,42957673,42957741,42957728,42957695,42957653
42957638,42957641,42957768,42957656,42957666,42957720,42957669,42957728,42957785,42957661
42957638,42957641,42957706,42957707,42957744,42957673,42957708,42957718,42957695,42957653
42957646,42957637,42957706,42957660,42957762,42957696,42957745,42957657,42957649,42957793
42957647,42957641,42957706,42957684,42957679,42957758,42957745,42957668,42957681,42957649
42957642,42957641,42957706,42957660,42957661,42957676,42957731,42957681,42957755,42957668
42957644,42957646,42957706,42957660,42957719,42957676,42957741,42957681,42957657,42957653
42957643,42957637,42957667,42957725,42957791,42957679,42957689,42957697,42957738,42957661
42957645,42957641,42957710,42957684,42957752,42957682,42957648,42957665,42957688,42957782
42957644,42957638,42957705,42957678,42957670,42957682,42957648,42957822,42957727,42957781
42957638,42957641,42957710,42957678,42957719,42957671,42957648,42957733,42957782,42957727
42957643,42957644,42957706,42957660,42957719,42957671,42957745,42957649,42957681,42957764
42957638,42957640,42957715,42957684,42957670,42957766,42957731,42957657,42957791,42957665
42957644,42957638,42957778,42957660,42957779,42957673,42957745,42957649,42957681,42957685
42957638,42957639,42957694,42957725,42957752,42957682,42957669,42957816,42957651,42957782
42957645,42957639,42957715,42957712,42957729,42957679,42957689,42957653,42957722,42957652
42957644,42957638,42957710,42957678,42957666,42957682,42957669,42957653,42957782,42957781
42957645,42957638,42957705,42957656,42957670,42957820,42957731,42957665,42957822,42957653
42957643,42957641,42957667,42957655,42957769,42957686,42957692,42957738,42957736,42957661
42957638,42957641,42957659,42957678,42957666,42957820,42957648,42957782,42957727,42957781
42957638,42957636,42957778,42957725,42957719,42957720,42957669,42957785,42957728,42957652
42957639,42957641,42957710,42957678,42957752,42957682,42957648,42957708,42957738,42957722
42957647,42957640,42957706,42957660,42957779,42957720,42957669,42957657,42957649,42957738
42957638,42957636,42957768,42957655,42957803,42957682,42957648,42957728,42957785,42957791
42957638,42957641,42957706,42957649,42957779,42957676,42957739,42957755,42957681,42957688
42957638,42957641,42957694,42957678,42957752,42957720,42957648,42957728,42957785,42957727
42957645,42957644,42957715,42957656,42957729,42957696,42957804,42957653,42957695,42957652
42957643,42957638,42957706,42957660,42957779,42957820,42957739,42957657,42957649,42957688
42957642,42957641,42957659,42957660,42957779,42957686,42957745,42957649,42957693,42957721
42957641,42957640,42957667,42957730,42957666,42957758,42957708,42957722,42957653,42957695
42957641,42957640,42957654,42957656,42957719,42957686,42957674,42957718,42957733,42957824
42957636,42957640,42957683,42957725,42957803,42957671,42957669,42957791,42957687,42957704
42957639,42957637,42957683,42957725,42957699,42957673,42957669,42957728,42957785,42957722
42957638,42957637,42957768,42957725,42957803,42957716,42957648,42957816,42957704,42957661
42957644,42957636,42957694,42957725,42957803,42957686,42957648,42957791,42957816,42957652
42957636,42957640,42957683,42957725,42957679,42957696,42957669,42957816,42957791,42957728
42957645,42957642,42957767,42957656,42957661,42957673,42957741,42957718,42957653,42957688
42957647,42957636,42957706,42957660,42957744,42957720,42957669,42957728,42957657,42957735
42957642,42957636,42957659,42957740,42957769,42957696,42957804,42957690,42957652,42957787
42957638,42957641,42957710,42957678,42957752,42957682,42957648,42957785,42957728,42957690
42957643,42957636,42957715,42957656,42957851,42957696,42957804,42957718,42957690,42957652
42957641,42957637,42957767,42957656,42957666,42957679,42957741,42957708,42957695,42957782
42957638,42957639,42957715,42957734,42957699,42957663,42957804,42957687,42957821,42957652
42957636,42957640,42957683,42957734,42957699,42957716,42957804,42957687,42957787,42957652
42957643,42957638,42957715,42957740,42957666,42957804,42957658,42957653,42957695,42957787
42957638,42957641,42957768,42957656,42957699,42957663,42957669,42957728,42957687,42957816
42957643,42957641,42957654,42957734,42957744,42957673,42957741,42957653,42957693,42957721
42957642,42957640,42957654,42957717,42957666,42957851,42957741,42957653,42957661,42957787
42957639,42957641,42957768,42957725,42957803,42957663,42957669,42957687,42957653,42957727
42957644,42957640,42957768,42957656,42957666,42957720,42957658,42957791,42957695,42957661
42957641,42957637,42957768,42957656,42957803,42957686,42957692,42957728,42957672,42957733
42957638,42957636,42957715,42957740,42957791,42957720,42957669,42957728,42957652,42957793
42957646,42957641,42957667,42957678,42957752,42957682,42957648,42957665,42957722,42957727
42957643,42957641,42957694,42957678,42957762,42957682,42957648,42957690,42957685,42957782
42957638,42957636,42957710,42957725,42957719,42957682,42957674,42957781,42957782,42957727
