P,P,C,1B,2B,3B,SS,OF,OF,OF
42960497,42960550,42960403,42960454,42960565,42960482,42960532,42960503,42960510,42960484
42960550,42960497,42960556,42960454,42960565,42960451,42960532,42960510,42960553,42960460
42960550,42960497,42960403,42960502,42960565,42960451,42960532,42960553,42960510,42960503
42960550,42960497,42960403,42960454,42960506,42960482,42960532,42960460,42960503,42960505
42960497,42960550,42960556,42960502,42960506,42960482,42960439,42960553,42960510,42960460
42960550,42960497,42960416,42960502,42960565,42960482,42960532,42960510,42960503,42960553
42960497,42960550,42960556,42960454,42960565,42960482,42960532,42960505,42960503,42960553
42960550,42960497,42960403,42960454,42960565,42960451,42960532,42960510,42960553,42960460
42960550,42960497,42960403,42960454,42960413,42960482,42960532,42960484,42960503,42960460
42960497,42960550,42960556,42960502,42960506,42960525,42960532,42960468,42960510,42960553
42960550,42960497,42960403,42960502,42960565,42960482,42960532,42960503,42960468,42960505
42960497,42960422,42960416,42960502,42960506,42960482,42960532,42960465,42960490,42960484
42960440,42960550,42960556,42960502,42960506,42960451,42960532,42960457,42960484,42960510
42960475,42960498,42960530,42960454,42960565,42960467,42960564,42960460,42960510,42960468
42960475,42960498,42960530,42960454,42960480,42960525,42960564,42960465,42960490,42960407
42960497,42960498,42960401,42960575,42960506,42960451,42960564,42960490,42960407,42960468
42960497,42960434,42960556,42960502,42960506,42960482,42960532,42960433,42960460,42960505
42960434,42960422,42960530,42960502,42960413,42960467,42960525,42960432,42960407,42960490
42960497,42960498,42960401,42960575,42960540,42960467,42960439,42960465,42960490,42960457
42960497,42960422,42960556,42960575,42960506,42960480,42960525,42960433,42960465,42960490
42960497,42960475,42960556,42960502,42960540,42960482,42960532,42960465,42960407,42960553
42960550,42960529,42960556,42960502,42960506,42960467,42960532,42960432,42960457,42960553
42960485,42960498,42960530,42960454,42960565,42960467,42960439,42960457,42960510,42960468
42960550,42960440,42960403,42960502,42960565,42960482,42960532,42960553,42960510,42960460
42960442,42960422,42960530,42960493,42960413,42960467,42960564,42960457,42960510,42960553
42960453,42960422,42960530,42960493,42960413,42960467,42960564,42960457,42960510,42960484
42960550,42960442,42960530,42960575,42960413,42960467,42960532,42960432,42960457,42960510
42960549,42960550,42960530,42960454,42960565,42960451,42960532,42960457,42960432,42960510
42960434,42960422,42960530,42960493,42960540,42960480,42960532,42960433,42960457,42960490
42960453,42960422,42960530,42960540,42960413,42960467,42960564,42960457,42960490,42960553
42960550,42960422,42960416,42960502,42960506,42960467,42960532,42960484,42960510,42960503
42960497,42960498,42960556,42960454,42960540,42960451,42960439,42960490,42960468,42960510
42960497,42960498,42960556,42960575,42960565,42960451,42960439,42960490,42960468,42960510
42960497,42960498,42960416,42960454,42960540,42960458,42960564,42960490,42960465,42960407
42960497,42960498,42960401,42960575,42960540,42960451,42960564,42960457,42960433,42960510
42960497,42960498,42960556,42960575,42960565,42960480,42960564,42960433,42960490,42960505
42960497,42960422,42960416,42960502,42960480,42960482,42960532,42960433,42960484,42960553
42960550,42960422,42960556,42960454,42960506,42960467,42960532,42960432,42960484,42960553
42960497,42960422,42960403,42960502,42960540,42960482,42960532,42960490,42960468,42960484
42960497,42960550,42960416,42960502,42960506,42960482,42960439,42960468,42960510,42960460
42960497,42960422,42960403,42960575,42960506,42960482,42960532,42960433,42960490,42960503
42960497,42960550,42960556,42960502,42960506,42960482,42960439,42960468,42960510,42960553
42960497,42960422,42960556,42960502,42960506,42960458,42960532,42960490,42960433,42960465
42960550,42960422,42960530,42960454,42960506,42960482,42960525,42960432,42960457,42960484
42960497,42960422,42960403,42960540,42960413,42960480,42960532,42960465,42960433,42960553
42960497,42960498,42960416,42960454,42960413,42960451,42960564,42960407,42960490,42960510
