rank,mode,uTarget,uSampled,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack
1,mid,0.500,0.386,4,3,SD,LAA,0,4,4,4,2178.44,23500,95.62,1.820,49200,0
2,leverage,0.150,0.275,5,2,COL,LAD,0,4,5,5,2190.55,23600,94.56,1.644,49500,0
3,chalk,0.850,1.000,5,1,LAD,COL,0,5,5,5,2242.41,23000,108.79,16.204,49600,0
4,mid,0.500,0.796,4,2,SD,LAA,1,4,5,5,2369.30,24500,105.10,7.568,49800,0
5,leverage,0.150,0.316,5,1,COL,LAD,1,5,6,6,2165.73,23500,95.17,1.687,49600,0
6,leverage,0.150,0.353,5,2,COL,LAD,0,4,5,5,2119.46,23400,97.31,1.878,49700,0
7,leverage,0.150,0.237,4,2,SD,LAA,0,5,5,4,1995.02,22000,94.10,1.399,48300,0
8,chalk,0.850,0.790,5,2,SD,LAA,1,3,4,6,2031.26,22300,104.92,4.896,50000,0
9,chalk,0.850,0.844,4,2,SD,LAA,2,4,5,6,2354.91,24500,106.99,8.363,49800,0
10,leverage,0.150,0.231,4,3,ATL,PHI,0,4,4,5,2228.47,23500,92.49,1.312,48300,0
11,leverage,0.150,0.201,4,3,COL,LAD,0,4,4,4,1726.73,20800,88.94,1.270,49200,0
12,leverage,0.150,0.272,5,3,COL,LAD,0,4,4,5,2046.00,22600,88.00,0.988,48700,0
13,chalk,0.850,0.802,4,4,SD,LAA,4,3,4,8,2215.04,23400,103.74,4.227,49600,0
14,chalk,0.850,0.838,4,3,LAD,COL,0,5,5,4,2253.02,23000,107.68,11.573,49700,0
15,leverage,0.150,0.240,5,2,TEX,SEA,0,4,4,6,2404.91,25100,97.85,1.986,49800,0
16,mid,0.500,0.486,4,2,SD,LAA,2,3,4,6,2384.95,23400,100.55,2.646,48000,0
17,chalk,0.850,0.956,5,3,LAD,COL,0,4,4,5,2521.11,24900,108.67,15.156,50000,0
18,mid,0.500,0.419,5,2,SD,LAA,2,3,4,7,2308.59,23400,102.10,3.287,48800,0
19,leverage,0.150,0.066,4,2,SEA,TEX,2,4,5,6,2100.50,22200,86.77,0.882,48300,0
20,chalk,0.850,0.739,5,3,LAA,SD,3,3,4,8,2291.72,23400,102.47,4.153,48000,0
21,mid,0.500,0.708,5,3,STL,HOU,0,4,4,5,2249.98,23000,105.87,11.894,49600,0
22,chalk,0.850,0.764,5,2,COL,LAD,2,4,5,7,2175.32,24500,101.01,3.815,50000,0
23,leverage,0.150,0.154,5,2,STL,HOU,0,5,5,5,1903.68,21500,99.97,7.500,49000,0
24,mid,0.500,0.528,5,3,SD,LAA,3,3,4,8,2380.36,23900,103.66,4.390,49700,0
25,mid,0.500,0.370,5,3,STL,HOU,0,4,4,5,1945.25,22400,103.10,11.145,50000,0
26,chalk,0.850,0.693,5,3,LAA,SD,0,3,3,6,1657.74,20800,101.07,13.862,49700,0
27,chalk,0.850,0.862,5,2,LAD,COL,1,4,5,6,1940.85,22800,103.34,7.154,49900,0
28,mid,0.500,0.464,5,2,LAA,SD,0,3,3,6,2153.23,23200,103.61,11.893,49400,0
29,mid,0.500,0.527,4,4,LAA,SD,4,3,4,8,2290.94,23600,104.12,7.635,49400,0
30,chalk,0.850,0.710,5,1,STL,HOU,0,5,6,5,1887.56,21800,100.71,5.062,48900,0
31,mid,0.500,0.592,5,2,SD,LAA,2,4,5,7,2363.49,24200,103.61,7.924,49300,0
32,chalk,0.850,0.847,5,3,LAA,SD,3,3,4,8,2010.50,22300,100.55,4.077,49700,0
33,leverage,0.150,0.351,5,3,SD,LAA,3,3,4,8,2312.34,23900,104.39,8.374,49900,0
34,leverage,0.150,0.192,4,3,LAD,COL,1,3,4,5,2115.75,23000,105.93,12.991,49600,0
35,mid,0.500,0.473,5,2,STL,HOU,0,5,5,5,1902.52,21500,100.87,7.603,49200,0
36,chalk,0.850,0.960,4,4,LAD,COL,0,4,4,4,2194.74,23000,106.71,15.160,49100,0
