P,P,C,1B,2B,3B,SS,OF,OF,OF
42730327,42730330,42730428,42730393,42730537,42730570,42730396,42730543,42730359,42730401
42730322,42730327,42730670,42730416,42730362,42730495,42730426,42730515,42730540,42730389
42730327,42730321,42730382,42730538,42730676,42730707,42730603,42730358,42730354,42730432
42730330,42730327,42730405,42730367,42730362,42730570,42730495,42730515,42730539,42730412
42730327,42730321,42730441,42730590,42730477,42730556,42730520,42730524,42730395,42730349
42730327,42730342,42730365,42730393,42730537,42730546,42730363,42730489,42730543,42730354
42730322,42730327,42730434,42730590,42730537,42730546,42730396,42730543,42730359,42730389
42730340,42730322,42730413,42730460,42730360,42730492,42730520,42730476,42730604,42730352
42730322,42730327,42730417,42730416,42730362,42730570,42730520,42730515,42730421,42730524
42730327,42730321,42730593,42730424,42730448,42730693,42730520,42730524,42730352,42730387
42730327,42730321,42730382,42730393,42730537,42730546,42730426,42730543,42730489,42730423
42730342,42730321,42730413,42730590,42730492,42730351,42730520,42730371,42730524,42730395
42730327,42730321,42730381,42730393,42730537,42730556,42730396,42730543,42730605,42730384
42730327,42730321,42730724,42730393,42730537,42730394,42730426,42730489,42730543,42730359
42730327,42730324,42730441,42730399,42730398,42730561,42730577,42730371,42730544,42730412
42730327,42730321,42730594,42730347,42730537,42730418,42730396,42730543,42730605,42730503
42730327,42730321,42730670,42730528,42730448,42730394,42730426,42730470,42730349,42730636
42730327,42730329,42730593,42730393,42730537,42730492,42730520,42730359,42730524,42730352
42730327,42730342,42730434,42730393,42730537,42730502,42730396,42730543,42730359,42730354
42730327,42730321,42730441,42730393,42730398,42730508,42730396,42730395,42730661,42730588
42730327,42730321,42730382,42730393,42730537,42730707,42730603,42730489,42730354,42730432
42730328,42730331,42730405,42730416,42730362,42730693,42730495,42730604,42730451,42730352
42730342,42730321,42730413,42730590,42730492,42730351,42730473,42730524,42730395,42730406
42730327,42730328,42730625,42730573,42730674,42730351,42730363,42730429,42730579,42730354
42730327,42730321,42730625,42730573,42730385,42730351,42730473,42730579,42730614,42730379
42730322,42730327,42730625,42730550,42730585,42730351,42730368,42730429,42730579,42730422
42730322,42730336,42730625,42730573,42730620,42730351,42730363,42730429,42730579,42730354
42730327,42730328,42730417,42730573,42730400,42730351,42730420,42730614,42730579,42730401
42730327,42730328,42730365,42730611,42730400,42730546,42730420,42730543,42730401,42730384
42730327,42730328,42730625,42730573,42730537,42730351,42730396,42730429,42730579,42730354
42730327,42730321,42730381,42730573,42730537,42730579,42730396,42730489,42730543,42730359
42730330,42730333,42730504,42730364,42730621,42730719,42730357,42730470,42730349,42730415
42730327,42730321,42730625,42730573,42730674,42730351,42730355,42730429,42730614,42730419
42730322,42730327,42730625,42730573,42730585,42730579,42730355,42730429,42730446,42730358
42730342,42730328,42730434,42730364,42730448,42730901,42730567,42730358,42730470,42730349
42730326,42730327,42730724,42730364,42730559,42730719,42730567,42730349,42730470,42730350
42730327,42730321,42730625,42730573,42730400,42730351,42730420,42730579,42730429,42730525
42730327,42730330,42730434,42730393,42730537,42730397,42730396,42730489,42730543,42730389
42730327,42730342,42730434,42730449,42730385,42730370,42730473,42730419,42730431,42730406
42730322,42730327,42730706,42730424,42730448,42730693,42730567,42730415,42730408,42730349
42730330,42730321,42730593,42730364,42730448,42730719,42730520,42730387,42730415,42730408
42730322,42730333,42730608,42730538,42730477,42730581,42730392,42730564,42730354,42730349
42730322,42730329,42730504,42730364,42730448,42730719,42730357,42730721,42730415,42730408
42730327,42730330,42730594,42730393,42730537,42730418,42730396,42730543,42730359,42730422
42730327,42730326,42730625,42730538,42730477,42730579,42730363,42730429,42730354,42730421
42730322,42730327,42730625,42730550,42730585,42730351,42730368,42730429,42730614,42730422
42730327,42730333,42730365,42730573,42730674,42730351,42730589,42730579,42730429,42730350
42730327,42730329,42730625,42730573,42730385,42730351,42730473,42730579,42730429,42730379
42730326,42730342,42730593,42730364,42730448,42730901,42730567,42730352,42730349,42730408
42730322,42730327,42730381,42730393,42730537,42730901,42730396,42730543,42730557,42730359
42730322,42730330,42730608,42730538,42730385,42730581,42730473,42730516,42730354,42730379
42730326,42730327,42730625,42730573,42730674,42730351,42730426,42730429,42730512,42730356
42730327,42730321,42730547,42730483,42730606,42730522,42730373,42730378,42730423,42730432
42730327,42730326,42730548,42730510,42730385,42730427,42730473,42730490,42730406,42730379
42730327,42730321,42730625,42730550,42730674,42730351,42730357,42730429,42730579,42730443
42730322,42730336,42730625,42730550,42730621,42730351,42730363,42730579,42730429,42730354
42730327,42730342,42730441,42730364,42730448,42730508,42730567,42730470,42730349,42730412
42730322,42730327,42730625,42730550,42730537,42730351,42730420,42730429,42730614,42730384
42730330,42730327,42730608,42730538,42730521,42730418,42730363,42730354,42730503,42730421
42730322,42730330,42730365,42730364,42730599,42730719,42730567,42730630,42730349,42730470
42730322,42730326,42730625,42730573,42730448,42730351,42730453,42730429,42730579,42730415
42730327,42730328,42730434,42730511,42730585,42730901,42730420,42730358,42730485,42730347
42730322,42730342,42730514,42730449,42730435,42730427,42730473,42730407,42730503,42730350
42730322,42730327,42730706,42730393,42730477,42730351,42730453,42730414,42730564,42730532
42730327,42730328,42730608,42730573,42730448,42730351,42730589,42730579,42730429,42730347
42730327,42730321,42730625,42730550,42730680,42730351,42730368,42730429,42730579,42730422
42730327,42730328,42730459,42730538,42730585,42730901,42730363,42730358,42730516,42730354
42730330,42730328,42730625,42730538,42730477,42730351,42730363,42730429,42730421,42730516
42730322,42730321,42730413,42730393,42730537,42730546,42730396,42730451,42730543,42730539
42730342,42730328,42730428,42730611,42730400,42730556,42730363,42730421,42730354,42730401
42730327,42730321,42730459,42730449,42730385,42730471,42730473,42730552,42730485,42730431
42730322,42730321,42730593,42730424,42730360,42730693,42730520,42730564,42730414,42730407
42730327,42730321,42730706,42730424,42730674,42730351,42730368,42730564,42730532,42730407
42730327,42730323,42730504,42730538,42730477,42730556,42730357,42730630,42730421,42730354
42730321,42730329,42730514,42730483,42730385,42730427,42730603,42730432,42730406,42730431
