rank,mode,uTarget,uSampled,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack
1,leverage,0.150,0.202,5,3,SF,MIA,0,3,3,6,2003.60,22600,86.79,6.038,49400,0
2,mid,0.500,0.611,5,1,MIN,TB,0,4,4,5,2382.94,23600,92.68,10.775,49400,0
3,mid,0.500,0.460,4,2,TB,MIN,0,5,6,4,2305.12,23600,88.70,9.323,49200,0
4,leverage,0.150,0.298,4,3,MIN,TB,0,4,5,4,2578.45,25100,87.73,7.544,49400,0
5,chalk,0.850,0.755,5,1,SEA,STL,0,4,5,6,1812.07,21200,88.92,12.294,48200,0
6,leverage,0.150,0.124,5,2,CLE,TOR,0,4,5,5,2369.58,24200,90.17,4.733,48900,0
7,chalk,0.850,0.785,4,2,CWS,WSH,0,4,5,4,2180.28,22900,93.08,12.648,48200,0
8,leverage,0.150,0.175,5,1,SF,MIA,0,4,5,6,2193.63,22700,89.95,5.565,49000,0
9,leverage,0.150,0.035,5,2,CLE,TOR,0,4,4,5,2621.14,25500,93.58,3.180,48400,0
10,leverage,0.150,0.088,5,1,CLE,TOR,0,5,6,5,1784.40,22000,88.66,3.957,49300,0
11,leverage,0.150,0.090,4,3,CLE,TOR,0,5,5,4,1428.85,19600,81.88,3.997,48200,0
12,chalk,0.850,0.947,5,2,MIN,TB,1,4,5,6,1889.87,21400,94.09,15.117,48200,0
13,chalk,0.850,0.953,5,2,CWS,WSH,0,4,4,5,2420.93,24500,97.56,15.287,49900,0
14,mid,0.500,0.497,5,2,CWS,WSH,2,4,5,7,2515.95,24500,91.07,9.701,48000,0
15,leverage,0.150,0.061,5,2,CLE,TOR,0,4,4,5,2196.93,23400,87.98,3.619,48500,0
16,mid,0.500,0.568,5,1,MIN,TB,1,4,5,6,2012.36,21700,87.57,10.367,48200,0
17,leverage,0.150,0.152,5,2,CLE,TOR,0,4,4,5,2558.83,25500,93.31,5.167,49200,0
18,chalk,0.850,0.724,4,2,SEA,STL,0,4,5,5,2490.38,24300,92.51,11.959,48000,0
19,mid,0.500,0.509,5,1,TB,MIN,0,5,6,5,2134.57,23100,90.85,9.810,48600,0
20,chalk,0.850,0.738,5,3,MIA,SF,0,3,3,5,2506.49,24200,91.17,12.120,48500,0
21,mid,0.500,0.356,5,3,SF,MIA,0,4,4,5,2097.74,22600,86.00,8.258,48500,0
22,leverage,0.150,0.223,5,2,TB,MIN,0,4,4,6,2208.17,23300,90.49,6.386,50000,0
23,leverage,0.150,0.109,5,2,STL,SEA,0,4,5,5,2614.19,24900,86.18,4.376,49000,0
24,chalk,0.850,0.961,4,3,CWS,WSH,0,4,4,5,2197.02,23200,95.42,15.498,49900,0
25,chalk,0.850,0.955,4,2,CWS,WSH,1,5,6,5,2059.15,21800,93.08,15.293,49700,0
26,leverage,0.150,0.058,4,2,STL,SEA,0,4,5,4,2591.70,24600,83.47,3.578,48100,0
27,leverage,0.150,0.029,5,1,CLE,TOR,0,5,5,5,1875.63,21900,87.17,3.095,49000,0
28,leverage,0.150,0.011,5,2,CLE,TOR,0,4,4,5,2622.61,25500,91.82,2.672,48300,0
29,leverage,0.150,0.031,5,2,CLE,TOR,0,4,4,5,2054.29,22900,88.40,3.123,49300,0
30,leverage,0.150,0.190,5,2,STL,SEA,0,5,5,5,1885.63,21300,83.07,5.847,49200,0
31,leverage,0.150,0.280,4,2,TOR,CLE,1,4,5,5,2264.27,23300,88.66,7.269,48100,0
32,leverage,0.150,0.218,4,3,WSH,CWS,0,4,5,4,2515.07,24800,88.47,6.291,48200,0
33,leverage,0.150,0.130,5,2,STL,SEA,0,3,3,6,1908.93,21100,87.12,4.826,49000,0
34,chalk,0.850,0.706,5,1,MIN,TB,1,4,6,6,2241.63,23600,94.87,11.762,49900,0
35,mid,0.500,0.510,5,2,SEA,STL,0,4,4,5,2720.00,25600,88.16,9.811,48600,0
36,leverage,0.150,0.083,5,2,CLE,TOR,0,4,5,5,2108.77,22900,90.05,3.890,48900,0
37,leverage,0.150,0.119,5,3,CLE,TOR,3,3,4,8,2176.44,22900,86.75,4.633,48900,0
38,leverage,0.150,0.337,5,3,MIA,SF,0,4,4,5,2018.44,21900,85.47,8.016,48300,0
39,leverage,0.150,0.091,5,3,CLE,TOR,0,4,4,5,2128.76,22500,88.95,4.008,48200,0
40,leverage,0.150,0.125,4,3,SF,MIA,0,3,3,5,2298.89,24200,91.15,4.758,49100,0
41,leverage,0.150,0.053,5,2,CLE,TOR,0,4,4,5,2257.34,23900,90.60,3.484,48200,0
42,chalk,0.850,0.894,4,2,MIA,SF,0,4,4,4,1403.17,19500,92.00,14.033,48900,0
43,leverage,0.150,0.110,5,2,SF,MIA,0,3,4,6,2518.25,24800,91.48,4.380,48800,0
44,mid,0.500,0.371,5,2,MIA,SF,2,3,4,7,2056.72,22800,87.61,8.402,48300,0
45,leverage,0.150,0.075,5,2,CLE,TOR,0,4,4,6,1991.21,22800,88.23,3.782,49900,0
46,leverage,0.150,0.219,5,2,MIA,SF,0,4,4,5,2047.46,22800,91.44,6.299,49700,0
47,mid,0.500,0.464,5,2,MIN,TB,0,5,5,5,2617.71,25100,88.14,9.361,48600,0
48,chalk,0.850,0.985,5,2,MIN,TB,1,3,4,6,1916.79,22200,91.73,16.477,49700,0
49,leverage,0.150,0.149,4,1,STL,SEA,0,5,6,4,2365.50,23500,82.92,5.138,48800,0
50,leverage,0.150,0.143,5,1,STL,SEA,1,5,6,6,2155.37,22700,81.48,5.068,48800,0
51,chalk,0.850,0.934,5,2,MIN,TB,0,5,5,5,1758.86,21300,90.54,14.795,49800,0
52,mid,0.500,0.600,4,2,MIN,TB,0,4,5,4,2385.81,23600,90.04,10.670,48700,0
53,leverage,0.150,0.140,5,2,CLE,TOR,0,3,3,5,2204.29,23200,87.67,5.030,48100,0
54,chalk,0.850,0.677,5,2,MIN,TB,0,4,4,6,1951.95,22100,87.75,11.469,48700,0
55,chalk,0.850,0.891,5,2,MIA,SF,0,4,4,5,2430.25,24500,91.65,13.992,49700,0
56,mid,0.500,0.359,4,3,SF,MIA,1,3,4,5,2186.69,23200,86.65,8.282,48200,0
57,mid,0.500,0.458,4,3,MIA,SF,0,4,4,4,2200.36,23100,86.49,9.320,48800,0
58,mid,0.500,0.453,5,2,SEA,STL,2,4,5,7,2545.90,24700,89.45,9.256,49200,0
59,chalk,0.850,0.894,5,3,CWS,WSH,0,4,4,5,2068.24,22400,92.08,14.028,48200,0
60,leverage,0.150,0.146,4,2,SF,MIA,0,4,4,5,2120.00,22100,87.19,5.111,48600,0
61,mid,0.500,0.454,5,2,MIA,SF,0,5,5,5,1988.19,21800,85.93,9.271,48900,0
62,leverage,0.150,0.216,5,2,CLE,TOR,0,4,4,5,2114.80,23700,91.44,6.262,49400,0
63,leverage,0.150,0.081,4,2,CLE,TOR,0,4,5,5,1558.08,20700,83.49,3.869,48800,0
64,leverage,0.150,0.182,4,2,WSH,CWS,1,4,5,5,2111.97,22400,81.71,5.721,48400,0
65,mid,0.500,0.769,4,3,MIA,SF,0,4,4,4,2050.46,21700,91.51,12.467,48400,0
66,mid,0.500,0.573,5,3,TOR,CLE,0,4,4,5,2527.05,24800,93.69,10.410,50000,0
67,chalk,0.850,0.973,4,3,SEA,STL,0,4,4,4,1833.14,21900,90.51,15.941,49600,0
68,chalk,0.850,0.881,4,3,SEA,STL,0,5,5,4,2231.50,22700,87.77,13.872,48800,0
69,chalk,0.850,0.751,4,2,SEA,STL,1,4,5,5,1859.57,21100,85.06,12.248,48000,0
70,mid,0.500,0.541,5,3,TOR,CLE,0,3,3,5,2506.39,24300,90.90,10.089,48000,0
71,leverage,0.150,0.217,4,1,CLE,TOR,0,5,6,4,1735.97,21600,83.18,6.277,48200,0
72,leverage,0.150,0.114,5,2,CLE,TOR,0,4,5,5,2554.68,25500,91.04,4.508,49400,0
73,leverage,0.150,0.175,5,3,TOR,CLE,0,3,3,6,2500.40,24700,83.66,5.559,48000,0
74,leverage,0.150,0.255,4,2,TB,MIN,0,4,4,5,2208.17,23300,91.00,6.863,50000,0
75,leverage,0.150,0.235,5,3,SEA,STL,0,2,2,6,2030.66,22800,87.91,6.544,49200,0
