P,P,C,1B,2B,3B,SS,OF,OF,OF
42748879,42748887,42749005,42748907,42748928,42748917,42748924,42748989,42748926,42748892
42748881,42748879,42748923,42748932,42748930,42748917,42749010,42748915,42748991,42748911
42748879,42748883,42748992,42748904,42749001,42748895,42749018,42748901,42748922,42748960
42748880,42748879,42748923,42748904,42749031,42748941,42748964,42748951,42748991,42748897
42748881,42748887,42748902,42748938,42749019,42748917,42748918,42748915,42748920,42748937
42748879,42748883,42748923,42749008,42748948,42748891,42748990,42748937,42749016,42748897
42748879,42748884,42748916,42748900,42749031,42748919,42748924,42748915,42748988,42748963
42748886,42748879,42749058,42748965,42748903,42748895,42748924,42748989,42748958,42748897
42748881,42748879,42749017,42749008,42749038,42748891,42748924,42748912,42748929,42748963
42748881,42748888,42748978,42748925,42748928,42748891,42748918,42748937,42748912,42748929
42748885,42748888,42748978,42748898,42748903,42748895,42748990,42748929,42748937,42748908
42748889,42748879,42748923,42748925,42748930,42748919,42748910,42748897,42748951,42748991
42748881,42748879,42749017,42748900,42748930,42748919,42748910,42748915,42748963,42748991
42748881,42748879,42749017,42748900,42748967,42748919,42748981,42748966,42748911,42748963
42748881,42748884,42748978,42748900,42749031,42748891,42748990,42748912,42748929,42748956
42748879,42748888,42748923,42748898,42748930,42748979,42749010,42748922,42748958,42748897
42748881,42748879,42748978,42749008,42748967,42748891,42748910,42748915,42749016,42748937
42748881,42748879,42748902,42748932,42748974,42748936,42749018,42749006,42748915,42748937
42748881,42748883,42748992,42748925,42748909,42748895,42748924,42749016,42748985,42748908
42748881,42748880,42748902,42748938,42748909,42748998,42748918,42748915,42749068,42749014
42748880,42748884,42748902,42748938,42748928,42748917,42748924,42748920,42749036,42748958
42748879,42748884,42748992,42748898,42749038,42748895,42748910,42748929,42748960,42748908
42748880,42748879,42748916,42748900,42748903,42748941,42748964,42748995,42749065,42748966
42748879,42748883,42748902,42748900,42749019,42748919,42748910,42749006,42748912,42748963
42748889,42748880,42748931,42748900,42748967,42748895,42748910,42749068,42748892,42748963
42748880,42748879,42749030,42748965,42748903,42748919,42748964,42748995,42748958,42748911
42748885,42748883,42748978,42749037,42748903,42748891,42748990,42748912,42748929,42748897
42748881,42748879,42748978,42748907,42749038,42748891,42748990,42748929,42748963,42748988
42748879,42748887,42748978,42748907,42749019,42748891,42748924,42748937,42748912,42748929
42748880,42748888,42748931,42748904,42748903,42748941,42748918,42748901,42748995,42748960
42748879,42748884,42749039,42748904,42748974,42748895,42748981,42748912,42748922,42748960
42748881,42748879,42749005,42748896,42748955,42748974,42748981,42748912,42748926,42748966
42748889,42748879,42748916,42748904,42748903,42748941,42748924,42748901,42749015,42748958
42748879,42748883,42748923,42748932,42748974,42748895,42749010,42748912,42748991,42748897
42748880,42748879,42749045,42748907,42749031,42748917,42749018,42749006,42748920,42748892
42748879,42748887,42748978,42748900,42748955,42748891,42748990,42748912,42748929,42748963
42748879,42748887,42748978,42748896,42749038,42748891,42748981,42748912,42748937,42748922
42748881,42748884,42748931,42749037,42748909,42748993,42748918,42748905,42748911,42748926
42748879,42748888,42748902,42749008,42749019,42748891,42748990,42748915,42748912,42748929
42748879,42748883,42749017,42748907,42748928,42748891,42748924,42748937,42749016,42748958
42748879,42748884,42748978,42749008,42748967,42748891,42748924,42748912,42748929,42748963
42748889,42748884,42748931,42748900,42748903,42748895,42748918,42749014,42748905,42748963
42748881,42748879,42749058,42748896,42748928,42748917,42748924,42748937,42749016,42748958
42748881,42748886,42748931,42749037,42748928,42748891,42748918,42748998,42748958,42748905
42748881,42748886,42748978,42748900,42748948,42748891,42748910,42748912,42748929,42749016
42748881,42748886,42748931,42748900,42748909,42748891,42748918,42748929,42749068,42748998
42748880,42748879,42749005,42748904,42748930,42748961,42749010,42748897,42748951,42748991
42748881,42748886,42748923,42748938,42748930,42748895,42749010,42748915,42748951,42748897
42748880,42748884,42749030,42748896,42748903,42748919,42748964,42748995,42749068,42748892
42748880,42748883,42748916,42748904,42748948,42748941,42748964,42748915,42749027,42748905
