rank,mode,uTarget,uSampled,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack
1,chalk,0.850,0.780,4,4,COL,ATL,4,3,4,8,1580.38,20900,102.65,8.643,49800,0
2,mid,0.500,0.401,4,4,KC,SEA,0,4,4,4,2184.70,23600,99.03,3.910,49900,0
3,leverage,0.150,0.124,5,3,CWS,SD,0,4,4,5,1825.81,21800,90.60,2.668,48800,0
4,mid,0.500,0.405,5,1,CWS,SD,0,5,5,5,2038.73,23200,97.51,3.710,49600,0
5,mid,0.500,0.502,4,3,CWS,SD,0,3,3,4,2137.50,23000,100.27,5.255,49100,0
6,chalk,0.850,0.843,5,2,ATL,COL,0,3,3,6,2121.41,23000,103.60,9.495,49400,0
7,leverage,0.150,0.180,5,2,LAA,NYM,0,3,3,6,2245.80,23200,91.49,2.669,48200,0
8,chalk,0.850,0.810,5,3,STL,LAD,0,3,3,5,2128.00,23000,103.36,8.893,48600,0
9,chalk,0.850,0.742,4,2,KC,SEA,0,5,5,4,2114.71,23600,102.35,8.026,50000,0
10,leverage,0.150,0.244,5,3,KC,SEA,0,3,3,5,2074.83,23200,94.73,2.696,49900,0
11,chalk,0.850,0.949,4,1,ATL,COL,0,5,6,5,2115.21,23000,106.16,11.144,49700,0
12,leverage,0.150,0.085,4,3,LAA,NYM,0,4,4,5,1583.54,21100,89.53,2.156,48800,0
13,mid,0.500,0.336,5,3,CWS,SD,0,4,4,5,2079.54,22800,96.08,3.407,48500,0
14,chalk,0.850,0.789,5,2,ATL,COL,0,3,3,6,2254.86,23000,104.40,10.094,49400,0
15,mid,0.500,0.379,5,1,CWS,SD,0,5,5,5,2082.04,23200,95.07,3.057,49100,0
16,mid,0.500,0.520,5,1,CWS,SD,0,6,6,5,2290.61,23600,100.23,4.530,49900,0
17,leverage,0.150,0.300,5,3,KC,SEA,0,3,3,5,2038.04,22500,92.97,2.674,48200,0
18,leverage,0.150,0.206,5,3,LAA,NYM,0,3,3,6,1849.22,22200,88.21,2.070,49800,0
19,chalk,0.850,0.815,5,2,KC,SEA,0,4,4,5,2268.57,23600,102.23,7.234,49600,0
20,leverage,0.150,0.149,5,3,LAA,NYM,0,4,4,5,2210.07,23600,85.26,2.003,48600,0
21,mid,0.500,0.395,5,3,KC,SEA,0,4,4,5,2086.72,23600,99.74,4.272,49600,0
22,chalk,0.850,0.902,5,3,ATL,COL,0,3,3,6,2073.64,23000,105.26,10.504,50000,0
23,leverage,0.150,0.264,5,2,KC,SEA,2,4,5,7,2220.38,23600,100.60,5.620,49700,0
24,leverage,0.150,0.163,4,3,CWS,SD,0,5,5,4,2081.08,22800,100.84,5.625,48900,0
25,chalk,0.850,0.959,5,3,TEX,DET,0,3,3,5,2137.87,23000,107.58,12.946,49500,0
26,mid,0.500,0.488,4,2,CWS,SD,2,4,6,6,2072.32,22400,101.46,6.007,49500,0
27,leverage,0.150,0.172,5,2,KC,SEA,2,4,5,7,1894.62,21600,91.90,4.485,49200,0
28,mid,0.500,0.450,5,2,ATL,COL,2,4,5,7,1489.97,19700,100.75,10.931,50000,0
29,leverage,0.150,0.073,5,2,CWS,SD,2,4,5,7,2006.51,22800,98.30,4.947,49300,0
30,chalk,0.850,0.880,5,1,KC,SEA,1,4,5,6,2175.22,23600,99.55,5.628,49800,0
31,leverage,0.150,0.000,5,3,SD,CWS,3,3,4,8,2106.09,22800,98.56,7.245,49200,0
32,mid,0.500,0.405,5,3,TEX,DET,0,3,3,5,2142.92,23000,106.65,14.643,49700,0
33,chalk,0.850,0.772,5,2,TEX,DET,0,5,5,5,2028.52,22400,103.37,9.962,49100,0
34,leverage,0.150,0.011,5,3,ATL,COL,3,3,4,8,1554.64,19700,101.07,10.950,48900,0
35,mid,0.500,0.485,5,2,ATL,COL,0,4,4,6,2185.15,23000,105.67,13.437,49900,0
36,chalk,0.850,0.820,5,2,TEX,DET,0,5,5,5,2030.37,22400,104.55,10.710,49400,0
37,leverage,0.150,0.128,5,3,ATL,COL,0,3,3,6,2168.41,23000,106.14,13.293,49000,0
38,leverage,0.150,0.142,5,3,ATL,COL,0,3,3,6,1869.22,21000,103.25,15.136,50000,0
39,mid,0.500,0.576,5,2,ATL,COL,2,4,5,7,1722.09,20900,102.29,10.031,49800,0
40,leverage,0.150,0.135,5,2,CWS,SD,2,4,5,7,2145.44,22800,98.55,4.399,49900,0
41,mid,0.500,0.539,4,3,KC,SEA,0,4,4,4,2568.68,24600,101.97,8.085,49300,0
42,leverage,0.150,0.256,5,3,CWS,SD,0,4,4,5,1915.44,22100,97.09,4.040,49900,0
43,chalk,0.850,0.932,4,4,ATL,COL,0,3,3,5,2118.11,22900,104.87,13.123,49600,0
44,leverage,0.150,0.000,4,2,CWS,SD,0,5,5,4,2138.22,22900,99.94,5.235,50000,0
45,chalk,0.850,0.823,5,1,ATL,COL,0,4,5,6,1829.10,21000,99.29,11.658,49200,0
46,mid,0.500,0.539,5,2,KC,SEA,1,4,5,6,2094.30,23600,99.29,5.640,48700,0
47,mid,0.500,0.486,5,3,CWS,SD,0,3,3,6,1599.87,19600,97.72,6.084,48800,0
48,leverage,0.150,0.176,4,4,ATL,COL,0,3,3,5,1573.82,20600,100.97,16.369,49900,0
49,chalk,0.850,0.748,5,3,KC,SEA,0,2,2,6,1893.81,21500,89.93,5.114,48500,0
50,mid,0.500,0.636,5,2,ATL,COL,2,4,5,7,1709.39,20900,103.33,12.611,50000,0
51,leverage,0.150,0.169,5,3,KC,SEA,0,4,4,5,1333.00,19700,95.41,9.228,49900,0
52,leverage,0.150,0.153,4,3,ATL,COL,0,4,4,5,2159.19,23000,104.07,11.299,49300,0
53,chalk,0.850,0.836,5,2,ATL,COL,0,4,5,5,1320.19,19600,102.43,12.143,49900,0
54,mid,0.500,0.660,5,1,KC,SEA,1,4,5,6,1994.22,22900,98.87,6.369,49900,0
55,mid,0.500,0.363,5,2,ATL,COL,0,4,4,6,2136.00,23000,107.12,13.669,49500,0
56,leverage,0.150,0.122,5,2,LAD,STL,0,4,5,5,1456.57,19700,94.46,8.066,49200,0
57,mid,0.500,0.454,4,3,SEA,KC,1,4,5,5,1949.90,22400,99.19,4.994,49700,0
58,chalk,0.850,0.743,5,2,KC,SEA,0,3,3,6,2133.07,23900,95.09,4.653,50000,0
59,mid,0.500,0.413,5,3,KC,SEA,0,2,2,6,1893.81,21500,88.68,4.953,48500,0
60,mid,0.500,0.523,5,3,TEX,DET,0,3,3,5,2168.32,23000,104.36,13.690,49200,0
61,leverage,0.150,0.292,5,3,LAD,STL,0,3,3,6,1415.77,19400,87.39,7.702,49600,0
62,mid,0.500,0.210,5,3,KC,SEA,0,2,2,6,2157.22,23500,89.12,2.849,49800,0
63,chalk,0.850,0.664,5,3,ATL,COL,0,3,3,6,2021.61,22900,104.36,10.142,49900,0
64,chalk,0.850,0.908,5,2,ATL,COL,0,5,5,5,1607.36,20900,102.55,11.061,49800,0
65,chalk,0.850,0.816,5,2,KC,SEA,0,5,5,5,2085.19,23600,99.66,5.508,50000,0
66,leverage,0.150,0.158,4,3,COL,ATL,3,4,5,7,1628.62,20900,99.84,5.676,49400,0
67,chalk,0.850,0.875,5,1,KC,SEA,1,3,4,6,2089.11,23600,97.61,4.334,49400,0
68,chalk,0.850,0.758,5,1,ATL,COL,0,4,4,6,2019.41,22700,103.53,10.283,50000,0
69,chalk,0.850,1.000,5,2,COL,ATL,0,4,4,6,1289.53,19700,96.89,5.842,49900,0
70,mid,0.500,0.444,4,4,ATL,COL,0,3,3,5,2252.47,23000,104.97,13.954,49200,0
71,chalk,0.850,0.728,5,3,KC,SEA,0,4,4,5,2159.63,23600,98.93,6.393,48000,0
72,mid,0.500,0.369,5,2,TEX,DET,0,4,5,5,2732.84,24900,97.79,7.261,48400,0
73,chalk,0.850,0.865,4,2,SEA,KC,0,5,5,4,2201.45,23000,101.32,8.915,49400,0
74,chalk,0.850,0.919,5,2,KC,SEA,2,4,5,7,2829.91,26300,97.51,5.471,49400,0
75,leverage,0.150,0.329,5,3,ATL,COL,3,3,4,8,1600.00,20800,102.83,11.366,49000,0
