P,P,C,1B,2B,3B,SS,OF,OF,OF
42957643,42957641,42957667,42957656,42957679,42957758,42957741,42957722,42957695,42957653
42957638,42957641,42957710,42957655,42957719,42957671,42957648,42957733,42957781,42957782
42957641,42957640,42957667,42957655,42957719,42957671,42957689,42957722,42957801,42957733
42957638,42957641,42957778,42957707,42957719,42957671,42957674,42957728,42957733,42957651
42957638,42957641,42957778,42957656,42957713,42957671,42957741,42957653,42957733,42957764
42957638,42957641,42957788,42957656,42957666,42957720,42957741,42957718,42957653,42957749
42957638,42957641,42957788,42957734,42957666,42957814,42957658,42957749,42957711,42957651
42957638,42957641,42957705,42957684,42957666,42957766,42957731,42957822,42957695,42957653
42957638,42957641,42957705,42957678,42957666,42957682,42957648,42957728,42957785,42957781
42957638,42957641,42957694,42957678,42957752,42957713,42957658,42957651,42957782,42957727
42957638,42957641,42957706,42957656,42957803,42957673,42957739,42957755,42957653,42957695
42957643,42957641,42957667,42957730,42957713,42957758,42957674,42957722,42957685,42957651
42957638,42957641,42957710,42957655,42957719,42957671,42957674,42957764,42957781,42957727
42957638,42957641,42957654,42957656,42957762,42957766,42957741,42957822,42957653,42957695
42957638,42957641,42957778,42957707,42957719,42957671,42957674,42957755,42957733,42957651
42957638,42957641,42957778,42957649,42957719,42957671,42957648,42957728,42957824,42957733
42957638,42957641,42957694,42957678,42957752,42957713,42957658,42957685,42957782,42957727
42957641,42957640,42957667,42957762,42957713,42957758,42957658,42957738,42957685,42957651
42957638,42957641,42957710,42957678,42957803,42957682,42957648,42957785,42957653,42957782
42957638,42957640,42957788,42957762,42957713,42957671,42957674,42957733,42957749,42957651
42957638,42957641,42957710,42957678,42957719,42957671,42957648,42957733,42957782,42957727
42957638,42957641,42957705,42957656,42957666,42957766,42957741,42957755,42957718,42957653
42957638,42957641,42957659,42957678,42957803,42957682,42957648,42957688,42957782,42957781
42957638,42957641,42957659,42957655,42957744,42957671,42957739,42957728,42957764,42957733
42957638,42957641,42957768,42957656,42957803,42957720,42957669,42957728,42957695,42957653
42957638,42957641,42957659,42957678,42957661,42957686,42957674,42957764,42957824,42957733
42957638,42957646,42957659,42957678,42957713,42957682,42957648,42957688,42957782,42957781
42957646,42957641,42957654,42957656,42957666,42957758,42957741,42957681,42957738,42957653
42957638,42957641,42957705,42957655,42957719,42957736,42957674,42957733,42957764,42957672
42957638,42957641,42957659,42957678,42957752,42957676,42957648,42957718,42957781,42957782
42957638,42957641,42957759,42957655,42957769,42957736,42957674,42957672,42957764,42957661
42957638,42957641,42957654,42957725,42957791,42957720,42957669,42957785,42957695,42957653
42957638,42957641,42957659,42957725,42957803,42957720,42957669,42957728,42957672,42957688
42957646,42957641,42957654,42957656,42957666,42957758,42957741,42957722,42957653,42957738
42957638,42957641,42957654,42957656,42957803,42957746,42957741,42957728,42957653,42957718
42957638,42957641,42957659,42957725,42957803,42957720,42957669,42957728,42957661,42957688
42957638,42957641,42957768,42957656,42957803,42957673,42957741,42957728,42957695,42957653
42957638,42957646,42957659,42957656,42957666,42957820,42957739,42957653,42957695,42957718
42957643,42957641,42957654,42957656,42957666,42957758,42957741,42957653,42957722,42957764
42957638,42957641,42957778,42957655,42957791,42957671,42957674,42957661,42957801,42957672
42957638,42957636,42957710,42957678,42957752,42957720,42957669,42957728,42957695,42957782
42957638,42957641,42957705,42957684,42957719,42957671,42957674,42957665,42957733,42957764
42957638,42957641,42957654,42957725,42957666,42957673,42957669,42957791,42957816,42957695
42957638,42957641,42957654,42957655,42957744,42957671,42957674,42957821,42957733,42957735
42957638,42957646,42957694,42957656,42957803,42957673,42957741,42957653,42957695,42957693
42957638,42957641,42957694,42957678,42957752,42957720,42957648,42957728,42957727,42957735
42957646,42957641,42957778,42957655,42957666,42957671,42957674,42957695,42957653,42957824
42957644,42957641,42957654,42957725,42957666,42957720,42957669,42957785,42957695,42957653
42957647,42957637,42957694,42957678,42957679,42957682,42957648,42957738,42957722,42957782
