P,P,C,1B,2B,3B,SS,OF,OF,OF
42614727,42614724,42615032,42614754,42614931,42614799,42614902,42614815,42615046,42614772
42614727,42614724,42615032,42614754,42614931,42615046,42614902,42614815,42614783,42614772
42614727,42614724,42614920,42614847,42614794,42614962,42615013,42614823,42614819,42614772
42614724,42614733,42614755,42614771,42615150,42615010,42614780,42614832,42615036,42614756
42614724,42614725,42615039,42614771,42614789,42615010,42614915,42614746,42614877,42615036
42614731,42614724,42614901,42614847,42614880,42614799,42614962,42614933,42614758,42614772
42614724,42614727,42614920,42614880,42614803,42614946,42614792,42615061,42614843,42614746
42614731,42614724,42614910,42614847,42614880,42614962,42614748,42614897,42614832,42614756
42614737,42614724,42614890,42614847,42614880,42614962,42614780,42614897,42614756,42614752
42614727,42614724,42615026,42614900,42614794,42615046,42614766,42614833,42614819,42614772
42614724,42614727,42615014,42614823,42615024,42614891,42614780,42614756,42614898,42614772
42614727,42614724,42615026,42614900,42614874,42614799,42614902,42614758,42614898,42614772
42614724,42614727,42614769,42614880,42615024,42614891,42614780,42615075,42614756,42614833
42614724,42614727,42615026,42614900,42614794,42615046,42614766,42614758,42614898,42614823
42614727,42614724,42615026,42614900,42614874,42615046,42614902,42614756,42614758,42614772
42614731,42614724,42614755,42614847,42614880,42614822,42614962,42614933,42614819,42614772
42614737,42614724,42614890,42614847,42614880,42614776,42614962,42614897,42614796,42614752
42614727,42614724,42615014,42614922,42614794,42614822,42614807,42614924,42614819,42614772
42614724,42614727,42615014,42614785,42614873,42614860,42614766,42614772,42615046,42614898
42614724,42614725,42614920,42614880,42614803,42614799,42614875,42615061,42614752,42614955
42614724,42614727,42615025,42614880,42614803,42614812,42614757,42615061,42614897,42614783
42614724,42614727,42615014,42614765,42614863,42615046,42614902,42614859,42614758,42614772
42614724,42614740,42614890,42614847,42614880,42614962,42614748,42614897,42614796,42614752
42614737,42614724,42614920,42614880,42614803,42614971,42614751,42615061,42614746,42614825
42614727,42614724,42614890,42614847,42614880,42614962,42614748,42615061,42614933,42614752
42614732,42614724,42615032,42614754,42614931,42615046,42614749,42614815,42614932,42614772
