rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherInBringBackTeam
1,-2.146,4,3,SF,MIA,0,3,4,5,2613.60,25200,91.70,6.063,48900,0,0
2,-2.287,4,4,SF,MIA,0,3,3,5,2621.24,24900,91.05,7.068,49100,0,0
3,-4.369,4,1,SF,MIA,0,4,6,5,2506.01,24900,92.88,6.008,48700,0,0
4,-4.442,4,3,SF,MIA,0,3,3,5,2618.19,24900,92.55,7.462,48100,0,0
5,-4.465,4,3,SF,MIA,0,4,4,5,2563.59,24900,92.42,7.121,49000,0,0
6,-4.505,4,2,SF,MIA,0,4,5,5,2535.53,24900,92.18,5.529,48100,0,0
7,-4.515,4,2,SF,MIA,0,5,5,5,2484.37,24900,92.09,4.781,49300,0,0
8,-4.518,4,4,SF,MIA,0,3,3,5,2581.39,25500,92.01,2.483,48800,0,0
9,-4.691,4,2,TOR,CLE,0,4,4,5,2526.84,24700,87.12,6.936,48100,0,0
10,-4.798,4,3,TOR,CLE,0,4,4,5,2543.40,24700,86.57,6.760,48100,0,0
11,-4.800,4,4,SF,MIA,0,3,3,5,2516.66,24900,90.73,6.514,48800,0,0
12,-4.914,4,2,SF,MIA,0,3,3,5,2274.29,23300,91.06,8.706,48400,0,0
13,-5.027,4,4,SF,MIA,0,3,3,5,2682.91,25300,90.13,6.979,48000,0,0
14,-5.034,4,2,SF,MIA,0,4,4,5,2591.14,24300,90.07,6.420,48000,0,0
15,-5.181,4,2,SF,MIA,0,4,5,5,2653.77,25600,89.33,6.803,48500,0,0
16,-5.216,4,3,SF,MIA,0,4,4,5,2649.98,25300,89.23,6.742,48600,0,0
17,-5.232,4,4,SF,MIA,0,3,3,5,2290.00,23900,89.30,2.697,48300,0,0
18,-5.244,5,2,SF,MIA,0,3,4,6,2575.73,24900,93.47,5.709,49400,0,0
19,-5.390,4,4,SF,MIA,0,3,3,5,2584.20,25600,88.24,4.700,49700,0,0
20,-5.418,4,2,SF,MIA,0,4,4,5,2030.89,22100,88.98,7.263,49500,0,0
21,-5.470,4,2,SF,MIA,0,3,4,5,2239.84,23300,88.26,6.529,48100,0,0
22,-5.495,4,1,TB,MIN,0,5,5,4,1962.17,22200,90.83,9.778,48700,0,0
23,-5.503,5,1,SF,MIA,0,4,4,6,2244.13,23400,92.62,7.259,49700,0,0
24,-5.524,4,2,TB,MIN,0,5,5,5,2062.16,22800,91.11,11.404,49500,0,0
25,-5.529,4,4,TB,MIN,0,3,3,5,2506.01,24900,89.97,14.593,48700,0,0
26,-5.541,4,4,SF,MIA,0,3,3,5,2257.79,23900,87.74,2.487,49200,0,0
27,-5.546,4,3,SF,MIA,0,4,5,4,2105.23,22900,88.38,8.087,50000,0,0
28,-5.551,4,3,TB,MIN,0,4,4,4,2639.77,24900,89.74,9.440,48400,0,0
29,-5.597,4,3,TB,MIN,0,5,5,4,2601.85,25300,90.16,13.392,49200,0,0
30,-5.608,4,3,SF,MIA,0,3,3,5,2235.82,23600,87.52,6.787,49900,0,0
31,-5.687,4,4,SF,MIA,0,2,2,5,2666.18,25200,86.76,5.340,48500,0,0
32,-5.690,4,2,SF,MIA,0,4,5,4,2320.97,23500,87.97,6.756,48100,0,0
33,-5.706,4,2,SF,MIA,0,4,4,5,2076.54,22100,87.50,5.431,49000,0,0
34,-5.731,5,1,SF,MIA,0,4,4,6,2588.05,24600,91.01,5.737,48000,0,0
35,-5.735,5,3,SF,MIA,0,3,3,6,2613.89,24900,91.00,5.839,48400,0,0
36,-5.766,5,2,SF,MIA,0,4,4,6,2512.69,23900,90.82,3.547,48200,0,0
37,-5.767,4,2,SF,MIA,0,4,4,5,2120.00,22100,87.19,5.111,48600,0,0
38,-5.838,4,2,TB,MIN,0,4,5,4,2324.24,24200,88.71,10.084,49300,0,0
39,-5.860,4,3,TOR,CLE,0,4,5,4,2601.23,24800,92.49,9.380,48400,0,0
40,-5.867,5,2,SF,MIA,0,3,3,6,2293.49,23400,90.77,6.799,48700,0,0
41,-5.871,4,3,TOR,CLE,0,4,4,4,2332.14,23400,92.90,10.875,48900,0,0
42,-5.881,5,2,SF,MIA,0,4,4,6,2520.71,23900,90.26,5.571,48000,0,0
43,-5.889,4,2,TB,MIN,0,4,5,5,2175.98,23300,88.93,5.988,48900,0,0
44,-5.899,5,2,SF,MIA,0,3,3,6,2535.35,24600,90.18,6.445,49000,0,0
45,-5.918,4,3,TB,MIN,0,3,3,5,2142.45,22800,89.17,14.159,48700,0,0
46,-5.938,4,4,TB,MIN,0,3,3,5,2492.41,24800,88.76,14.946,48700,0,0
47,-5.950,4,4,TOR,CLE,0,4,4,4,2595.09,24800,92.05,9.755,48500,0,0
48,-6.033,5,1,SF,MIA,0,4,4,6,2601.92,24300,90.05,6.166,48000,0,0
49,-6.036,5,2,SF,MIA,0,4,4,6,2614.59,25300,90.05,6.637,49700,0,0
50,-6.039,4,3,TB,MIN,0,4,4,4,2116.03,23200,88.64,11.776,49800,0,0
51,-6.042,5,2,SF,MIA,0,3,3,6,2557.34,24300,90.01,6.210,49000,0,0
52,-6.066,4,2,SF,MIA,0,5,5,5,2680.30,25600,84.97,4.275,48000,0,0
53,-6.116,4,3,TB,MIN,0,4,4,5,2078.46,22800,88.07,4.780,48000,0,0
54,-6.144,4,3,SF,MIA,0,4,4,5,2084.73,22000,85.28,4.639,48300,0,0
55,-6.249,4,3,SEA,STL,0,3,3,5,2527.13,24800,93.69,11.606,49600,0,0
56,-6.256,4,3,TOR,CLE,0,4,4,5,2556.48,24900,91.39,10.419,49800,0,0
57,-6.288,4,2,TOR,CLE,0,4,5,4,2512.55,24700,90.62,7.764,48100,0,0
58,-6.291,4,3,SF,MIA,0,4,4,4,2246.24,23200,85.05,6.345,48200,0,0
59,-6.294,4,3,SEA,STL,0,3,3,5,2551.55,24900,93.46,9.429,49400,0,0
60,-6.307,4,3,TB,MIN,0,3,3,5,2016.46,22800,87.10,4.795,48700,0,0
61,-6.328,5,2,SF,MIA,0,4,4,6,2710.15,25300,88.58,5.931,48100,0,0
62,-6.332,4,3,TOR,CLE,0,3,4,5,2717.81,25600,90.72,10.163,49500,0,0
63,-6.383,4,2,TB,MIN,0,4,4,5,2186.80,23200,87.41,16.098,49300,0,0
64,-6.405,4,2,TB,MIN,0,4,5,5,2094.66,22100,86.37,10.775,48200,0,0
65,-6.410,4,4,SEA,STL,0,2,2,5,2467.06,24300,92.86,9.699,49400,0,0
66,-6.444,4,4,TB,MIN,0,3,3,5,2499.62,24800,86.21,14.420,48700,0,0
67,-6.493,4,4,TB,MIN,0,4,4,4,2445.10,23800,85.81,7.186,48500,0,0
68,-6.552,4,3,SF,MIA,0,3,4,5,2376.47,23400,94.35,8.754,48800,0,0
69,-6.563,4,4,TOR,CLE,0,4,4,4,2549.59,24900,88.95,8.130,48600,0,0
70,-6.565,4,4,TB,MIN,0,3,3,5,2284.32,23900,85.46,4.432,48300,0,0
71,-6.578,4,3,TB,MIN,0,4,4,4,2086.84,22200,85.96,6.885,48100,0,0
72,-6.596,4,4,SEA,STL,0,3,3,5,1992.49,22400,93.23,17.860,50000,0,0
73,-6.608,4,4,SEA,STL,0,3,3,5,2580.31,25500,91.80,4.526,50000,0,0
74,-6.613,4,2,TB,MIN,0,4,4,4,1773.27,21300,86.22,14.073,48500,0,0
75,-6.638,4,4,SEA,STL,0,3,3,5,2591.45,24800,91.77,12.281,48800,0,0
