P,P,C,1B,2B,3B,SS,OF,OF,OF
42748881,42748879,42749058,42748900,42748955,42748961,42748924,42749036,42748958,42748892
42748881,42748879,42749058,42748898,42749001,42748895,42748924,42749036,42748989,42748908
42748881,42748879,42749058,42748965,42748930,42748895,42748924,42748958,42748926,42748963
42748881,42748879,42749058,42748907,42749031,42748895,42748924,42748915,42749006,42748989
42748881,42748879,42749058,42748900,42748948,42748895,42748924,42748989,42748958,42748985
42748881,42748879,42749058,42748965,42748955,42748895,42748924,42748958,42748926,42748963
42748881,42748879,42749058,42748965,42748955,42748895,42748924,42748912,42748958,42748926
42748881,42748879,42749058,42749008,42748928,42748891,42748924,42748937,42748929,42748989
42748881,42748880,42749039,42748896,42748974,42748961,42748924,42748915,42749009,42748926
42748881,42748880,42749039,42748896,42748928,42748974,42748924,42749009,42748989,42748908
42748881,42748879,42749058,42748965,42748948,42748895,42748924,42748958,42748908,42748960
42748879,42748884,42749058,42748898,42748928,42748895,42748924,42748958,42748963,42748988
42748880,42748879,42749058,42748907,42749001,42748895,42748924,42748989,42748985,42748960
42748880,42748879,42749058,42748907,42748974,42748936,42748924,42748989,42748908,42748956
42748880,42748879,42749058,42748983,42748955,42748917,42748924,42748958,42748988,42748892
42748880,42748879,42749058,42748965,42749001,42748895,42748910,42748958,42748989,42748908
42748879,42748884,42749058,42749008,42748928,42748891,42748924,42748912,42748929,42748958
42748881,42748879,42749058,42748965,42748930,42748895,42748924,42748958,42749036,42748897
42748880,42748879,42749058,42748965,42748955,42748917,42748924,42748926,42748892,42748966
42748879,42748887,42749058,42748907,42748903,42748917,42748910,42748958,42748897,42748951
42748879,42748884,42749058,42748965,42748928,42748895,42748910,42748958,42748966,42748908
42748889,42748879,42748916,42748925,42748948,42748891,42748924,42748988,42748908,42748960
42748879,42748883,42749058,42748907,42748928,42748917,42748910,42748915,42749036,42748897
42748881,42748884,42748978,42748900,42748948,42748895,42748910,42749014,42748960,42748908
42748881,42748879,42748992,42748938,42748948,42748895,42749001,42748915,42749006,42748920
42748879,42748884,42749058,42748907,42748928,42748891,42748990,42748912,42748929,42748958
42748880,42748883,42748902,42748907,42748928,42748917,42748964,42748920,42748915,42749036
42748881,42748879,42748992,42748896,42748948,42748895,42748924,42749048,42749015,42748985
42748880,42748879,42749045,42748925,42748948,42748895,42748910,42748920,42749006,42748985
42748879,42748884,42749058,42748898,42748928,42748993,42748924,42748958,42748892,42748911
42748880,42748879,42749058,42748896,42748928,42748917,42748924,42749048,42748922,42749009
42748880,42748884,42749058,42748965,42748955,42748895,42748924,42748989,42748963,42748892
42748879,42748887,42749058,42748907,42748903,42748917,42748910,42748995,42748958,42748897
42748881,42748879,42749058,42748907,42748974,42748898,42748924,42748920,42749036,42748989
42748881,42748879,42749058,42748907,42749001,42748895,42748924,42749036,42748989,42748908
42748881,42748879,42749058,42748907,42748928,42748917,42748910,42748929,42749036,42748963
42748879,42748887,42749058,42748907,42748903,42748917,42748910,42749027,42748958,42748897
42748879,42748883,42748992,42748898,42748948,42748891,42748981,42748912,42748963,42748985
42748881,42748879,42749039,42748896,42748930,42748974,42748981,42748960,42748897,42748991
42748879,42748883,42749058,42748907,42748928,42748917,42748910,42749036,42748897,42748951
42748879,42748883,42749039,42748900,42748974,42748919,42748910,42749048,42748922,42748897
42748881,42748879,42749058,42748907,42748928,42748917,42748910,42748937,42749036,42748963
42748879,42748884,42749045,42748925,42748948,42748895,42748964,42748915,42748929,42748908
42748881,42748879,42749058,42748907,42748928,42748898,42748924,42748920,42749036,42748985
42748881,42748884,42748902,42748925,42748948,42748895,42749018,42748920,42749068,42748908
42748881,42748880,42748992,42748925,42748948,42748895,42749018,42748915,42749006,42748920
42748881,42748879,42749039,42748896,42748930,42748974,42748981,42748951,42748897,42748991
