rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherInBringBackTeam
1,-2.069,4,2,MIN,DET,0,4,4,5,1623.11,20500,85.08,5.226,48500,0,0
2,-3.039,4,3,MIN,DET,0,4,5,4,1800.81,21700,89.85,5.491,48100,0,0
3,-3.053,4,2,MIN,DET,0,4,4,4,1932.25,22300,90.29,7.297,48800,0,0
4,-3.116,4,2,MIN,DET,0,4,4,4,1804.00,22300,89.23,5.888,49600,0,0
5,-3.145,4,2,MIN,DET,0,4,4,4,1794.46,22300,89.09,7.053,49700,0,0
6,-3.188,4,3,MIN,DET,0,4,4,4,1872.14,22300,88.92,7.727,48100,0,0
7,-3.321,4,2,MIN,DET,0,4,4,4,1848.27,22300,88.21,6.965,48700,0,0
8,-3.374,4,2,MIN,DET,0,4,4,4,1933.49,22300,88.69,5.942,48600,0,0
9,-3.455,4,2,MIN,DET,0,4,4,5,1656.38,21300,87.76,5.867,48200,0,0
10,-3.549,4,2,MIN,DET,0,4,4,4,1919.40,22300,87.12,5.005,48300,0,0
11,-3.659,4,2,MIN,DET,0,4,4,4,1862.28,22300,86.53,7.216,48300,0,0
12,-3.660,4,2,MIN,DET,0,4,5,4,1734.62,21100,86.40,5.205,48100,0,0
13,-3.673,4,3,MIN,DET,0,4,4,4,1883.11,22300,87.17,7.159,49300,0,0
14,-3.842,4,2,MIN,DET,0,3,4,5,1544.05,20300,85.75,5.759,48300,0,0
15,-3.929,4,2,MIN,DET,0,3,3,5,1781.82,21700,86.13,8.757,48100,0,0
16,-4.022,4,2,MIN,DET,0,4,5,4,1795.24,22000,86.00,6.667,48100,0,0
17,-4.087,4,2,MIN,DET,0,4,4,5,1772.15,21700,85.31,7.890,48500,0,0
18,-4.219,4,3,MIN,DET,0,4,4,4,1797.78,21200,84.28,6.086,48000,0,0
19,-4.308,4,3,MIN,DET,0,4,4,5,1577.50,20500,83.37,4.568,49500,0,0
20,-4.365,4,2,MIN,DET,0,4,4,5,1759.43,21700,84.50,6.753,48200,0,0
21,-4.396,4,2,MIN,DET,0,4,5,4,1830.55,22000,84.10,4.720,48100,0,0
22,-4.476,4,3,MIN,DET,0,3,3,5,1616.94,21000,84.58,6.112,48500,0,0
23,-4.493,4,3,MIN,DET,0,3,3,5,1765.67,21700,83.79,5.366,49200,0,0
24,-4.540,4,4,TB,CHC,0,4,4,4,2119.53,23300,97.46,16.080,49400,0,0
25,-4.564,5,3,MIN,DET,0,4,4,5,1896.84,22300,86.88,6.114,48000,0,0
26,-4.801,4,2,MIN,DET,0,4,5,4,1711.72,21700,90.59,8.044,49000,0,0
27,-4.807,4,2,MIN,DET,0,4,4,4,1892.51,22300,91.05,8.059,49200,0,0
28,-4.881,4,3,MIN,DET,0,4,4,5,1546.09,21300,90.88,9.451,49600,0,0
29,-4.912,4,2,MIN,DET,0,3,4,5,1648.06,21000,82.28,4.267,48300,0,0
30,-4.990,4,2,MIN,DET,0,4,4,4,1700.85,21300,81.52,4.437,49100,0,0
31,-5.016,4,4,ATH,NYY,0,3,3,5,1944.33,22300,92.80,9.229,49600,0,0
32,-5.038,4,2,MIN,DET,0,4,4,5,1652.15,21300,90.07,7.090,49200,0,0
33,-5.082,4,2,ATH,NYY,0,4,5,4,2043.43,22300,92.42,7.802,49200,0,0
34,-5.093,4,3,MIN,DET,0,4,4,4,1809.97,21600,88.46,6.758,48000,0,0
35,-5.135,4,4,TB,CHC,0,3,3,5,1943.30,22400,94.41,14.580,49400,0,0
36,-5.161,4,3,MIN,DET,0,4,4,5,1675.26,21300,88.87,9.208,48500,0,0
37,-5.259,4,2,MIN,DET,0,3,3,5,1537.82,20300,80.41,4.437,48100,0,0
38,-5.433,5,3,MIN,DET,0,3,3,5,1852.67,22500,91.71,7.365,49400,0,0
39,-5.534,4,4,TB,CHC,0,4,4,4,1740.14,21300,93.76,18.373,49300,0,0
40,-5.549,4,3,MIN,DET,0,3,3,4,1319.89,19800,79.57,4.768,49700,0,0
41,-5.586,4,2,MIN,DET,0,3,4,5,1568.47,21000,87.90,6.277,49300,0,0
42,-5.589,4,2,MIN,DET,0,4,4,5,1526.96,20100,86.58,7.113,48200,0,0
43,-5.676,5,2,MIN,DET,0,3,3,6,1793.57,21700,82.79,4.587,48900,0,0
44,-5.693,4,2,MIN,DET,0,4,4,5,1543.24,20400,86.04,6.236,48200,0,0
45,-5.726,4,2,MIN,DET,0,4,4,5,1492.51,20400,86.52,6.255,48200,0,0
46,-5.733,4,4,TB,CHC,0,3,3,5,2129.34,23500,92.53,19.082,49700,0,0
47,-5.770,4,4,TB,CHC,0,4,4,4,1687.16,21300,92.59,19.095,48500,0,0
48,-5.841,4,3,TB,CHC,0,3,4,5,1999.22,22600,90.76,10.023,49100,0,0
49,-5.846,4,3,MIN,DET,0,4,4,4,1745.16,22000,86.33,5.210,49800,0,0
50,-5.858,4,3,TB,CHC,0,4,4,5,2176.24,23500,91.83,15.184,50000,0,0
51,-5.882,4,2,TB,CHC,0,4,5,4,2152.88,22800,91.27,13.101,48100,0,0
52,-5.893,4,2,MIN,DET,0,4,4,4,1861.83,22000,86.22,5.819,48600,0,0
53,-5.927,4,3,MIN,DET,0,4,4,5,1655.78,21000,86.22,7.554,49200,0,0
54,-5.939,4,4,MIN,DET,0,4,4,4,1771.55,22000,85.83,4.732,49400,0,0
55,-5.951,4,3,MIN,DET,0,4,5,4,1791.68,22000,85.73,4.564,48700,0,0
56,-5.994,4,1,MIN,DET,0,4,5,5,1598.75,21000,85.84,7.095,48000,0,0
57,-6.013,5,2,MIN,DET,0,4,4,5,1953.48,22500,89.39,5.839,48300,0,0
58,-6.030,5,2,MIN,DET,0,4,4,5,1853.89,22500,89.31,6.087,48900,0,0
59,-6.057,4,2,MIN,DET,0,4,5,4,1798.47,22200,85.50,7.994,48500,0,0
60,-6.058,4,3,MIN,DET,0,4,5,4,1787.62,22000,85.22,4.340,49200,0,0
61,-6.058,4,2,MIN,DET,0,3,4,5,1724.79,20900,85.59,6.236,48100,0,0
62,-6.105,5,1,MIN,DET,0,4,5,5,1806.10,21800,88.91,4.155,49000,0,0
63,-6.133,4,2,TB,CHC,0,4,4,5,2154.74,22800,90.38,13.144,48100,0,0
64,-6.159,4,3,MIN,DET,0,4,4,5,1398.18,20300,84.28,5.136,49100,0,0
65,-6.170,4,2,TB,CHC,0,4,4,5,2025.24,22800,90.19,12.139,49200,0,0
66,-6.177,4,4,MIN,DET,0,4,4,4,1654.24,21100,83.91,4.398,48500,0,0
67,-6.206,4,4,CHC,TB,0,4,4,4,2040.12,23300,100.80,19.078,49700,0,0
68,-6.228,4,2,MIN,DET,0,4,5,4,1824.28,22000,84.38,6.279,48000,0,0
69,-6.244,5,3,MIN,DET,0,4,4,5,1825.62,21700,87.56,5.917,48100,0,0
70,-6.295,4,4,TB,CHC,0,4,4,4,2053.19,22400,88.43,7.584,48200,0,0
71,-6.338,4,2,MIN,DET,0,4,4,5,1467.65,20300,83.38,5.087,48000,0,0
72,-6.348,4,4,CHC,TB,0,4,4,4,2047.83,23300,100.09,19.130,49200,0,0
73,-6.352,4,2,CHC,TB,0,4,4,4,1932.59,22500,100.07,21.004,49900,0,0
74,-6.382,4,2,ATH,NYY,0,3,5,4,1605.15,20800,87.12,8.286,49500,0,0
75,-6.393,4,2,MIN,DET,0,4,5,4,1728.00,21500,83.74,6.541,48000,0,0
