rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,pitcherInBringBackTeam
1,-4.895,4,3,CWS,SD,0,3,3,4,2144.78,23000,98.47,4.678,49300,0,0
2,-5.239,4,2,CWS,SD,0,5,5,4,2113.76,22800,96.65,4.078,50000,0,0
3,-5.449,4,3,TEX,DET,0,4,4,4,2105.61,22900,105.00,11.698,49800,0,0
4,-5.518,4,4,CWS,SD,0,4,4,4,2726.19,25500,95.22,4.901,48300,0,0
5,-5.872,4,2,NYM,LAA,0,5,5,4,2424.07,24800,89.31,6.390,49700,0,0
6,-5.936,4,2,TEX,DET,0,4,4,4,2669.10,25700,102.44,9.843,49700,0,0
7,-6.085,4,2,NYM,LAA,0,4,4,5,2493.91,23900,88.63,8.620,48800,0,0
8,-6.364,4,3,CWS,SD,0,5,5,4,1503.99,20200,92.96,4.087,50000,0,0
9,-6.490,4,3,CWS,SD,0,5,5,4,2027.34,22000,91.97,4.589,48700,0,0
10,-6.555,4,3,CWS,SD,0,4,5,4,1950.62,21500,91.50,3.398,48100,0,0
11,-6.563,4,1,CWS,SD,0,5,5,4,1738.42,21400,91.49,3.871,48700,0,0
12,-6.647,4,3,NYM,LAA,0,3,3,5,2639.62,25800,96.53,9.668,49800,0,0
13,-6.655,4,4,NYM,LAA,0,3,3,5,2700.54,25800,96.48,9.327,49100,0,0
14,-6.708,4,3,DET,TEX,0,5,5,4,2262.65,23500,96.56,4.686,49800,0,0
15,-6.751,4,1,CWS,SD,0,5,6,4,2405.33,23900,90.28,3.354,49800,0,0
16,-6.828,4,2,NYM,LAA,0,4,5,5,2632.03,24900,84.89,7.109,48800,0,0
17,-6.861,4,3,CWS,SD,0,5,5,4,2279.23,23100,89.77,4.044,48100,0,0
18,-6.865,4,2,NYM,LAA,0,5,5,4,1928.32,22400,97.80,11.324,49400,0,0
19,-6.895,4,2,KC,SEA,0,5,5,4,2114.71,23600,102.35,8.026,50000,0,0
20,-6.917,4,3,CWS,SD,0,5,5,4,2337.52,22900,90.11,4.079,49000,0,0
21,-6.920,4,3,TEX,DET,0,4,4,4,2821.35,25800,97.46,9.486,48000,0,0
22,-6.953,4,3,CWS,SD,0,5,5,4,2081.08,22800,100.84,5.625,48900,0,0
23,-6.958,4,3,KC,SEA,0,4,4,4,2568.68,24600,101.97,8.085,49300,0,0
24,-7.055,4,2,TEX,DET,0,4,4,4,2345.66,23600,96.81,6.744,48700,0,0
25,-7.059,4,2,DET,TEX,0,6,6,4,2627.17,24800,94.75,7.270,50000,0,0
26,-7.080,4,3,CWS,SD,0,3,3,4,2137.50,23000,100.27,5.255,49100,0,0
27,-7.100,4,3,CWS,SD,0,3,3,4,2087.97,23000,100.18,5.319,49800,0,0
28,-7.105,4,3,TEX,DET,0,4,4,4,2744.61,25400,96.56,10.070,48100,0,0
29,-7.133,4,2,CWS,SD,0,5,5,4,2138.22,22900,99.94,5.235,50000,0,0
30,-7.142,4,2,NYM,LAA,0,4,4,4,2223.06,23800,96.35,10.104,50000,0,0
31,-7.181,4,3,TEX,DET,0,4,4,4,2348.28,23600,96.17,6.330,48400,0,0
32,-7.213,4,2,TEX,DET,0,4,4,4,2642.14,24700,95.96,7.555,48900,0,0
33,-7.246,4,3,CWS,SD,0,4,5,4,1989.50,22400,99.35,4.785,49300,0,0
34,-7.254,4,3,TEX,DET,0,5,5,4,2658.87,24600,95.73,6.758,49200,0,0
35,-7.262,4,3,LAA,NYM,0,4,4,4,2150.56,23200,91.92,4.315,49900,0,0
36,-7.264,4,4,NYM,LAA,0,3,3,5,2764.58,25800,94.38,7.535,48100,0,0
37,-7.289,4,4,NYM,LAA,0,3,3,5,1947.20,22100,96.68,14.265,49800,0,0
38,-7.304,4,4,SD,CWS,0,3,3,5,1930.52,22200,105.02,15.718,49900,0,0
39,-7.306,4,3,DET,TEX,0,5,5,4,2257.96,23500,93.56,5.754,48400,0,0
40,-7.312,4,3,CWS,SD,0,4,4,4,2154.55,21500,88.14,3.971,48700,0,0
41,-7.317,4,3,CWS,SD,0,3,3,4,2183.12,23000,99.09,5.164,49000,0,0
42,-7.323,4,3,CWS,SD,0,5,5,4,2057.18,22800,98.97,4.994,50000,0,0
43,-7.323,4,3,TEX,DET,0,5,5,4,2739.73,24600,95.39,7.237,48300,0,0
44,-7.393,4,3,TEX,DET,0,4,4,4,2148.12,22800,96.55,12.069,49600,0,0
45,-7.396,4,2,NYM,LAA,0,5,5,4,1987.18,21800,94.78,9.497,49900,0,0
46,-7.407,4,2,LAA,NYM,0,5,5,4,2191.80,23200,91.19,4.290,49000,0,0
47,-7.414,4,3,NYM,LAA,0,4,4,4,2191.44,23700,94.99,11.121,49600,0,0
48,-7.478,4,2,NYM,LAA,0,5,5,4,2209.55,23800,94.65,9.671,48700,0,0
49,-7.481,4,2,NYM,LAA,0,5,6,4,1977.47,22400,94.65,9.125,48600,0,0
50,-7.494,4,4,TEX,DET,0,3,3,5,2147.46,22400,96.08,12.308,48200,0,0
51,-7.507,4,3,CWS,SD,0,5,5,4,2156.87,22500,87.50,3.279,49700,0,0
52,-7.533,4,4,KC,SEA,0,4,4,4,2184.70,23600,99.03,3.910,49900,0,0
53,-7.537,4,2,NYM,LAA,0,4,4,5,2579.55,25100,94.56,11.811,49300,0,0
