P,P,C,1B,2B,3B,SS,OF,OF,OF
42957638,42957641,42957778,42957656,42957713,42957671,42957708,42957653,42957733,42957801
42957638,42957641,42957705,42957655,42957699,42957663,42957674,42957665,42957801,42957824
42957638,42957641,42957654,42957725,42957666,42957671,42957669,42957785,42957816,42957695
42957638,42957636,42957778,42957655,42957719,42957720,42957669,42957785,42957728,42957801
42957638,42957637,42957706,42957740,42957851,42957676,42957674,42957733,42957793,42957652
42957638,42957636,42957778,42957725,42957729,42957720,42957669,42957816,42957653,42957695
42957639,42957636,42957715,42957740,42957851,42957676,42957669,42957728,42957672,42957793
42957647,42957641,42957705,42957655,42957670,42957671,42957648,42957665,42957733,42957801
42957641,42957640,42957705,42957655,42957670,42957746,42957674,42957653,42957801,42957824
42957643,42957641,42957659,42957655,42957752,42957671,42957648,42957801,42957764,42957781
42957643,42957641,42957683,42957649,42957719,42957671,42957658,42957738,42957801,42957733
42957638,42957636,42957715,42957740,42957769,42957686,42957692,42957718,42957793,42957652
42957638,42957636,42957715,42957740,42957791,42957720,42957669,42957728,42957652,42957793
42957638,42957641,42957778,42957655,42957699,42957814,42957663,42957649,42957687,42957801
42957641,42957637,42957778,42957655,42957679,42957746,42957648,42957657,42957824,42957801
42957639,42957636,42957654,42957684,42957670,42957851,42957804,42957681,42957793,42957787
42957641,42957637,42957778,42957655,42957699,42957679,42957663,42957687,42957824,42957801
42957643,42957638,42957659,42957740,42957851,42957696,42957739,42957695,42957690,42957652
42957638,42957641,42957705,42957678,42957666,42957682,42957648,42957728,42957785,42957781
42957647,42957636,42957710,42957655,42957670,42957682,42957648,42957733,42957801,42957824
42957638,42957636,42957715,42957725,42957803,42957720,42957804,42957816,42957661,42957652
42957638,42957641,42957659,42957655,42957744,42957671,42957739,42957728,42957764,42957733
42957638,42957636,42957710,42957678,42957752,42957720,42957669,42957728,42957695,42957782
42957638,42957641,42957710,42957725,42957791,42957673,42957648,42957785,42957816,42957651
42957638,42957636,42957759,42957684,42957699,42957814,42957663,42957687,42957672,42957782
42957638,42957641,42957778,42957656,42957713,42957671,42957741,42957653,42957733,42957764
42957638,42957641,42957778,42957656,42957713,42957671,42957708,42957653,42957733,42957764
42957638,42957636,42957768,42957656,42957791,42957673,42957741,42957728,42957816,42957693
42957638,42957641,42957654,42957655,42957744,42957671,42957674,42957821,42957733,42957735
42957638,42957639,42957705,42957740,42957666,42957851,42957804,42957665,42957695,42957652
42957638,42957641,42957710,42957725,42957791,42957682,42957648,42957785,42957816,42957651
42957638,42957636,42957706,42957725,42957729,42957696,42957669,42957668,42957816,42957785
42957638,42957641,42957659,42957707,42957752,42957671,42957674,42957733,42957764,42957688
42957638,42957636,42957705,42957725,42957670,42957671,42957669,42957755,42957785,42957816
42957638,42957639,42957788,42957730,42957661,42957686,42957658,42957672,42957749,42957727
42957638,42957636,42957715,42957707,42957851,42957820,42957804,42957652,42957688,42957721
42957644,42957638,42957715,42957740,42957666,42957851,42957741,42957695,42957653,42957652
42957638,42957641,42957759,42957717,42957666,42957673,42957741,42957695,42957690,42957661
42957638,42957641,42957683,42957734,42957699,42957814,42957745,42957657,42957649,42957782
42957647,42957636,42957706,42957660,42957719,42957679,42957674,42957657,42957801,42957764
42957638,42957641,42957778,42957656,42957713,42957671,42957708,42957653,42957733,42957824
42957638,42957641,42957659,42957655,42957744,42957671,42957674,42957785,42957733,42957735
42957638,42957636,42957705,42957725,42957670,42957671,42957669,42957785,42957816,42957822
42957638,42957640,42957659,42957725,42957661,42957686,42957669,42957785,42957816,42957690
42957638,42957646,42957715,42957649,42957744,42957696,42957741,42957653,42957793,42957652
42957638,42957639,42957788,42957730,42957661,42957720,42957658,42957672,42957749,42957727
42957638,42957639,42957715,42957740,42957851,42957696,42957741,42957657,42957718,42957653
42957638,42957639,42957715,42957740,42957851,42957720,42957669,42957755,42957695,42957652
42957643,42957638,42957659,42957740,42957851,42957696,42957739,42957690,42957733,42957652
42957638,42957640,42957768,42957725,42957666,42957673,42957669,42957816,42957708,42957695
42957645,42957636,42957683,42957655,42957679,42957671,42957689,42957738,42957801,42957733
42957638,42957641,42957710,42957655,42957719,42957671,42957648,42957733,42957781,42957782
42957639,42957636,42957768,42957740,42957666,42957851,42957804,42957695,42957690,42957652
42957641,42957640,42957706,42957725,42957803,42957720,42957674,42957816,42957649,42957653
42957643,42957641,42957706,42957660,42957699,42957814,42957663,42957687,42957661,42957733
42957638,42957641,42957768,42957656,42957666,42957673,42957669,42957728,42957791,42957695
42957641,42957640,42957706,42957660,42957699,42957814,42957663,42957687,42957661,42957733
42957646,42957641,42957788,42957656,42957762,42957673,42957658,42957708,42957695,42957651
42957638,42957641,42957768,42957656,42957803,42957720,42957669,42957708,42957695,42957653
42957643,42957638,42957694,42957678,42957752,42957682,42957708,42957653,42957695,42957718
42957638,42957641,42957706,42957660,42957779,42957673,42957741,42957657,42957695,42957733
