rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,0.001,5,2,TOR,CLE,0,4,5,5,2584.11,24900,93.78,8.909,49200,0,CLE@TOR,TOR,5,,0
2,-0.035,4,3,MIN,TB,0,5,5,4,2545.51,24700,96.42,14.106,48800,0,MIN@TB,MIN,4,,0
3,-0.038,5,2,MIN,TB,0,4,4,5,2460.89,24700,97.77,12.185,50000,0,MIN@TB,MIN,5,,0
4,-0.049,5,3,MIN,TB,0,4,4,5,2492.81,24700,96.82,14.296,49700,0,MIN@TB,MIN,5,,0
5,-0.080,4,3,MIN,TB,1,3,4,5,2380.36,23400,94.83,9.375,48700,0,MIN@TB,MIN,4,TB,1
6,-0.106,4,1,MIN,TB,1,5,6,5,2491.20,25200,91.12,9.175,49300,0,MIN@TB,MIN,4,TB,1
7,-0.228,4,3,TOR,CLE,0,4,4,4,2332.14,23400,92.90,10.875,48900,0,CLE@TOR,TOR,4,,0
8,-0.269,4,3,TB,MIN,0,4,5,4,2678.08,25500,91.13,10.312,48300,0,MIN@TB,TB,4,,0
9,-0.288,4,1,CLE,TOR,1,4,5,5,2582.27,25500,93.23,3.164,48700,0,CLE@TOR,CLE,4,TOR,1
10,-0.309,4,2,MIN,TB,1,4,5,5,2089.59,23700,93.28,13.885,49400,0,MIN@TB,MIN,4,TB,1
11,-0.332,5,2,MIN,TB,0,4,4,5,2430.23,23600,94.49,13.568,48000,0,MIN@TB,MIN,5,,0
12,-0.341,4,2,MIN,TB,1,5,6,5,2540.39,25200,89.95,9.389,48200,0,MIN@TB,MIN,4,TB,1
13,-0.343,4,3,MIN,TB,1,4,5,5,2269.89,23400,89.99,12.193,48400,0,MIN@TB,MIN,4,TB,1
14,-0.357,4,2,MIN,TB,0,4,4,4,2169.82,23200,94.80,10.497,48700,0,MIN@TB,MIN,4,,0
15,-0.364,5,2,MIN,TB,0,4,5,5,2453.08,25200,94.31,13.040,49800,0,MIN@TB,MIN,5,,0
16,-0.376,4,2,TOR,CLE,1,5,6,5,2590.15,24900,94.68,10.023,49100,0,CLE@TOR,TOR,4,CLE,1
17,-0.381,4,3,MIN,TB,1,4,5,5,2546.45,25200,92.66,11.064,49600,0,MIN@TB,MIN,4,TB,1
18,-0.381,4,2,TOR,CLE,1,4,6,5,2539.31,24900,93.25,9.307,49700,0,CLE@TOR,TOR,4,CLE,1
19,-0.402,4,2,MIN,TB,1,4,5,5,1959.18,21600,95.97,14.574,48400,0,MIN@TB,MIN,4,TB,1
20,-0.406,5,2,MIN,TB,0,4,4,5,2480.40,25200,92.86,11.902,49600,0,MIN@TB,MIN,5,,0
21,-0.410,4,4,MIN,TB,0,4,4,4,2342.31,23600,95.62,14.939,49400,0,MIN@TB,MIN,4,,0
22,-0.410,4,4,MIN,TB,0,4,4,4,2437.62,23600,94.21,13.921,48000,0,MIN@TB,MIN,4,,0
23,-0.415,4,1,TOR,CLE,1,4,6,5,2684.79,25200,90.34,7.576,48300,0,CLE@TOR,TOR,4,CLE,1
24,-0.441,5,3,MIN,TB,0,4,4,5,2381.79,23600,95.04,13.978,48900,0,MIN@TB,MIN,5,,0
25,-0.450,5,2,TB,MIN,0,4,4,5,2342.22,23700,92.20,14.249,50000,0,MIN@TB,TB,5,,0
26,-0.455,5,3,CLE,TOR,0,4,4,5,2576.12,24900,92.20,4.339,48400,0,CLE@TOR,CLE,5,,0
27,-0.458,5,2,WSH,CWS,0,4,4,5,2479.21,24700,91.60,7.170,49500,0,CWS@WSH,WSH,5,,0
28,-0.469,4,4,MIN,TB,0,4,4,4,2490.80,24700,95.16,12.174,49700,0,MIN@TB,MIN,4,,0
29,-0.473,5,2,MIN,TB,0,3,3,5,2435.24,24700,95.58,11.578,49400,0,MIN@TB,MIN,5,,0
30,-0.482,5,1,MIN,TB,0,4,4,5,2427.94,23400,93.37,6.055,48100,0,MIN@TB,MIN,5,,0
31,-0.486,4,2,MIN,TB,0,5,5,4,2242.68,23500,93.05,12.236,48200,0,MIN@TB,MIN,4,,0
32,-0.490,5,2,MIN,TB,0,4,4,5,2468.20,24700,95.29,10.673,50000,0,MIN@TB,MIN,5,,0
33,-0.491,4,2,CLE,TOR,1,4,5,5,2508.57,24900,92.51,4.215,49900,0,CLE@TOR,CLE,4,TOR,1
34,-0.491,5,2,TB,MIN,0,3,3,5,2210.43,23600,92.98,14.256,50000,0,MIN@TB,TB,5,,0
35,-0.492,5,1,MIN,TB,0,4,4,5,2473.88,24700,95.68,9.989,49300,0,MIN@TB,MIN,5,,0
36,-0.499,5,3,MIN,TB,0,3,3,5,2214.50,23200,94.19,13.719,48000,0,MIN@TB,MIN,5,,0
37,-0.500,5,3,MIN,TB,0,4,4,5,2490.80,24700,95.05,12.603,49700,0,MIN@TB,MIN,5,,0
38,-0.510,4,2,MIN,TB,0,5,6,4,2453.18,24800,93.60,8.092,49700,0,MIN@TB,MIN,4,,0
39,-0.516,4,2,MIN,TB,0,3,3,4,2407.92,23400,93.58,9.654,48300,0,MIN@TB,MIN,4,,0
40,-0.539,4,2,CLE,TOR,1,4,5,5,2271.23,23600,92.24,3.092,49500,0,CLE@TOR,CLE,4,TOR,1
41,-0.550,4,3,MIA,SF,0,4,4,4,2218.76,23700,96.07,12.608,49900,0,MIA@SF,MIA,4,,0
42,-0.560,5,1,MIN,TB,0,4,4,5,2465.95,24300,93.22,10.580,48100,0,MIN@TB,MIN,5,,0
43,-0.560,4,1,MIN,TB,0,5,5,4,2167.58,23500,93.81,11.216,49400,0,MIN@TB,MIN,4,,0
44,-0.563,5,3,TB,MIN,0,4,4,5,2552.65,24900,89.15,14.003,49000,0,MIN@TB,TB,5,,0
45,-0.563,5,3,TB,MIN,0,4,4,5,2574.12,24900,87.96,14.241,48700,0,MIN@TB,TB,5,,0
46,-0.579,4,3,CWS,WSH,1,4,5,5,2507.21,24800,92.45,10.011,48300,0,CWS@WSH,CWS,4,WSH,1
47,-0.581,5,2,CLE,TOR,0,4,4,5,2479.03,24600,92.20,3.242,49200,0,CLE@TOR,CLE,5,,0
48,-0.600,5,2,TOR,CLE,0,5,5,5,2607.32,24800,92.71,8.952,49300,0,CLE@TOR,TOR,5,,0
49,-0.601,5,2,MIN,TB,0,4,4,5,2524.76,25200,92.10,11.206,49600,0,MIN@TB,MIN,5,,0
50,-0.603,5,2,CLE,TOR,0,4,4,5,2489.50,24900,94.12,4.295,49200,0,CLE@TOR,CLE,5,,0
51,-0.604,5,3,MIN,TB,0,4,4,5,2374.87,23600,94.20,13.066,49000,0,MIN@TB,MIN,5,,0
52,-0.607,5,1,MIN,TB,0,5,5,5,2506.57,25200,92.79,11.036,49100,0,MIN@TB,MIN,5,,0
53,-0.612,5,3,MIN,TB,0,4,4,5,2598.15,25500,93.87,7.646,49600,0,MIN@TB,MIN,5,,0
54,-0.620,5,1,MIA,SF,0,4,4,5,2260.00,23100,94.83,12.309,49800,0,MIA@SF,MIA,5,,0
55,-0.625,4,2,MIN,TB,1,4,6,5,2624.29,25600,90.64,11.262,49900,0,MIN@TB,MIN,4,TB,1
56,-0.628,5,1,MIN,TB,0,4,4,5,2382.94,23600,92.68,10.775,49400,0,MIN@TB,MIN,5,,0
57,-0.629,5,2,MIN,TB,0,4,4,5,2296.87,23400,94.29,12.936,49200,0,MIN@TB,MIN,5,,0
58,-0.629,5,1,CLE,TOR,0,4,5,5,2661.97,25500,94.03,5.021,49700,0,CLE@TOR,CLE,5,,0
59,-0.635,4,3,CLE,TOR,0,4,4,4,2527.63,24900,93.25,4.319,48900,0,CLE@TOR,CLE,4,,0
60,-0.635,4,2,TB,MIN,1,4,5,5,2398.44,24500,90.89,13.829,49500,0,MIN@TB,TB,4,MIN,1
61,-0.639,4,3,SF,MIA,0,3,4,5,2376.47,23400,94.35,8.754,48800,0,MIN@TB,MIN,3,TB,1
62,-0.654,4,2,MIA,SF,1,4,5,5,2246.44,23100,92.63,10.442,48500,0,MIA@SF,MIA,4,SF,1
63,-0.669,5,2,MIN,TB,0,4,4,5,2426.03,23500,92.38,5.067,48200,0,MIN@TB,MIN,5,,0
64,-0.673,4,3,SF,MIA,0,3,4,5,2421.76,23900,92.99,7.466,48900,0,CWS@WSH,CWS,3,WSH,1
65,-0.677,5,1,CLE,TOR,0,5,5,5,2213.23,23100,92.65,4.673,48400,0,CLE@TOR,CLE,5,,0
66,-0.687,5,2,MIN,TB,0,5,5,5,2406.35,23600,93.34,10.916,48500,0,MIN@TB,MIN,5,,0
67,-0.696,5,2,MIA,SF,0,4,5,5,2296.72,23100,93.94,11.182,48100,0,MIA@SF,MIA,5,,0
68,-0.696,5,2,MIA,SF,0,4,5,5,2229.37,23100,94.58,11.825,48700,0,MIA@SF,MIA,5,,0
69,-0.697,5,2,MIN,TB,0,4,4,5,2441.23,24700,94.94,9.954,49200,0,MIN@TB,MIN,5,,0
70,-0.697,4,3,WSH,CWS,0,3,3,4,2448.69,24300,92.51,9.804,48700,0,CWS@WSH,WSH,4,,0
71,-0.705,5,2,CWS,WSH,0,4,4,5,2555.41,24900,96.66,12.634,49700,0,CWS@WSH,CWS,5,,0
72,-0.708,4,4,MIN,TB,0,4,4,4,1833.03,21400,97.32,18.673,50000,0,MIN@TB,MIN,4,,0
73,-0.708,4,1,TB,MIN,1,5,6,5,2393.76,24500,90.55,14.530,49700,0,MIN@TB,TB,4,MIN,1
74,-0.710,5,3,TOR,CLE,0,4,4,5,2545.27,24800,92.76,9.613,49400,0,CLE@TOR,TOR,5,,0
75,-0.711,5,2,TOR,CLE,0,4,4,5,2593.24,24800,91.86,10.160,48900,0,CLE@TOR,TOR,5,,0
