P,P,C,1B,2B,3B,SS,OF,OF,OF
42748881,42748879,42749039,42748925,42748974,42748895,42748981,42748922,42749015,42748897
42748881,42748879,42748983,42748900,42748974,42748919,42749010,42748897,42748963,42748991
42748881,42748879,42748983,42748900,42748930,42748979,42748924,42748991,42748897,42748963
42748881,42748879,42748983,42748900,42748930,42748919,42749010,42748897,42748963,42748991
42748881,42748879,42748923,42748932,42748930,42748917,42748924,42748989,42748960,42748951
42748881,42748879,42748983,42748932,42748930,42748917,42749001,42748937,42748892,42748991
42748879,42748883,42749039,42748900,42748974,42748919,42748910,42749048,42748922,42748897
42748881,42748879,42748992,42748896,42748974,42748891,42749001,42749015,42748985,42748960
42748881,42748879,42748978,42748925,42749038,42748891,42748981,42748915,42748929,42748989
42748881,42748883,42748923,42748932,42748930,42748891,42748910,42748963,42748985,42748951
42748881,42748879,42748983,42748932,42748930,42748979,42748910,42748915,42748951,42748963
42748881,42748879,42748983,42748932,42748930,42748961,42749001,42748937,42748892,42748991
42748879,42748883,42748902,42748938,42748948,42748979,42749010,42748915,42748991,42748897
42748879,42748883,42748923,42748900,42748930,42748979,42748924,42748915,42748958,42748991
42748881,42748879,42748983,42748932,42748930,42748979,42748910,42748951,42748892,42748963
42748881,42748879,42749017,42748896,42748974,42748895,42748981,42748912,42749015,42748963
42748881,42748879,42748983,42748932,42748955,42748993,42749001,42748951,42748892,42748897
42748881,42748879,42748983,42748896,42748974,42748895,42748981,42749009,42748912,42748951
42748889,42748879,42748923,42748900,42748930,42748895,42748924,42748963,42748951,42748991
42748881,42748879,42748923,42748938,42748930,42748979,42749010,42748915,42748991,42748892
42748881,42748879,42748923,42748932,42748930,42748919,42748910,42748963,42748956,42748951
42748881,42748879,42748923,42748983,42748930,42748919,42748910,42748956,42748991,42748963
42748881,42748879,42749039,42748896,42749038,42748974,42748981,42748920,42748988,42748892
42748881,42748879,42748923,42748932,42748930,42748919,42748910,42748963,42748991,42748951
42748881,42748879,42748992,42748925,42748948,42748919,42748910,42748920,42748960,42748908
42748881,42748879,42748978,42748925,42749038,42748895,42748990,42749016,42748912,42748908
42748881,42748879,42748923,42749130,42748955,42748993,42748924,42748911,42748926,42748897
42748881,42748879,42748983,42748900,42748967,42748979,42748910,42748897,42748956,42748991
42748881,42748879,42748983,42748938,42748930,42748979,42748924,42748915,42748991,42748897
42748881,42748879,42748923,42748983,42748930,42748979,42748924,42748915,42748929,42748991
42748879,42748883,42748983,42748896,42748930,42748979,42748910,42748915,42748991,42748956
42748881,42748879,42748923,42748900,42748928,42748979,42749010,42748989,42748897,42748951
42748881,42748879,42748902,42749008,42749031,42748895,42748981,42748937,42748912,42748929
42748879,42748883,42748992,42748900,42748948,42748895,42748924,42748963,42748985,42748908
42748881,42748879,42748923,42749008,42748930,42748917,42749010,42748915,42748991,42748897
42748879,42748883,42748923,42748900,42748930,42748979,42748910,42748963,42748951,42748991
42748881,42748879,42748983,42748900,42748967,42748979,42748910,42748897,42748951,42748991
42748881,42748879,42748923,42748896,42748930,42748979,42748910,42748922,42749016,42748991
42748881,42748879,42748923,42748938,42748930,42748979,42748924,42748915,42748958,42748991
42748879,42748883,42748978,42748896,42749038,42748895,42748924,42748929,42748937,42748958
42748881,42748883,42748931,42748900,42748909,42748891,42748910,42749014,42749068,42748963
42748881,42748879,42748902,42748932,42748930,42748979,42748924,42748988,42748951,42748991
42748879,42748883,42748923,42748896,42748930,42748979,42748910,42748915,42748958,42748991
42748880,42748879,42748992,42748900,42748948,42748919,42749001,42748908,42748963,42748960
42748880,42748879,42748992,42748900,42748948,42748919,42749001,42748908,42748963,42748985
42748881,42748879,42749017,42748896,42748955,42748919,42748981,42748922,42748956,42748963
42748881,42748879,42748978,42748925,42749038,42748898,42748990,42748915,42748912,42748929
42748881,42748879,42749039,42748896,42748930,42748936,42748910,42749048,42749015,42748897
42748881,42748879,42748902,42748932,42748930,42748993,42749010,42748892,42748991,42748951
42748881,42748879,42748978,42749008,42748928,42748895,42748924,42749016,42748912,42748937
42748881,42748879,42748923,42748932,42748930,42748919,42748910,42748991,42748956,42748951
42748881,42748879,42748923,42748983,42748930,42748979,42748981,42748915,42748991,42748892
42748881,42748879,42748983,42749008,42748930,42748891,42749010,42748937,42748991,42748897
42748881,42748883,42748902,42748900,42749061,42748895,42748918,42749068,42748905,42748998
42748880,42748879,42748992,42748932,42748955,42748979,42749010,42748897,42748892,42748963
42748881,42748879,42748923,42748932,42748930,42748917,42749010,42748915,42748991,42748911
42748879,42748883,42748902,42748900,42748930,42748979,42749010,42748988,42748991,42748897
42748881,42748879,42748978,42749008,42749038,42748891,42748990,42748915,42748963,42748892
42748881,42748879,42748978,42748938,42749038,42748895,42749018,42748915,42748929,42748912
42748881,42748880,42748931,42748932,42749001,42748898,42748918,42748920,42748985,42748960
42748881,42748879,42748923,42748932,42748928,42748917,42748924,42748989,42748960,42748951
42748881,42748883,42748992,42748900,42749061,42748895,42748918,42749014,42748905,42748958
42748881,42748879,42748923,42748983,42748930,42748979,42748924,42748912,42748929,42748991
42748881,42748879,42749017,42748907,42748928,42748917,42748924,42748926,42748988,42748963
42748881,42748883,42748978,42748900,42749038,42748895,42748924,42749016,42748912,42748937
42748881,42748879,42748923,42748932,42748930,42748979,42748910,42748922,42748963,42748991
42748881,42748883,42748931,42748925,42748909,42748895,42749061,42748998,42749068,42748897
42748881,42748883,42748931,42748925,42748909,42748895,42749061,42749014,42748998,42748897
42748881,42748879,42748983,42748932,42748955,42748917,42748924,42748951,42748991,42748897
42748881,42748879,42748902,42748961,42748955,42748993,42748924,42748915,42749006,42748926
42748881,42748879,42749017,42748900,42748928,42748895,42748910,42748960,42749065,42748963
42748889,42748879,42748923,42748900,42748930,42748919,42748910,42748897,42748951,42748963
42748881,42748880,42748931,42748932,42749001,42748898,42748910,42748920,42748985,42748960
42748881,42748879,42748923,42748896,42748930,42748974,42748981,42749015,42749009,42748897
42748881,42748879,42748902,42748896,42748974,42748919,42748910,42749015,42749009,42749048
