P,P,C,1B,2B,3B,SS,OF,OF,OF
42760422,42760423,42760491,42760516,42760579,42760627,42760595,42760469,42760436,42760467
42760422,42760424,42760613,42760443,42760579,42760627,42760595,42760468,42760495,42760436
42760422,42760424,42760491,42760516,42760536,42760627,42760595,42760481,42760469,42760437
42760422,42760424,42760598,42760492,42760517,42760472,42760461,42760635,42760542,42760437
42760423,42760424,42760622,42760437,42760586,42760472,42760445,42760474,42760542,42760640
42760422,42760424,42760613,42760443,42760579,42760627,42760515,42760561,42760469,42760436
42760422,42760423,42760613,42760437,42760579,42760627,42760562,42760508,42760481,42760440
42760422,42760423,42760613,42760516,42760579,42760627,42760445,42760481,42760508,42760437
42760422,42760424,42760613,42760443,42760579,42760627,42760562,42760469,42760495,42760436
42760422,42760424,42760491,42760437,42760579,42760627,42760562,42760573,42760469,42760460
42760422,42760424,42760622,42760522,42760498,42760616,42760445,42760640,42760469,42760436
42760422,42760424,42760491,42760437,42760496,42760465,42760569,42760538,42760542,42760561
42760422,42760424,42760568,42760441,42760450,42760616,42760527,42760510,42760503,42760495
42760422,42760424,42760475,42760535,42760490,42760569,42760595,42760542,42760495,42760436
42760422,42760424,42760455,42760516,42760490,42760627,42760562,42760573,42760495,42760436
42760422,42760423,42760475,42760441,42760490,42760569,42760595,42760542,42760573,42760456
42760422,42760423,42760491,42760516,42760579,42760627,42760595,42760469,42760467,42760442
42760422,42760424,42760613,42760444,42760579,42760627,42760515,42760561,42760469,42760436
42760422,42760424,42760491,42760492,42760586,42760569,42760595,42760449,42760542,42760437
42760422,42760423,42760622,42760451,42760553,42760605,42760557,42760508,42760470,42760437
42760422,42760424,42760613,42760516,42760452,42760518,42760562,42760481,42760542,42760440
42760422,42760424,42760613,42760441,42760490,42760472,42760627,42760573,42760469,42760481
42760422,42760423,42760598,42760504,42760517,42760463,42760461,42760439,42760552,42760635
42760422,42760424,42760613,42760451,42760579,42760627,42760562,42760481,42760440,42760467
42760422,42760424,42760491,42760535,42760496,42760465,42760569,42760439,42760542,42760561
42760422,42760424,42760613,42760444,42760579,42760536,42760562,42760561,42760469,42760436
42760422,42760424,42760613,42760444,42760579,42760627,42760562,42760469,42760495,42760436
42760422,42760423,42760598,42760441,42760490,42760472,42760527,42760529,42760552,42760495
42760422,42760423,42760483,42760516,42760579,42760627,42760527,42760481,42760436,42760495
42760422,42760424,42760613,42760441,42760579,42760472,42760562,42760481,42760529,42760468
42760422,42760424,42760568,42760441,42760490,42760616,42760484,42760652,42760464,42760548
42760422,42760423,42760598,42760516,42760517,42760472,42760461,42760573,42760635,42760437
42760422,42760424,42760483,42760437,42760579,42760518,42760627,42760481,42760469,42760573
42760422,42760423,42760491,42760578,42760579,42760519,42760515,42760539,42760460,42760437
42760422,42760423,42760613,42760437,42760579,42760627,42760562,42760481,42760467,42760460
42760422,42760428,42760598,42760437,42760517,42760472,42760527,42760529,42760635,42760436
42760422,42760423,42760493,42760522,42760586,42760498,42760477,42760640,42760508,42760436
42760422,42760424,42760483,42760516,42760586,42760498,42760445,42760640,42760481,42760470
42760422,42760423,42760598,42760441,42760517,42760569,42760595,42760510,42760552,42760437
42760422,42760424,42760483,42760459,42760490,42760518,42760527,42760624,42760468,42760495
42760422,42760424,42760568,42760516,42760490,42760627,42760562,42760481,42760469,42760436
42760422,42760423,42760598,42760441,42760490,42760472,42760515,42760635,42760510,42760495
42760422,42760424,42760455,42760516,42760490,42760616,42760527,42760469,42760468,42760652
42760422,42760424,42760598,42760441,42760490,42760472,42760562,42760481,42760529,42760510
42760422,42760424,42760613,42760451,42760579,42760627,42760562,42760481,42760447,42760442
42760422,42760424,42760491,42760516,42760579,42760505,42760562,42760481,42760573,42760436
42760422,42760423,42760622,42760443,42760490,42760616,42760445,42760470,42760508,42760640
42760422,42760424,42760613,42760516,42760586,42760498,42760562,42760440,42760481,42760449
42760422,42760423,42760475,42760535,42760490,42760569,42760595,42760542,42760652,42760436
42760422,42760423,42760475,42760492,42760586,42760569,42760595,42760561,42760437,42760467
