rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,-1.131,5,3,DET,ATL,0,4,4,5,2564.68,25300,107.92,10.190,49800,0,ATL@DET,DET,5,,0
2,-1.213,5,2,DET,ATL,0,5,5,5,2554.23,25300,106.82,9.140,49700,0,ATL@DET,DET,5,,0
3,-1.397,5,3,MIL,ARI,0,4,4,5,2580.70,25300,104.05,8.270,50000,0,ARI@MIL,MIL,5,,0
4,-1.417,5,1,DET,ATL,0,6,6,5,2593.55,25200,103.10,7.541,49500,0,ATL@DET,DET,5,,0
5,-1.421,5,2,KC,ATH,0,5,5,5,2475.98,23900,106.85,10.533,49500,0,ATH@KC,KC,5,,0
6,-1.495,5,2,SD,CHC,0,5,5,5,2578.93,25300,99.65,4.224,49900,0,CHC@SD,SD,5,,0
7,-1.532,5,3,KC,ATH,0,4,4,5,2575.34,25300,108.03,6.968,49600,0,ATH@KC,KC,5,,0
8,-1.557,5,1,SD,CHC,0,5,6,5,2547.16,25200,99.37,3.627,50000,0,CHC@SD,SD,5,,0
9,-1.573,5,3,SD,CHC,0,4,4,5,2535.03,24800,99.94,4.857,49600,0,CHC@SD,SD,5,,0
10,-1.576,5,1,DET,ATL,0,5,6,5,2531.98,25200,102.17,5.860,49900,0,ATL@DET,DET,5,,0
11,-1.578,5,2,SD,CHC,0,5,5,5,2550.37,25200,98.87,3.971,49600,0,CHC@SD,SD,5,,0
12,-1.589,5,1,DET,ATL,0,5,5,5,2211.36,23600,103.41,7.182,49700,0,ATL@DET,DET,5,,0
13,-1.593,5,2,KC,ATH,0,5,5,5,2645.77,25300,108.69,10.812,49700,0,ATH@KC,KC,5,,0
14,-1.594,5,2,KC,ATH,0,5,5,5,2589.67,25300,105.24,9.466,49400,0,ATH@KC,KC,5,,0
15,-1.597,5,1,DET,ATL,0,6,6,5,2562.03,25200,102.82,6.057,50000,0,ATL@DET,DET,5,,0
16,-1.630,5,2,MIL,ARI,0,5,5,5,2528.66,24300,99.53,4.872,49700,0,ARI@MIL,MIL,5,,0
17,-1.634,5,3,CHC,SD,0,4,4,5,2122.64,23600,104.64,5.292,49800,0,CHC@SD,CHC,5,,0
18,-1.660,5,2,KC,ATH,0,5,5,5,2646.20,25300,106.89,11.360,49400,0,ATH@KC,KC,5,,0
19,-1.663,5,1,CHC,SD,0,6,6,5,2421.90,24100,104.03,5.094,49800,0,CHC@SD,CHC,5,,0
20,-1.666,5,1,DET,ATL,0,5,5,5,2569.51,25000,102.74,6.990,49400,0,ATL@DET,DET,5,,0
21,-1.669,5,3,SEA,MIN,0,4,4,5,2543.93,25300,104.80,5.253,49800,0,MIN@SEA,SEA,5,,0
22,-1.688,5,3,KC,ATH,0,4,4,5,2560.08,25300,109.06,13.711,50000,0,ATH@KC,KC,5,,0
23,-1.689,5,2,KC,ATH,0,5,5,5,2573.32,25300,108.99,13.378,50000,0,ATH@KC,KC,5,,0
24,-1.706,5,2,SD,CHC,0,4,4,5,2529.90,24200,102.21,5.657,49600,0,CHC@SD,SD,5,,0
25,-1.717,5,2,KC,ATH,0,5,5,5,2644.54,25300,103.26,10.706,49800,0,ATH@KC,KC,5,,0
26,-1.717,5,3,SD,CHC,0,4,4,5,2475.80,24500,99.21,4.587,49800,0,CHC@SD,SD,5,,0
27,-1.723,5,1,DET,ATL,0,5,5,5,2627.18,25100,101.55,6.127,49700,0,ATL@DET,DET,5,,0
28,-1.747,5,3,SD,CHC,0,4,4,5,2565.95,24300,101.96,3.966,49700,0,CHC@SD,SD,5,,0
29,-1.764,5,3,KC,ATH,0,4,4,5,2593.55,25300,102.95,9.341,49500,0,ATH@KC,KC,5,,0
30,-1.786,5,3,DET,ATL,0,4,4,5,2668.35,25600,101.21,5.253,49700,0,ATL@DET,DET,5,,0
31,-1.790,5,3,DET,ATL,0,4,4,5,2505.59,24100,102.29,8.511,50000,0,ATL@DET,DET,5,,0
32,-1.793,5,2,DET,ATL,0,5,5,5,2796.86,26200,102.38,8.760,49400,0,ATL@DET,DET,5,,0
33,-1.815,5,1,SD,CHC,0,6,6,5,2449.16,23900,100.16,4.382,49600,0,CHC@SD,SD,5,,0
34,-1.815,5,3,KC,ATH,0,3,3,5,2584.57,25300,102.69,9.386,50000,0,ATH@KC,KC,5,,0
35,-1.816,5,3,SD,CHC,0,4,4,5,2542.13,24200,101.19,5.972,49400,0,CHC@SD,SD,5,,0
36,-1.817,5,1,DET,ATL,0,4,5,5,2582.42,25600,102.35,5.279,49900,0,ATL@DET,DET,5,,0
