rank,score,primarySize,secondarySize,primaryTeam,primaryOpp,bringBack,numGames,numTeamsUsed,maxGameStack,salaryStd,salaryTopThree,proj,geoMeanOwnHit,salaryTotal,pitcherFacesStack,dominantGame,dominantA,cntA,dominantB,cntB
1,0.558,4,3,SEA,KC,0,4,4,4,2229.89,23000,103.35,9.395,49400,0,KC@SEA,SEA,4,,0
2,0.363,5,3,STL,LAD,0,3,3,5,2128.00,23000,103.36,8.893,48600,0,LAD@STL,STL,5,,0
3,0.264,5,3,SEA,KC,0,3,3,5,2143.11,22900,103.62,10.224,48900,0,KC@SEA,SEA,5,,0
4,0.203,5,3,SEA,KC,0,3,3,5,2080.12,22900,104.79,11.316,48900,0,KC@SEA,SEA,5,,0
5,0.161,5,1,CWS,SD,0,5,5,5,2297.59,23500,99.02,4.418,49900,0,CWS@SD,CWS,5,,0
6,-0.001,4,2,STL,LAD,0,4,4,4,2023.46,23000,101.33,8.484,49600,0,LAD@STL,STL,4,,0
7,-0.001,5,1,COL,ATL,0,5,6,5,2458.94,24900,95.79,3.726,48400,0,ATL@COL,COL,5,,0
8,-0.074,4,1,KC,SEA,1,4,5,5,2061.55,22500,99.56,6.068,48000,0,KC@SEA,KC,4,SEA,1
9,-0.076,4,2,SEA,KC,0,4,4,4,2240.18,23200,100.12,6.725,49600,0,KC@SEA,SEA,4,,0
10,-0.096,4,4,TEX,DET,0,3,3,5,2035.68,22700,106.62,13.349,50000,0,DET@TEX,TEX,4,,0
11,-0.096,5,3,TEX,DET,0,3,3,5,2137.87,23000,107.58,12.946,49500,0,DET@TEX,TEX,5,,0
12,-0.114,4,4,TEX,DET,0,3,3,5,2112.08,23000,106.32,13.596,49900,0,DET@TEX,TEX,4,,0
13,-0.138,5,3,TEX,DET,0,3,3,5,2142.92,23000,106.65,14.643,49700,0,DET@TEX,TEX,5,,0
14,-0.160,4,3,TEX,DET,0,4,4,4,2105.61,22900,105.00,11.698,49800,0,DET@TEX,TEX,4,,0
15,-0.172,5,2,STL,LAD,0,4,4,5,2010.97,23000,101.00,7.526,50000,0,LAD@STL,STL,5,,0
16,-0.190,4,2,CWS,SD,1,5,6,5,2281.34,23500,97.61,4.753,49500,0,CWS@SD,CWS,4,SD,1
17,-0.190,5,1,CWS,SD,0,6,6,5,2290.61,23600,100.23,4.530,49900,0,CWS@SD,CWS,5,,0
18,-0.191,4,3,KC,SEA,0,4,4,4,2568.68,24600,101.97,8.085,49300,0,KC@SEA,KC,4,,0
19,-0.212,5,3,KC,SEA,0,3,3,5,2169.42,23000,99.93,7.568,48600,0,KC@SEA,KC,5,,0
20,-0.248,4,4,SD,CWS,0,3,3,5,1930.52,22200,105.02,15.718,49900,0,CWS@SD,SD,4,,0
21,-0.251,4,2,TEX,DET,1,4,5,5,2097.64,22000,100.95,9.777,48300,0,DET@TEX,TEX,4,DET,1
22,-0.291,5,3,SD,CWS,0,3,3,5,2068.24,23000,101.05,13.806,49800,0,CWS@SD,SD,5,,0
23,-0.302,4,1,TEX,DET,1,5,6,5,2745.92,26300,99.54,8.941,49300,0,DET@TEX,TEX,4,DET,1
24,-0.308,4,2,STL,LAD,1,4,5,5,2108.17,23000,97.78,9.381,48600,0,LAD@STL,STL,4,LAD,1
25,-0.352,5,3,SD,CWS,0,3,3,5,1973.83,23000,101.22,13.909,50000,0,CWS@SD,SD,5,,0
26,-0.355,4,3,STL,LAD,0,3,3,4,2661.30,25400,98.22,8.334,49500,0,LAD@STL,STL,4,,0
27,-0.403,5,2,STL,LAD,0,4,4,5,2151.95,23000,99.60,7.097,48900,0,LAD@STL,STL,5,,0
28,-0.404,4,3,TEX,DET,1,3,4,5,2635.83,25600,102.43,12.290,49200,0,DET@TEX,TEX,4,DET,1
29,-0.416,5,3,TEX,DET,0,3,3,5,2152.30,22900,104.43,13.945,48400,0,DET@TEX,TEX,5,,0
30,-0.442,4,3,COL,ATL,1,4,5,5,2052.34,22500,96.48,7.436,49700,0,ATL@COL,COL,4,ATL,1
31,-0.459,5,1,SEA,KC,0,5,6,5,2502.02,24800,100.91,8.456,49300,0,KC@SEA,SEA,5,,0
32,-0.460,4,4,COL,ATL,0,3,4,4,2428.17,23300,97.60,5.940,48000,0,ATL@COL,COL,4,,0
33,-0.476,5,2,TEX,DET,0,4,4,5,2058.37,22700,105.65,13.719,49900,0,DET@TEX,TEX,5,,0
34,-0.489,5,2,TEX,DET,0,4,4,5,2082.21,23000,104.71,12.107,49800,0,DET@TEX,TEX,5,,0
35,-0.489,5,2,TEX,DET,0,4,4,5,2070.00,23000,104.97,12.532,49900,0,DET@TEX,TEX,5,,0
36,-0.524,4,2,SD,CWS,1,4,5,5,2668.05,25700,99.59,10.661,49500,0,CWS@SD,SD,4,CWS,1
37,-0.524,4,2,SD,CWS,1,4,5,5,2671.35,25700,97.90,9.991,48700,0,CWS@SD,SD,4,CWS,1
38,-0.524,4,2,SD,CWS,1,4,5,5,2666.76,25700,98.41,9.917,49200,0,CWS@SD,SD,4,CWS,1
39,-0.585,4,3,CWS,SD,0,3,3,4,2137.50,23000,100.27,5.255,49100,0,CWS@SD,CWS,4,,0
40,-0.589,5,3,STL,LAD,0,3,3,5,2106.56,22700,98.60,8.701,48800,0,LAD@STL,STL,5,,0
41,-0.589,5,3,TEX,DET,0,3,3,5,2168.32,23000,104.36,13.690,49200,0,DET@TEX,TEX,5,,0
42,-0.601,5,1,KC,SEA,0,5,5,5,2593.16,24500,98.74,5.396,49500,0,KC@SEA,KC,5,,0
43,-0.602,4,2,TEX,DET,0,5,5,4,2708.15,25700,102.06,12.575,49300,0,DET@TEX,TEX,4,,0
44,-0.604,4,3,CWS,SD,0,3,3,4,2183.12,23000,99.09,5.164,49000,0,CWS@SD,CWS,4,,0
45,-0.604,4,3,CWS,SD,0,3,3,4,2144.78,23000,98.47,4.678,49300,0,CWS@SD,CWS,4,,0
46,-0.604,4,3,CWS,SD,0,3,3,4,2087.97,23000,100.18,5.319,49800,0,CWS@SD,CWS,4,,0
47,-0.612,5,2,TEX,DET,0,4,4,5,2651.41,25700,104.42,11.857,50000,0,DET@TEX,TEX,5,,0
48,-0.643,5,2,TEX,DET,0,4,4,5,2044.63,23000,106.15,12.796,49500,0,DET@TEX,TEX,5,,0
49,-0.655,4,2,CWS,SD,1,4,6,5,2733.29,25500,95.19,4.665,49100,0,CWS@SD,CWS,4,SD,1
50,-0.670,4,1,COL,ATL,1,5,7,5,1744.82,21300,96.97,6.357,49400,0,ATL@COL,COL,4,ATL,1
51,-0.706,5,3,SD,CWS,0,3,3,5,2087.32,23000,97.36,11.950,48100,0,CWS@SD,SD,5,,0
52,-0.716,4,3,SEA,KC,1,4,5,5,1949.90,22400,99.19,4.994,49700,0,KC@SEA,SEA,4,KC,1
53,-0.740,5,2,KC,SEA,0,4,4,5,2664.13,26300,100.11,6.785,49800,0,KC@SEA,KC,5,,0
54,-0.757,5,2,CWS,SD,0,5,5,5,2826.39,26300,95.78,3.722,49500,0,CWS@SD,CWS,5,,0
55,-0.778,5,1,KC,SEA,0,5,5,5,2258.52,23600,100.50,5.893,49100,0,KC@SEA,KC,5,,0
56,-0.793,5,2,KC,SEA,0,4,4,5,2611.15,24600,99.69,7.045,49300,0,KC@SEA,KC,5,,0
57,-0.800,4,3,LAD,STL,0,4,4,4,2023.49,22600,101.45,9.612,49500,0,LAD@STL,LAD,4,,0
58,-0.806,4,2,ATL,COL,0,3,4,5,1958.67,23000,102.67,13.631,49400,0,DET@TEX,DET,2,TEX,2
59,-0.813,5,3,TEX,DET,0,3,3,5,2194.74,22700,101.27,11.479,48100,0,DET@TEX,TEX,5,,0
60,-0.814,4,2,COL,ATL,0,5,6,4,1733.35,21300,97.70,6.040,49500,0,ATL@COL,COL,4,,0
61,-0.815,4,2,ATL,COL,0,3,4,5,2622.52,24900,98.56,8.651,49200,0,CWS@SD,CWS,2,SD,2
62,-0.839,4,2,COL,ATL,1,5,6,5,1793.01,21200,93.69,7.070,48100,0,ATL@COL,COL,4,ATL,1
63,-0.842,4,2,SEA,KC,0,5,5,4,2201.45,23000,101.32,8.915,49400,0,KC@SEA,SEA,4,,0
64,-0.851,5,1,TEX,DET,0,6,6,5,2821.86,26300,98.77,9.403,48900,0,DET@TEX,TEX,5,,0
65,-0.851,5,1,TEX,DET,0,6,6,5,2784.62,26300,99.86,10.195,49300,0,DET@TEX,TEX,5,,0
66,-0.869,5,2,KC,SEA,0,5,5,5,2621.07,24900,99.02,6.210,50000,0,KC@SEA,KC,5,,0
