P,P,C,1B,2B,3B,SS,OF,OF,OF
42957638,42957641,42957654,42957656,42957744,42957820,42957739,42957653,42957733,42957735
42957638,42957641,42957705,42957684,42957666,42957766,42957731,42957822,42957695,42957653
42957638,42957641,42957654,42957656,42957744,42957820,42957739,42957695,42957721,42957688
42957638,42957641,42957654,42957707,42957666,42957820,42957739,42957695,42957721,42957688
42957638,42957641,42957778,42957649,42957719,42957663,42957674,42957653,42957824,42957801
42957638,42957641,42957705,42957717,42957666,42957746,42957731,42957755,42957653,42957672
42957636,42957641,42957767,42957697,42957719,42957758,42957648,42957728,42957722,42957738
42957638,42957641,42957710,42957707,42957752,42957663,42957658,42957695,42957782,42957727
42957638,42957641,42957654,42957656,42957744,42957820,42957739,42957733,42957651,42957735
42957638,42957641,42957768,42957656,42957666,42957673,42957669,42957728,42957791,42957695
42957638,42957641,42957768,42957656,42957803,42957720,42957669,42957728,42957695,42957653
42957638,42957641,42957768,42957656,42957803,42957720,42957669,42957708,42957695,42957653
42957638,42957641,42957654,42957725,42957791,42957720,42957669,42957785,42957695,42957653
42957638,42957641,42957654,42957725,42957666,42957671,42957669,42957785,42957816,42957695
42957638,42957641,42957705,42957707,42957666,42957746,42957731,42957755,42957665,42957653
42957638,42957641,42957778,42957655,42957699,42957663,42957692,42957649,42957801,42957824
42957638,42957641,42957778,42957649,42957719,42957671,42957648,42957728,42957824,42957733
42957638,42957636,42957710,42957678,42957752,42957720,42957669,42957728,42957695,42957782
42957638,42957641,42957710,42957656,42957752,42957682,42957708,42957653,42957781,42957782
42957638,42957641,42957759,42957717,42957666,42957673,42957741,42957695,42957690,42957661
42957638,42957641,42957683,42957725,42957666,42957671,42957669,42957791,42957816,42957695
42957638,42957641,42957759,42957656,42957769,42957686,42957692,42957653,42957708,42957736
42957638,42957636,42957768,42957734,42957791,42957676,42957648,42957728,42957785,42957695
42957638,42957641,42957705,42957684,42957670,42957720,42957745,42957822,42957653,42957708
42957638,42957641,42957759,42957717,42957666,42957686,42957692,42957653,42957708,42957736
42957638,42957636,42957715,42957656,42957670,42957766,42957708,42957755,42957822,42957695
42957638,42957641,42957705,42957717,42957661,42957766,42957731,42957665,42957822,42957653
42957638,42957636,42957654,42957725,42957803,42957720,42957741,42957704,42957728,42957695
42957638,42957641,42957654,42957725,42957666,42957720,42957669,42957785,42957816,42957695
42957641,42957637,42957667,42957712,42957769,42957679,42957741,42957738,42957661,42957672
42957636,42957641,42957659,42957734,42957744,42957820,42957739,42957649,42957695,42957721
42957636,42957641,42957667,42957712,42957803,42957679,42957669,42957791,42957728,42957722
42957638,42957641,42957768,42957656,42957666,42957720,42957669,42957728,42957785,42957661
42957638,42957641,42957768,42957725,42957666,42957720,42957669,42957791,42957653,42957672
42957638,42957641,42957768,42957725,42957666,42957720,42957669,42957785,42957653,42957672
42957638,42957636,42957768,42957717,42957769,42957736,42957741,42957653,42957661,42957733
42957638,42957636,42957768,42957717,42957769,42957686,42957741,42957653,42957736,42957733
42957638,42957636,42957768,42957717,42957769,42957736,42957741,42957653,42957672,42957733
42957638,42957641,42957778,42957656,42957713,42957671,42957741,42957653,42957733,42957764
42957638,42957641,42957705,42957656,42957666,42957746,42957731,42957665,42957822,42957708
42957638,42957641,42957654,42957725,42957791,42957720,42957669,42957785,42957718,42957653
42957638,42957636,42957705,42957678,42957752,42957682,42957674,42957695,42957781,42957782
42957638,42957636,42957706,42957725,42957803,42957720,42957741,42957791,42957653,42957661
42957638,42957641,42957778,42957656,42957713,42957671,42957708,42957653,42957733,42957824
42957638,42957641,42957778,42957656,42957713,42957671,42957708,42957653,42957733,42957801
42957638,42957641,42957778,42957656,42957713,42957671,42957708,42957653,42957733,42957764
42957638,42957636,42957710,42957725,42957803,42957720,42957669,42957785,42957653,42957695
42957638,42957641,42957705,42957725,42957666,42957720,42957669,42957728,42957791,42957653
42957638,42957636,42957778,42957655,42957699,42957663,42957692,42957728,42957801,42957824
42957639,42957641,42957667,42957684,42957679,42957758,42957669,42957687,42957718,42957738
42957638,42957641,42957759,42957717,42957769,42957673,42957692,42957653,42957708,42957736
42957638,42957641,42957659,42957707,42957752,42957671,42957674,42957733,42957688,42957735
42957638,42957636,42957710,42957725,42957752,42957720,42957648,42957695,42957727,42957781
42957638,42957636,42957778,42957655,42957719,42957720,42957648,42957728,42957801,42957824
42957638,42957641,42957710,42957655,42957752,42957682,42957648,42957821,42957695,42957781
42957638,42957636,42957710,42957678,42957752,42957682,42957669,42957791,42957695,42957782
42957638,42957641,42957706,42957660,42957779,42957673,42957741,42957657,42957695,42957733
42957638,42957641,42957683,42957725,42957699,42957720,42957741,42957695,42957653,42957708
42957638,42957641,42957768,42957656,42957666,42957673,42957669,42957728,42957785,42957816
42957639,42957641,42957667,42957707,42957679,42957758,42957669,42957687,42957738,42957688
42957638,42957636,42957778,42957717,42957661,42957673,42957741,42957695,42957708,42957801
42957641,42957640,42957767,42957697,42957666,42957736,42957663,42957738,42957722,42957661
42957638,42957641,42957659,42957684,42957670,42957820,42957739,42957821,42957653,42957688
42957638,42957636,42957706,42957725,42957803,42957720,42957648,42957791,42957816,42957661
42957638,42957636,42957706,42957725,42957803,42957720,42957648,42957791,42957785,42957661
42957638,42957636,42957768,42957678,42957661,42957682,42957669,42957781,42957727,42957782
42957638,42957641,42957659,42957649,42957791,42957686,42957669,42957816,42957728,42957785
42957638,42957641,42957705,42957678,42957666,42957682,42957648,42957728,42957785,42957781
42957638,42957636,42957694,42957725,42957803,42957720,42957648,42957791,42957785,42957661
42957638,42957641,42957705,42957707,42957744,42957746,42957731,42957755,42957665,42957653
42957643,42957641,42957694,42957707,42957666,42957686,42957708,42957695,42957722,42957653
42957638,42957641,42957706,42957660,42957779,42957673,42957741,42957668,42957708,42957695
