slate,n_teams,field_chalk_top3,v1_top1,v1_top3,pros_consensus_team,pros_consensus_count_of_n,pros_avg_top1_share,v1_top1_share,concentration_gap,winning_team,winning_team_field_rank,winning_team_field_rank_pctile,pros_consensus_field_rank,pros_agreed_v1_missed,winning_neither_heavy
4-6-26,14,HOU|LAD|COL,HOU,HOU|COL|BAL,COL,4/8,0.21333333333333335,0.17333333333333334,0.04000000000000001,LAD,2,0.14285714285714285,3,True,False
4-8-26,8,NYY|DET|CHC,NYY,NYY|CHC|MIA,NYY,4/5,0.2733333333333333,0.21333333333333335,0.05999999999999997,MIA,5,0.625,1,False,False
4-12-26,22,PIT|CHC|KC,PIT,PIT|LAA|WSH,PIT,5/7,0.28095238095238095,0.14666666666666667,0.13428571428571429,MIL,4,0.18181818181818182,1,False,False
4-14-26,20,HOU|NYY|TEX,SEA,SEA|MIL|TEX,NYY,3/8,0.18333333333333335,0.13333333333333333,0.05000000000000002,LAA,7,0.35,2,False,False
4-15-26,16,NYY|ATL|HOU,COL,COL|TOR|NYY,NYY,4/8,0.22,0.14,0.07999999999999999,LAD,10,0.625,1,True,False
4-17-26,20,LAD|CWS|TOR,CWS,CWS|STL|NYY,CWS,5/8,0.15166666666666667,0.15333333333333332,-0.0016666666666666496,CWS,2,0.1,2,False,False
4-18-26,12,LAD|SD|TOR,LAA,LAA|LAD|STL,LAD,4/6,0.22555555555555554,0.2733333333333333,-0.04777777777777778,SEA,8,0.6666666666666666,1,True,True
4-19-26,16,HOU|SF|TB,CIN,CIN|MIL|BAL,SF,3/8,0.16333333333333333,0.23333333333333334,-0.07,NYY,6,0.375,2,False,False
4-20-26,16,LAD|ATL|SEA,LAD,LAD|COL|ATH,LAD,4/8,0.17083333333333334,0.30666666666666664,-0.1358333333333333,ATH,15,0.9375,1,False,False
4-21-26,10,KC|BAL|LAA,SEA,SEA|LAA|ATH,KC,3/6,0.2622222222222222,0.23333333333333334,0.028888888888888853,KC,1,0.1,1,True,False
4-22-26,18,SD|COL|ATL,SD,SD|COL|PIT,SD,4/8,0.33416666666666667,0.5933333333333334,-0.2591666666666667,ARI,4,0.2222222222222222,1,False,False
4-23-26,12,SD|ATL|PHI,PHI,PHI|SD|ARI,PHI,3/5,0.22399999999999998,0.2866666666666667,-0.0626666666666667,CHC,8,0.6666666666666666,3,False,True
4-24-26,26,WSH|NYY|SEA,WSH,WSH|PHI|PIT,NYY,2/7,0.14952380952380953,0.19333333333333333,-0.0438095238095238,BAL,15,0.5769230769230769,2,False,True
4-25-26,14,NYY|DET|KC,PIT,PIT|PHI|NYY,CIN,3/7,0.22285714285714286,0.16666666666666666,0.05619047619047621,CIN,4,0.2857142857142857,4,False,False
4-25-26-early,12,SEA|CWS|TB,CLE,CLE|CWS|SF,SEA,1/6,0.27,0.24666666666666667,0.023333333333333345,STL,9,0.75,1,False,True
4-26-26,22,NYY|SEA|TB,NYY,NYY|ATH|STL,DET,5/8,0.2225,0.12666666666666668,0.09583333333333333,DET,4,0.18181818181818182,4,True,False
4-27-26,14,LAD|LAA|SEA,MIN,MIN|NYY|SEA,SEA,3/8,0.21083333333333334,0.20666666666666667,0.00416666666666668,MIN,9,0.6428571428571429,3,False,False
4-28-26,20,KC|ATL|DET,KC,KC|SEA|SD,KC,2/8,0.14416666666666667,0.16666666666666666,-0.022499999999999992,SEA,13,0.65,1,False,False
4-29-26,14,CIN|DET|PIT,WSH,WSH|STL|SF,CIN,4/8,0.25416666666666665,0.14666666666666667,0.10749999999999998,WSH,10,0.7142857142857143,1,True,False
5-1-26,22,ATL|CLE|NYM,PHI,PHI|COL|ATL,CLE,2/7,0.1380952380952381,0.18,-0.04190476190476189,CLE,2,0.09090909090909091,2,False,False
5-2-26,10,ATH|CLE|PHI,ATH,ATH|BOS|PHI,ATH,3/5,0.2613333333333333,0.26,0.0013333333333332975,PIT,6,0.6,1,False,True
5-2-26-main,12,ATL|SD|TEX,ATL,ATL|CWS|SD,ATL,3/6,0.21333333333333335,0.18666666666666668,0.026666666666666672,ATL,1,0.08333333333333333,1,False,False
5-2-26-night,4,NYM|SEA|KC,KC,KC|LAA|SEA,,0/0,0.0,0.3933333333333333,-0.3933333333333333,LAA,4,1.0,,False,False
5-3-26,16,CHC|ARI|NYY,CHC,CHC|NYY|SF,CHC,4/7,0.24476190476190476,0.22666666666666666,0.01809523809523811,NYY,3,0.1875,1,False,False
