Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5042037726,hoagies69 (3/7),0,362.5,C Nic Claxton F Noah Clowney G James Harden PF Jay Huff PG Jamal Shead SF Jaylon Tyson SG Donovan Mitchell UTIL Jordan Miller,,Jamal Shead,PG,47.51%,42.5
1,5042123859,kszng (70/150),0,362.5,C Nic Claxton F Noah Clowney G Jaylon Tyson PF Jay Huff PG Jamal Shead SF Jordan Miller SG Donovan Mitchell UTIL James Harden,,Jay Huff,F,33.98%,51.25
1,5042518470,davidtownsley,0,362.5,C Nic Claxton F Noah Clowney G James Harden PF Jay Huff PG Jamal Shead SF Jaylon Tyson SG Donovan Mitchell UTIL Jordan Miller,,Jaylon Tyson,SG,32.50%,52.75
1,5042520603,FrancDolla (2/5),0,362.5,C Jay Huff F Jordan Miller G James Harden PF Noah Clowney PG Jamal Shead SF Jaylon Tyson SG Donovan Mitchell UTIL Nic Claxton,,Brandon Ingram,UTIL,29.52%,32
5,5042222137,joebald2 (2/3),0,360,C Jay Huff F Derik Queen G James Harden PF Scottie Barnes PG Jamal Shead SF Jordan Miller SG Jaylon Tyson UTIL Noah Clowney,,Nic Claxton,C,29.36%,36.5
5,5042361367,Jollyaocs (1/2),0,360,C Jalen Smith F Jay Huff G Tyrese Maxey PF Noah Clowney PG James Harden SF Ayo Dosunmu SG Jaylon Tyson UTIL Kris Dunn,,Aaron Nesmith,SF,27.12%,21.5
7,5042069575,Naten (14/20),0,358.75,C Jay Huff F Jordan Miller G Jamal Shead PF Zion Williamson PG James Harden SF Jaylon Tyson SG Brandon Ingram UTIL Noah Clowney,,Scottie Barnes,PF,26.73%,44.25
7,5042118097,JBCJBCJBC (133/150),0,358.75,C Nic Claxton F Noah Clowney G Kris Dunn PF Jay Huff PG Tyrese Maxey SF Jaylon Tyson SG Donovan Mitchell UTIL Jamal Shead,,Pascal Siakam,PF,26.73%,45.5
9,5042405542,YourPaalCal (3/8),0,358.5,C Jay Huff F Jordan Miller G James Harden PF Noah Clowney PG Tyrese Maxey SF Aaron Nesmith SG Jaylon Tyson UTIL Jamal Shead,,James Harden,G,26.09%,53
10,5042522585,JDub210,0,357.75,C Jay Huff F Jaylon Tyson G Tyrese Maxey PF Scottie Barnes PG Andrew Nembhard SF Jordan Miller SG Kris Dunn UTIL Jamal Shead,,Jordan Miller,SF,25.04%,39.5
